"Title","Number of trips per person by ethnicity over time"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","National Travel Survey"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"

"Standard Ethnicity","[None]","Trips "
"All","2002-2006","1,041"
"All","2003-2007","1,026"
"All","2004-2008","1,017"
"All","2005-2009","1,006"
"All","2006-2010","989"
"All","2007-2011","971"
"All","2008-2012","966"
"All","2009-2013","952"
"All","2010-2014","941"
"All","2011-2015","932"
"Asian","2002-2006","851"
"Asian","2003-2007","843"
"Asian","2004-2008","842"
"Asian","2005-2009","846"
"Asian","2006-2010","836"
"Asian","2007-2011","813"
"Asian","2008-2012","813"
"Asian","2009-2013","808"
"Asian","2010-2014","785"
"Asian","2011-2015","775"
"Black","2002-2006","805"
"Black","2003-2007","799"
"Black","2004-2008","815"
"Black","2005-2009","817"
"Black","2006-2010","809"
"Black","2007-2011","807"
"Black","2008-2012","806"
"Black","2009-2013","793"
"Black","2010-2014","789"
"Black","2011-2015","779"
"Mixed","2002-2006","914"
"Mixed","2003-2007","917"
"Mixed","2004-2008","910"
"Mixed","2005-2009","915"
"Mixed","2006-2010","903"
"Mixed","2007-2011","881"
"Mixed","2008-2012","867"
"Mixed","2009-2013","856"
"Mixed","2010-2014","836"
"Mixed","2011-2015","847"
"White","2002-2006","1,063"
"White","2003-2007","1,047"
"White","2004-2008","1,038"
"White","2005-2009","1,026"
"White","2006-2010","1,009"
"White","2007-2011","991"
"White","2008-2012","987"
"White","2009-2013","973"
"White","2010-2014","964"
"White","2011-2015","955"
"Other","2002-2006","818"
"Other","2003-2007","831"
"Other","2004-2008","840"
"Other","2005-2009","838"
"Other","2006-2010","840"
"Other","2007-2011","812"
"Other","2008-2012","777"
"Other","2009-2013","774"
"Other","2010-2014","764"
"Other","2011-2015","734"
