"Ethnicity","Time","Minutes"
"All","2002/06","18"
"All","2003/07","18"
"All","2004/08","19"
"All","2005/09","19"
"All","2006/10","19"
"All","2007/11","19"
"All","2008/12","19"
"All","2009/13","19"
"All","2010/14","19"
"All","2011/15","19"
"All","2012/16","19"
"All","2013/17","19"
"Asian","2002/06","18"
"Asian","2003/07","17"
"Asian","2004/08","17"
"Asian","2005/09","17"
"Asian","2006/10","17"
"Asian","2007/11","18"
"Asian","2008/12","18"
"Asian","2009/13","18"
"Asian","2010/14","18"
"Asian","2011/15","18"
"Asian","2012/16","18"
"Asian","2013/17","18"
"Black","2002/06","26"
"Black","2003/07","25"
"Black","2004/08","25"
"Black","2005/09","26"
"Black","2006/10","25"
"Black","2007/11","24"
"Black","2008/12","25"
"Black","2009/13","25"
"Black","2010/14","24"
"Black","2011/15","24"
"Black","2012/16","23"
"Black","2013/17","23"
"Mixed","2002/06","21"
"Mixed","2003/07","21"
"Mixed","2004/08","20"
"Mixed","2005/09","19"
"Mixed","2006/10","20"
"Mixed","2007/11","20"
"Mixed","2008/12","20"
"Mixed","2009/13","21"
"Mixed","2010/14","21"
"Mixed","2011/15","21"
"Mixed","2012/16","21"
"Mixed","2013/17","21"
"White","2002/06","18"
"White","2003/07","18"
"White","2004/08","18"
"White","2005/09","19"
"White","2006/10","19"
"White","2007/11","19"
"White","2008/12","19"
"White","2009/13","19"
"White","2010/14","19"
"White","2011/15","19"
"White","2012/16","19"
"White","2013/17","19"
"Other","2002/06","22"
"Other","2003/07","22"
"Other","2004/08","22"
"Other","2005/09","19"
"Other","2006/10","21"
"Other","2007/11","23"
"Other","2008/12","23"
"Other","2009/13","23"
"Other","2010/14","22"
"Other","2011/15","23"
"Other","2012/16","21"
"Other","2013/17","20"
