"Title","Distance travelled to school by ethnicity"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","National Travel Survey"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/10/2017"

"Ethnicity","Time","Miles"
"All ethnic groups","2002/06","2.4"
"All ethnic groups","2003/07","2.4"
"All ethnic groups","2004/08","2.4"
"All ethnic groups","2005/09","2.4"
"All ethnic groups","2006/10","2.4"
"All ethnic groups","2007/11","2.5"
"All ethnic groups","2008/12","2.5"
"All ethnic groups","2009/13","2.5"
"All ethnic groups","2010/14","2.6"
"All ethnic groups","2011/15","2.6"
"Asian ","2002/06","2.0"
"Asian ","2003/07","1.9"
"Asian ","2004/08","1.9"
"Asian ","2005/09","1.8"
"Asian ","2006/10","1.8"
"Asian ","2007/11","1.9"
"Asian ","2008/12","2.0"
"Asian ","2009/13","2.0"
"Asian ","2010/14","2.1"
"Asian ","2011/15","2.1"
"Black","2002/06","2.5"
"Black","2003/07","2.5"
"Black","2004/08","2.5"
"Black","2005/09","2.6"
"Black","2006/10","2.4"
"Black","2007/11","2.4"
"Black","2008/12","2.4"
"Black","2009/13","2.5"
"Black","2010/14","2.4"
"Black","2011/15","2.3"
"Mixed ","2002/06","2.0"
"Mixed ","2003/07","2.0"
"Mixed ","2004/08","2.0"
"Mixed ","2005/09","2.0"
"Mixed ","2006/10","2.0"
"Mixed ","2007/11","1.9"
"Mixed ","2008/12","1.8"
"Mixed ","2009/13","2.0"
"Mixed ","2010/14","2.0"
"Mixed ","2011/15","2.1"
"White","2002/06","2.4"
"White","2003/07","2.4"
"White","2004/08","2.4"
"White","2005/09","2.5"
"White","2006/10","2.5"
"White","2007/11","2.5"
"White","2008/12","2.6"
"White","2009/13","2.6"
"White","2010/14","2.7"
"White","2011/15","2.6"
"Other","2002/06","2.3"
"Other","2003/07","2.3"
"Other","2004/08","2.5"
"Other","2005/09","1.9"
"Other","2006/10","2.4"
"Other","2007/11","2.8"
"Other","2008/12","2.7"
"Other","2009/13","2.6"
"Other","2010/14","2.6"
"Other","2011/15","2.3"
