"","All","","Boys","","Girls",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils"
"All","63","540,689","59","275,606","67","265,083"
"Asian","67","51,218","64","26,559","71","24,659"
"Bangladeshi","67","8,319","65","4,239","70","4,080"
"Indian","77","14,046","74","7,321","81","6,725"
"Pakistani","58","20,434","55","10,559","62","9,875"
"Asian other","73","8,419","68","4,440","78","3,979"
"Black","59","27,924","53","13,911","65","14,013"
"Black African","63","17,349","58","8,669","68","8,680"
"Black Caribbean","51","7,216","44","3,548","58","3,668"
"Black other","55","3,359","49","1,694","62","1,665"
"Chinese","83","2,026","78","1,033","88","993"
"Mixed","63","22,868","58","11,535","67","11,333"
"Mixed White/Asian","72","5,089","68","2,542","76","2,547"
"Mixed White/Black African","62","2,687","57","1,354","66","1,333"
"Mixed White/Black Caribbean","54","7,160","49","3,614","59","3,546"
"Mixed other","65","7,932","62","4,025","69","3,907"
"White","63","422,763","59","215,354","67","207,409"
"White British","63","395,316","59","201,407","67","193,909"
"White Irish","72","1,774","69","883","75","891"
"White Irish Traveller","21","122","18","67","26","55"
"White Gypsy/Roma","10","1,107","9","534","12","573"
"White other","59","24,444","55","12,463","63","11,981"
"Other","62","8,119","58","4,242","66","3,877"
"Unknown","53","5,771","48","2,972","58","2,799"
