"Gender","Ethnicity","%","Pupils"
"All","All","63","540,689"
"All","Asian","67","51,218"
"All","Bangladeshi","67","8,319"
"All","Indian","77","14,046"
"All","Pakistani","58","20,434"
"All","Asian other","73","8,419"
"All","Black","59","27,924"
"All","Black African","63","17,349"
"All","Black Caribbean","51","7,216"
"All","Black other","55","3,359"
"All","Chinese","83","2,026"
"All","Mixed","63","22,868"
"All","Mixed White/Asian","72","5,089"
"All","Mixed White/Black African","62","2,687"
"All","Mixed White/Black Caribbean","54","7,160"
"All","Mixed other","65","7,932"
"All","White","63","422,763"
"All","White British","63","395,316"
"All","White Irish","72","1,774"
"All","White Irish Traveller","21","122"
"All","White Gypsy/Roma","10","1,107"
"All","White other","59","24,444"
"All","Other","62","8,119"
"All","Unknown","53","5,771"
"Boys","All","59","275,606"
"Boys","Asian","64","26,559"
"Boys","Bangladeshi","65","4,239"
"Boys","Indian","74","7,321"
"Boys","Pakistani","55","10,559"
"Boys","Asian other","68","4,440"
"Boys","Black","53","13,911"
"Boys","Black African","58","8,669"
"Boys","Black Caribbean","44","3,548"
"Boys","Black other","49","1,694"
"Boys","Chinese","78","1,033"
"Boys","Mixed","58","11,535"
"Boys","Mixed White/Asian","68","2,542"
"Boys","Mixed White/Black African","57","1,354"
"Boys","Mixed White/Black Caribbean","49","3,614"
"Boys","Mixed other","62","4,025"
"Boys","White","59","215,354"
"Boys","White British","59","201,407"
"Boys","White Irish","69","883"
"Boys","White Irish Traveller","18","67"
"Boys","White Gypsy/Roma","9","534"
"Boys","White other","55","12,463"
"Boys","Other","58","4,242"
"Boys","Unknown","48","2,972"
"Girls","All","67","265,083"
"Girls","Asian","71","24,659"
"Girls","Bangladeshi","70","4,080"
"Girls","Indian","81","6,725"
"Girls","Pakistani","62","9,875"
"Girls","Asian other","78","3,979"
"Girls","Black","65","14,013"
"Girls","Black African","68","8,680"
"Girls","Black Caribbean","58","3,668"
"Girls","Black other","62","1,665"
"Girls","Chinese","88","993"
"Girls","Mixed","67","11,333"
"Girls","Mixed White/Asian","76","2,547"
"Girls","Mixed White/Black African","66","1,333"
"Girls","Mixed White/Black Caribbean","59","3,546"
"Girls","Mixed other","69","3,907"
"Girls","White","67","207,409"
"Girls","White British","67","193,909"
"Girls","White Irish","75","891"
"Girls","White Irish Traveller","26","55"
"Girls","White Gypsy/Roma","12","573"
"Girls","White other","63","11,981"
"Girls","Other","66","3,877"
"Girls","Unknown","58","2,799"
