"Standard Ethnicity","School type","Pupils","%"
"All","All state-funded mainstream schools","530,580","64"
"All","Local authority maintained mainstream schools","191,701","62"
"All","Academies and free schools","337,452","65"
"All","Sponsored academies","85,080","53"
"All","Converter academies","247,551","70"
"All","Free schools","1,838","65"
"All","University technical colleges","1,864","51"
"All","Studio schools","1,119","34"
"All","Further education colleges with provision for 14- to 16-year-olds","885","10"
"All","State-funded special schools","10,109","1"
"All","All state-funded schools","540,689","63"
"Asian","All state-funded mainstream schools","50,515","68"
"Asian","Local authority maintained mainstream schools","21,499","65"
"Asian","Academies and free schools","28,983","70"
"Asian","Sponsored academies","7,419","59"
"Asian","Converter academies","20,958","75"
"Asian","Free schools","411","73"
"Asian","University technical colleges","125","41"
"Asian","Studio schools","70","37"
"Asian","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Asian","State-funded special schools","703","!"
"Asian","All state-funded schools","51,218","67"
"Black","All state-funded mainstream schools","27,407","60"
"Black","Local authority maintained mainstream schools","11,496","58"
"Black","Academies and free schools","15,874","62"
"Black","Sponsored academies","6,173","58"
"Black","Converter academies","9,482","65"
"Black","Free schools","60","53"
"Black","University technical colleges","130","42"
"Black","Studio schools","29","35"
"Black","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Black","State-funded special schools","517","!"
"Black","All state-funded schools","27,924","59"
"Chinese","All state-funded mainstream schools","2,008","84"
"Chinese","Local authority maintained mainstream schools","591","79"
"Chinese","Academies and free schools","1,416","85"
"Chinese","Sponsored academies","277","81"
"Chinese","Converter academies","1,127","87"
"Chinese","Free schools","8","!"
"Chinese","University technical colleges","!","!"
"Chinese","Studio schools","!","!"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Chinese","State-funded special schools","18","!"
"Chinese","All state-funded schools","2,026","83"
"Mixed","All state-funded mainstream schools","22,465","64"
"Mixed","Local authority maintained mainstream schools","8,130","60"
"Mixed","Academies and free schools","14,288","66"
"Mixed","Sponsored academies","3,759","55"
"Mixed","Converter academies","10,292","70"
"Mixed","Free schools","79","79"
"Mixed","University technical colleges","108","57"
"Mixed","Studio schools","50","38"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Mixed","State-funded special schools","403","1"
"Mixed","All state-funded schools","22,868","63"
"White","All state-funded mainstream schools","414,528","64"
"White","Local authority maintained mainstream schools","145,402","62"
"White","Academies and free schools","268,711","65"
"White","Sponsored academies","64,925","52"
"White","Converter academies","200,260","70"
"White","Free schools","1,187","62"
"White","University technical colleges","1,412","54"
"White","Studio schools","927","33"
"White","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"White","State-funded special schools","8,235","1"
"White","All state-funded schools","422,763","63"
