"","FSM Boys","","FSM Girls","","Non-FSM Boys","","Non-FSM Girls",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All","35","37,080","43","35,448","63","238,526","71","229,635"
"Asian","51","4,724","57","4,294","67","21,835","74","20,365"
"Bangladeshi","62","1,267","60","1,194","67","2,972","73","2,886"
"Indian","58","539","67","503","76","6,782","82","6,222"
"Pakistani","44","2,396","51","2,140","58","8,163","65","7,735"
"Asian other","53","522","63","457","70","3,918","80","3,522"
"Black","44","3,317","55","3,227","56","10,594","68","10,786"
"Black African","49","2,075","58","2,011","61","6,594","71","6,669"
"Black Caribbean","33","838","46","851","47","2,710","62","2,817"
"Black other","42","404","53","365","51","1,290","65","1,300"
"Chinese","76","67","83","63","78","966","88","930"
"Mixed","38","2,121","47","2,119","63","9,414","71","9,214"
"Mixed White/Asian","41","362","54","370","73","2,180","79","2,177"
"Mixed White/Black African","43","275","55","254","61","1,079","69","1,079"
"Mixed White/Black Caribbean","33","816","42","804","53","2,798","64","2,742"
"Mixed other","42","668","47","691","65","3,357","73","3,216"
"White","31","25,284","38","24,311","63","190,070","71","183,098"
"White British","30","23,654","38","22,784","63","177,753","71","171,125"
"White Irish","38","115","42","98","74","768","79","793"
"White Irish Traveller","17","41","16","32","19","26","39","23"
"White Gypsy/Roma","7","157","12","173","10","377","12","400"
"White other","44","1,317","49","1,224","56","11,146","64","10,757"
"Other","49","1,060","55","964","61","3,182","69","2,913"
"Unknown","30","507","40","470","51","2,465","61","2,329"
