"Title","Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25 January 2018 (revised)"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","42.9","524,932","50.1","52,087","38.8","27,595","73.1","2,038","43.4","23,359","42.1","405,100"
"County Durham","34.7","4,608","50.0","28","!","5","!","12","45.7","46","34.6","4,459"
"Darlington","44.0","1,066","!","23","!","!","!","!","27.3","22","43.6","998"
"Gateshead","40.1","1,909","51.1","45","30.0","10","57.1","7","53.8","26","39.3","1,784"
"Hartlepool","37.6","976","!","23","!","4","!","0","!","8","37.7","939"
"Middlesbrough","37.0","1,386","50.0","182","!","!","!","!","36.7","49","35.5","1,061"
"Newcastle upon Tyne","35.4","2,362","43.7","238","23.4","77","60.9","23","38.3","60","34.5","1,888"
"North Tyneside","44.0","1,959","50.0","34","!","9","!","17","51.5","33","43.6","1,845"
"Northumberland","39.3","3,145","41.0","39","!","4","!","6","52.5","40","39.0","3,046"
"Redcar and Cleveland","41.7","1,584","52.9","17","!","!","!","!","45.5","22","42.0","1,480"
"South Tyneside","35.1","1,500","43.4","53","!","4","!","3","!","20","34.9","1,388"
"Stockton-on-Tees","41.6","1,913","40.4","99","!","!","!","!","48.3","29","41.5","1,758"
"Sunderland","34.1","2,769","40.5","121","!","11","!","3","38.5","26","33.6","2,590"
"Blackburn with Darwen","41.9","1,746","52.1","764","!","20","!","4","42.6","54","33.9","890"
"Blackpool","27.1","1,190","57.1","21","!","3","!","4","22.2","18","26.8","1,134"
"Bolton","38.8","3,263","48.9","659","!","145","!","6","38.4","86","36.5","2,313"
"Bury","38.0","2,120","34.0","262","!","35","!","11","45.1","82","38.4","1,697"
"Cheshire East","46.9","3,582","58.9","56","!","12","!","12","47.2","89","46.5","3,378"
"Cheshire West and Chester","39.8","3,328","34.1","41","50.0","10","62.5","8","46.5","71","39.6","3,181"
"Cumbria","42.2","4,915","52.4","21","!","10","!","17","59.7","62","42.2","4,652"
"Halton","30.5","1,395","!","3","!","!","!","!","32.3","31","30.3","1,347"
"Knowsley","24.6","978","!","5","!","!","!","!","35.3","17","24.5","944"
"Lancashire","42.8","12,078","42.6","1,238","41.4","29","81.3","32","45.4","273","42.6","10,415"
"Liverpool","37.3","4,467","57.3","131","32.3","158","77.1","48","43.8","192","36.1","3,768"
"Manchester","34.9","4,574","45.7","1,056","32.7","741","51.4","37","32.9","328","29.7","2,120"
"Oldham","37.0","2,918","37.3","869","!","45","!","8","30.4","115","37.5","1,802"
"Rochdale","33.6","2,238","38.0","563","!","83","!","3","19.5","77","33.3","1,493"
"Salford","31.9","2,057","!","!","!","97","!","!","35.1","94","31.4","1,775"
"Sefton","37.2","3,013","53.8","26","23.5","17","55.6","9","44.2","43","37.9","2,833"
"St. Helens","37.8","1,693","!","!","!","!","!","5","58.8","34","38.1","1,566"
"Stockport","44.4","2,649","53.2","173","34.1","41","43.8","16","40.0","105","43.9","2,276"
"Tameside","39.3","2,407","45.6","283","!","37","!","5","38.2","68","38.6","1,995"
"Trafford","62.7","2,715","70.9","327","58.8","80","84.1","44","60.5","157","61.8","2,042"
"Warrington","46.0","2,277","69.0","42","!","5","!","9","47.7","44","45.9","2,126"
"Wigan","37.8","3,337","41.2","34","!","25","!","9","41.8","55","37.7","3,172"
"Wirral","44.0","3,349","69.4","62","58.3","12","77.3","22","51.5","68","43.0","3,158"
"Barnsley","38.8","2,110","!","!","33.3","9","!","!","46.7","30","38.8","2,051"
"Bradford","35.1","5,786","37.1","2,598","31.6","79","70.0","10","29.6","226","34.1","2,743"
"Calderdale","45.1","2,475","42.9","359","!","26","!","7","39.1","69","45.7","1,997"
"Doncaster","38.6","2,996","50.0","86","!","41","!","11","39.1","69","37.7","2,757"
"East Riding of Yorkshire","44.9","3,370","50.0","12","!","8","!","4","54.7","53","44.7","3,236"
"Kingston upon Hull, City of","30.0","2,253","60.5","43","!","32","!","5","43.9","41","29.7","2,018"
"Kirklees","41.4","4,383","36.4","1,233","!","92","!","8","27.1","221","44.7","2,794"
"Leeds","39.3","7,427","33.6","921","31.2","417","71.8","39","37.3","362","41.8","5,420"
"North East Lincolnshire","35.7","1,592","!","!","!","!","!","!","33.3","21","37.0","1,431"
"North Lincolnshire","40.7","1,749","43.9","66","!","!","!","!","65.5","29","40.2","1,630"
"North Yorkshire","50.4","5,904","66.0","94","50.0","16","58.3","12","54.5","99","50.1","5,632"
"Rotherham","37.1","3,028","33.8","213","!","43","!","5","40.0","65","37.3","2,672"
"Sheffield","39.1","5,090","39.9","501","29.5","210","68.8","16","36.0","272","39.8","3,879"
"Wakefield","42.1","3,402","44.9","89","!","41","!","8","42.6","61","41.9","3,161"
"York","48.1","1,608","53.3","30","37.5","8","57.1","7","48.6","37","47.9","1,512"
"Derby","37.4","2,741","44.1","479","!","87","!","7","27.6","170","37.2","1,944"
"Derbyshire","42.3","7,249","40.7","54","!","!","!","!","!","133","42.0","6,965"
"Leicester","35.6","3,310","44.6","1,526","!","357","!","!","!","!","26.5","1,139"
"Leicestershire","45.0","6,867","63.0","497","29.1","55","66.7","24","43.2","236","43.7","5,987"
"Lincolnshire","42.4","7,549","73.1","93","41.9","43","66.7","21","49.7","165","41.7","7,160"
"Northamptonshire","40.2","7,287","53.3","304","37.0","303","72.2","18","37.5","349","39.8","6,228"
"Nottingham","31.0","2,505","!","436","28.2","277","!","6","26.5","249","29.0","1,453"
"Nottinghamshire","45.5","7,511","62.0","166","35.7","112","79.2","24","51.3","277","45.1","6,821"
"Rutland","57.7","473","!","4","!","!","!","!","!","!","57.4","458"
"Birmingham","40.2","12,127","42.0","4,710","32.8","1,453","70.9","55","39.1","923","40.7","4,326"
"Coventry","36.2","3,374","48.2","635","34.1","305","!","9","!","171","33.4","2,198"
"Dudley","37.1","3,484","32.7","318","35.6","90","57.1","7","36.3","190","38.0","2,820"
"Herefordshire, County of","44.4","1,718","!","7","!","4","!","!","!","!","43.8","1,655"
"Sandwell","28.7","3,564","34.8","993","23.0","309","!","!","!","!","26.8","1,901"
"Shropshire","42.3","2,777","!","34","!","5","50.0","6","!","45","42.2","2,647"
"Solihull","45.8","2,917","59.2","331","46.0","63","!","10","!","163","44.6","2,217"
"Staffordshire","39.3","8,414","43.8","265","25.0","40","66.7","15","36.0","186","39.3","7,861"
"Stoke-on-Trent","31.8","2,198","28.0","322","38.9","36","62.5","8","31.0","84","32.6","1,706"
"Telford and Wrekin","41.5","1,835","48.0","100","32.6","43","!","10","!","74","40.9","1,596"
"Walsall","34.3","3,169","45.5","649","37.1","132","100.0","3","32.1","159","30.9","2,191"
"Warwickshire","48.1","5,489","69.1","278","37.2","43","!","11","!","180","47.0","4,875"
"Wolverhampton","35.6","2,505","51.2","601","33.2","244","!","11","!","246","31.6","1,362"
"Worcestershire","44.1","5,348","49.4","176","27.6","29","!","11","!","152","44.2","4,937"
"Bedford","37.9","1,827","36.5","266","!","88","!","5","24.3","144","40.3","1,294"
"Cambridgeshire","46.7","5,635","54.4","169","22.2","54","71.9","32","46.9","207","46.6","5,032"
"Central Bedfordshire","42.5","2,591","64.8","54","!","53","!","7","34.3","105","42.6","2,347"
"Essex","42.8","14,378","71.0","348","47.5","398","82.5","57","48.0","556","41.4","12,778"
"Hertfordshire","50.9","12,734","64.6","851","44.4","468","79.4","68","50.7","736","50.0","10,391"
"Luton","34.6","2,433","39.8","1,040","!","267","!","4","27.3","150","30.3","780"
"Norfolk","39.8","7,864","62.5","72","31.9","72","65.6","32","49.1","167","39.4","7,418"
"Peterborough","35.0","2,237","36.9","388","!","73","!","8","33.9","115","34.5","1,608"
"Southend-on-Sea","54.1","2,103","72.4","127","70.3","128","81.8","22","55.2","87","51.5","1,715"
"Suffolk","40.3","6,718","58.1","93","!","50","!","7","40.2","251","40.0","6,201"
"Thurrock","38.4","1,633","71.4","49","!","180","!","10","39.8","83","35.3","1,276"
"Camden","48.3","1,513","44.0","277","41.8","318","100.0","7","49.2","191","52.0","577"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hackney","44.7","2,002","48.9","270","36.9","750","!","9","!","153","51.9","648"
"Hammersmith and Fulham","52.9","1,313","55.9","102","38.7","341","!","4","!","137","63.5","578"
"Haringey","43.6","2,127","47.5","139","34.8","581","57.1","7","47.9","211","47.5","1,024"
"Islington","43.9","1,377","54.6","163","38.5","387","!","5","!","155","43.2","525"
"Kensington and Chelsea","57.4","739","66.7","18","51.6","126","!","5","!","112","60.9","302"
"Lambeth","39.3","1,949","53.9","76","34.8","990","73.9","23","36.9","244","44.8","504"
"Lewisham","37.9","2,247","40.9","132","32.6","952","64.7","34","43.2","285","41.6","675"
"Newham","45.8","3,523","54.0","1,618","38.8","863","78.6","14","35.7","213","36.0","597"
"Southwark","47.8","2,328","55.6","142","43.9","1,056","59.1","22","44.7","264","53.2","656"
"Tower Hamlets","44.3","2,623","47.4","1,769","42.5","306","!","6","!","113","37.3","300"
"Wandsworth","50.6","1,695","53.0","353","40.5","464","!","12","!","191","58.5","556"
"Westminster","55.4","1,535","61.8","186","51.3","351","61.1","18","55.1","158","59.5","385"
"Barking and Dagenham","43.1","2,185","58.2","428","45.3","601","!","3","!","124","35.1","970"
"Barnet","60.3","3,528","77.0","539","50.8","478","81.8","55","59.5","343","58.6","1,728"
"Bexley","49.9","3,141","73.9","203","61.4","567","75.0","48","51.9","185","43.7","2,086"
"Brent","49.8","2,908","56.5","894","36.7","698","100.0","4","45.1","195","43.8","507"
"Bromley","47.6","3,258","70.3","182","51.4","296","72.1","43","49.5","303","47.1","2,231"
"Croydon","40.6","3,579","56.1","462","35.6","1,031","!","10","!","503","41.4","1,338"
"Ealing","50.7","2,722","55.9","808","41.3","543","!","4","!","231","53.5","736"
"Enfield","42.6","3,487","62.5","277","38.9","854","!","9","!","315","40.8","1,747"
"Greenwich","41.6","2,166","52.7","188","42.7","637","68.4","19","38.4","216","38.8","1,008"
"Harrow","50.0","2,049","63.0","898","31.6","329","!","6","!","147","42.6","540"
"Havering","46.6","2,794","54.7","106","50.6","340","!","7","!","132","45.4","2,141"
"Hillingdon","45.3","3,075","59.0","659","40.6","350","!","4","!","324","40.2","1,482"
"Hounslow","46.7","2,641","57.8","746","43.3","353","100.0","7","39.7","184","44.1","958"
"Kingston upon Thames","61.3","1,517","74.8","333","42.5","40","100.0","22","58.6","128","56.6","915"
