"","FSM Boys","","FSM Girls","","Non-FSM Boys","","Non-FSM Girls",""
"","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All","19.5"," 34,903 ","24.0","34,358","42.7","233,624","49.1","224,974"
"Asian","33.6","4,362","37.3","4,462","49.6","22,708","55.1","21,255"
"Bangladeshi","40.7","1,187","43.1","1,251","49.6","3,162","52.1","3,274"
"Indian","41.3","491","45.3","525","60.2","6,803","66.8","6,149"
"Pakistani","27.4","2,106","31.0","2,196","38.7","8,797","43.4","8,224"
"Asian other","35.1","578","42.4","490","55.4","3,946","64.7","3,608"
"Black","25.0","3,019","33.3","3,057","36.6","10,900","45.3","10,946"
"Black African","30.9","1,855","38.3","1,922","41.8","6,848","50.2","6,841"
"Black Caribbean","14.3","798","25.0","776","27.1","2,732","35.4","2,791"
"Black other","18.3","366","24.2","359","29.5","1,320","40.7","1,314"
"Chinese","62.3","69","74.2","62","68.2","1,011","76.7","931"
"Mixed","21.3","2,136","24.4","2,161","45.2","9,613","50.2","9,573"
"Mixed White/Asian","23.9","377","24.6","346","56.5","2,225","60.9","2,199"
"Mixed White/Black African","26.6","256","28.1","285","43.5","1,084","49.8","1,089"
"Mixed White/Black Caribbean","14.3","781","18.6","817","32.3","2,690","38.5","2,750"
"Mixed other","25.5","722","29.6","713","48.4","3,614","52.8","3,535"
"White","15.3","23,786","19.6","23,199","42.0","182,849","48.5","176,508"
"White British","14.8","22,338","19.1","21,768","42.3","169,987","48.7","164,015"
"White Irish","23.4","94","14.0","100","59.7","752","59.9","730"
"Gypsy/Roma","!","165","!","160","!","395","!","353"
"Irish traveller","!","28","!","38","!","26","!","26"
"White other","26.7","1,161","31.5","1,133","38.8","11,689","46.5","11,384"
"Other","34.0","1,054","38.5","958","42.8","3,417","49.5","3,012"
"Unknown","30.3","477","34.6","459","38.1","3,126","44.4","2,749"
