"Grouping","Ethnicity","%","Pupils"
"FSM Boys","All","19.5"," 34,903 "
"FSM Boys","Asian","33.6","4,362"
"FSM Boys","Bangladeshi","40.7","1,187"
"FSM Boys","Indian","41.3","491"
"FSM Boys","Pakistani","27.4","2,106"
"FSM Boys","Asian other","35.1","578"
"FSM Boys","Black","25.0","3,019"
"FSM Boys","Black African","30.9","1,855"
"FSM Boys","Black Caribbean","14.3","798"
"FSM Boys","Black other","18.3","366"
"FSM Boys","Chinese","62.3","69"
"FSM Boys","Mixed","21.3","2,136"
"FSM Boys","Mixed White/Asian","23.9","377"
"FSM Boys","Mixed White/Black African","26.6","256"
"FSM Boys","Mixed White/Black Caribbean","14.3","781"
"FSM Boys","Mixed other","25.5","722"
"FSM Boys","White","15.3","23,786"
"FSM Boys","White British","14.8","22,338"
"FSM Boys","White Irish","23.4","94"
"FSM Boys","Gypsy/Roma","!","165"
"FSM Boys","Irish traveller","!","28"
"FSM Boys","White other","26.7","1,161"
"FSM Boys","Other","34.0","1,054"
"FSM Boys","Unknown","30.3","477"
"FSM Girls","All","24.0","34,358"
"FSM Girls","Asian","37.3","4,462"
"FSM Girls","Bangladeshi","43.1","1,251"
"FSM Girls","Indian","45.3","525"
"FSM Girls","Pakistani","31.0","2,196"
"FSM Girls","Asian other","42.4","490"
"FSM Girls","Black","33.3","3,057"
"FSM Girls","Black African","38.3","1,922"
"FSM Girls","Black Caribbean","25.0","776"
"FSM Girls","Black other","24.2","359"
"FSM Girls","Chinese","74.2","62"
"FSM Girls","Mixed","24.4","2,161"
"FSM Girls","Mixed White/Asian","24.6","346"
"FSM Girls","Mixed White/Black African","28.1","285"
"FSM Girls","Mixed White/Black Caribbean","18.6","817"
"FSM Girls","Mixed other","29.6","713"
"FSM Girls","White","19.6","23,199"
"FSM Girls","White British","19.1","21,768"
"FSM Girls","White Irish","14.0","100"
"FSM Girls","Gypsy/Roma","!","160"
"FSM Girls","Irish traveller","!","38"
"FSM Girls","White other","31.5","1,133"
"FSM Girls","Other","38.5","958"
"FSM Girls","Unknown","34.6","459"
"Non-FSM Boys","All","42.7","233,624"
"Non-FSM Boys","Asian","49.6","22,708"
"Non-FSM Boys","Bangladeshi","49.6","3,162"
"Non-FSM Boys","Indian","60.2","6,803"
"Non-FSM Boys","Pakistani","38.7","8,797"
"Non-FSM Boys","Asian other","55.4","3,946"
"Non-FSM Boys","Black","36.6","10,900"
"Non-FSM Boys","Black African","41.8","6,848"
"Non-FSM Boys","Black Caribbean","27.1","2,732"
"Non-FSM Boys","Black other","29.5","1,320"
"Non-FSM Boys","Chinese","68.2","1,011"
"Non-FSM Boys","Mixed","45.2","9,613"
"Non-FSM Boys","Mixed White/Asian","56.5","2,225"
"Non-FSM Boys","Mixed White/Black African","43.5","1,084"
"Non-FSM Boys","Mixed White/Black Caribbean","32.3","2,690"
"Non-FSM Boys","Mixed other","48.4","3,614"
"Non-FSM Boys","White","42.0","182,849"
"Non-FSM Boys","White British","42.3","169,987"
"Non-FSM Boys","White Irish","59.7","752"
"Non-FSM Boys","Gypsy/Roma","!","395"
"Non-FSM Boys","Irish traveller","!","26"
"Non-FSM Boys","White other","38.8","11,689"
"Non-FSM Boys","Other","42.8","3,417"
"Non-FSM Boys","Unknown","38.1","3,126"
"Non-FSM Girls","All","49.1","224,974"
"Non-FSM Girls","Asian","55.1","21,255"
"Non-FSM Girls","Bangladeshi","52.1","3,274"
"Non-FSM Girls","Indian","66.8","6,149"
"Non-FSM Girls","Pakistani","43.4","8,224"
"Non-FSM Girls","Asian other","64.7","3,608"
"Non-FSM Girls","Black","45.3","10,946"
"Non-FSM Girls","Black African","50.2","6,841"
"Non-FSM Girls","Black Caribbean","35.4","2,791"
"Non-FSM Girls","Black other","40.7","1,314"
"Non-FSM Girls","Chinese","76.7","931"
"Non-FSM Girls","Mixed","50.2","9,573"
"Non-FSM Girls","Mixed White/Asian","60.9","2,199"
"Non-FSM Girls","Mixed White/Black African","49.8","1,089"
"Non-FSM Girls","Mixed White/Black Caribbean","38.5","2,750"
"Non-FSM Girls","Mixed other","52.8","3,535"
"Non-FSM Girls","White","48.5","176,508"
"Non-FSM Girls","White British","48.7","164,015"
"Non-FSM Girls","White Irish","59.9","730"
"Non-FSM Girls","Gypsy/Roma","!","353"
"Non-FSM Girls","Irish traveller","!","26"
"Non-FSM Girls","White other","46.5","11,384"
"Non-FSM Girls","Other","49.5","3,012"
"Non-FSM Girls","Unknown","44.4","2,749"
