"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","Score","Pupils"
"All","County Durham","49","4,979"
"All","Darlington","48","1,139"
"All","Gateshead","50","1,913"
"All","Hartlepool","47","1,068"
"All","Middlesbrough","46","1,464"
"All","Newcastle upon Tyne","49","2,393"
"All","North Tyneside","51","1,945"
"All","Northumberland","48","3,198"
"All","Redcar and Cleveland","48","1,620"
"All","South Tyneside","49","1,535"
"All","Stockton-on-Tees","50","1,994"
"All","Sunderland","48","2,828"
"All","Blackburn with Darwen","50","1,754"
"All","Blackpool","44","1,331"
"All","Bolton","49","3,240"
"All","Bury","51","2,060"
"All","Cheshire East","52","3,740"
"All","Cheshire West and Chester","51","3,443"
"All","Cumbria","49","5,134"
"All","Halton","49","1,373"
"All","Knowsley","39","1,147"
"All","Lancashire","50","12,106"
"All","Liverpool","47","4,611"
"All","Manchester","47","4,715"
"All","Oldham","46","2,920"
"All","Rochdale","48","2,315"
"All","Salford","47","2,084"
"All","Sefton","49","3,076"
"All","St. Helens","49","1,767"
"All","Stockport","52","2,816"
"All","Tameside","49","2,493"
"All","Trafford","57","2,758"
"All","Warrington","50","2,365"
"All","Wigan","51","3,407"
"All","Wirral","52","3,402"
"All","Barnsley","47","2,088"
"All","Bradford","46","5,859"
"All","Calderdale","52","2,524"
"All","Doncaster","47","3,026"
"All","East Riding of Yorkshire","52","3,346"
"All","Kingston upon Hull, City of","48","2,255"
"All","Kirklees","49","4,534"
"All","Leeds","48","7,483"
"All","North East Lincolnshire","48","1,596"
"All","North Lincolnshire","49","1,856"
"All","North Yorkshire","52","6,188"
"All","Rotherham","49","3,335"
"All","Sheffield","48","5,242"
"All","Wakefield","49","3,645"
"All","York","53","1,585"
"All","Derby","46","2,787"
"All","Derbyshire","49","7,628"
"All","Leicester","46","3,409"
"All","Leicestershire","50","7,017"
"All","Lincolnshire","50","7,807"
"All","Northamptonshire","48","7,650"
"All","Nottingham","45","2,534"
"All","Nottinghamshire","51","7,883"
"All","Rutland","55","489"
"All","Birmingham","49","12,035"
"All","Coventry","48","3,463"
"All","Dudley","48","3,591"
"All","Herefordshire, County of","49","1,732"
"All","Sandwell","45","3,499"
"All","Shropshire","51","2,986"
"All","Solihull","51","2,987"
"All","Staffordshire","49","8,758"
"All","Stoke-on-Trent","47","2,269"
"All","Telford and Wrekin","50","2,014"
"All","Walsall","48","3,261"
"All","Warwickshire","52","5,585"
"All","Wolverhampton","48","2,470"
"All","Worcestershire","51","5,565"
"All","Bedford","49","1,862"
"All","Cambridgeshire","52","5,707"
"All","Central Bedfordshire","49","2,596"
"All","Essex","50","14,607"
"All","Hertfordshire","53","12,613"
"All","Luton","48","2,442"
"All","Norfolk","49","8,014"
"All","Peterborough","47","2,292"
"All","Southend-on-Sea","54","2,047"
"All","Suffolk","49","7,158"
"All","Thurrock","48","1,721"
"All","Camden","51","1,422"
"All","City of London","N/A","N/A"
"All","Hackney","53","2,038"
"All","Hammersmith and Fulham","54","1,350"
"All","Haringey","50","2,231"
"All","Islington","51","1,397"
"All","Kensington and Chelsea","57","740"
"All","Lambeth","50","1,887"
"All","Lewisham","48","2,334"
"All","Newham","51","3,489"
"All","Southwark","53","2,386"
"All","Tower Hamlets","50","2,570"
"All","Wandsworth","52","1,660"
"All","Westminster","55","1,566"
"All","Barking and Dagenham","50","2,201"
"All","Barnet","56","3,647"
"All","Bexley","52","3,192"
"All","Brent","52","3,035"
"All","Bromley","54","3,305"
"All","Croydon","49","3,844"
"All","Ealing","51","2,781"
"All","Enfield","50","3,579"
"All","Greenwich","50","2,204"
"All","Harrow","53","2,127"
"All","Havering","50","2,917"
"All","Hillingdon","51","3,136"
"All","Hounslow","51","2,667"
"All","Kingston upon Thames","58","1,515"
"All","Merton","52","1,440"
"All","Redbridge","54","3,363"
"All","Richmond upon Thames","55","1,367"
"All","Sutton","59","2,667"
"All","Waltham Forest","50","2,539"
"All","Bracknell Forest","51","1,076"
"All","Brighton and Hove","50","2,139"
"All","Buckinghamshire","55","5,622"
"All","East Sussex","49","4,930"
"All","Hampshire","51","13,101"
"All","Isle of Wight","44","1,305"
"All","Kent","50","15,727"
"All","Medway","50","2,967"
"All","Milton Keynes","49","2,800"
"All","Oxfordshire","50","5,975"
"All","Portsmouth","46","1,729"
"All","Reading","51","1,169"
"All","Slough","55","1,632"
"All","Southampton","48","1,952"
"All","Surrey","53","10,399"
"All","West Berkshire","51","1,906"
"All","West Sussex","51","8,118"
"All","Windsor and Maidenhead","53","1,470"
"All","Wokingham","54","1,601"
"All","Bath and North East Somerset","52","2,022"
"All","Bournemouth","51","1,617"
"All","Bristol, City of","48","3,138"
"All","Cornwall","50","5,432"
"All","Devon","51","6,971"
"All","Dorset","50","4,153"
"All","Gloucestershire","52","6,385"
"All","Isles of Scilly","50","23"
"All","North Somerset","50","2,176"
"All","Plymouth","48","2,640"
"All","Poole","53","1,438"
"All","Somerset","50","5,137"
"All","South Gloucestershire","48","2,770"
"All","Swindon","48","2,109"
"All","Torbay","51","1,511"
"All","Wiltshire","51","4,899"
"Asian","County Durham","59","33"
"Asian","Darlington","47","21"
"Asian","Gateshead","60","35"
"Asian","Hartlepool","54","14"
"Asian","Middlesbrough","52","172"
"Asian","Newcastle upon Tyne","52","249"
"Asian","North Tyneside","51","38"
"Asian","Northumberland","56","42"
"Asian","Redcar and Cleveland","49","21"
"Asian","South Tyneside","52","57"
"Asian","Stockton-on-Tees","52","106"
"Asian","Sunderland","55","90"
"Asian","Blackburn with Darwen","52","735"
"Asian","Blackpool","53","19"
"Asian","Bolton","54","611"
"Asian","Bury","52","244"
"Asian","Cheshire East","51","62"
"Asian","Cheshire West and Chester","57","37"
"Asian","Cumbria","54","31"
"Asian","Halton","!","!"
"Asian","Knowsley","!","!"
"Asian","Lancashire","50","1,147"
