"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"FSM","Ethnicity","Score","Pupils"
"Non-FSM","All","52","468,161"
"Non-FSM","Asian","54","42,200"
"Non-FSM","Bangladeshi","53","5,858"
"Non-FSM","Indian","58","13,004"
"Non-FSM","Pakistani","50","15,898"
"Non-FSM","Asian other","56","7,440"
"Non-FSM","Black","50","21,380"
"Non-FSM","Black African","52","13,263"
"Non-FSM","Black Caribbean","47","5,527"
"Non-FSM","Black other","48","2,590"
"Non-FSM","Chinese","63","1,896"
"Non-FSM","Mixed","53","18,628"
"Non-FSM","Mixed White/Asian","56","4,357"
"Non-FSM","Mixed White/Black African","52","2,158"
"Non-FSM","Mixed White/Black Caribbean","49","5,540"
"Non-FSM","Mixed other","54","6,573"
"Non-FSM","White","51","373,168"
"Non-FSM","White British","52","348,878"
"Non-FSM","White Irish","57","1,561"
"Non-FSM","White Irish Traveller","35","49"
"Non-FSM","White Gypsy/Roma","20","777"
"Non-FSM","White other","50","21,903"
"Non-FSM","Other","52","6,095"
"Non-FSM","Unknown","46","4,794"
"FSM","All","39","72,528"
"FSM","Asian","47","9,018"
"FSM","Bangladeshi","50","2,461"
"FSM","Indian","49","1,042"
"FSM","Pakistani","44","4,536"
"FSM","Asian other","48","979"
"FSM","Black","44","6,544"
"FSM","Black African","46","4,086"
"FSM","Black Caribbean","40","1,689"
"FSM","Black other","42","769"
"FSM","Chinese","59","130"
"FSM","Mixed","41","4,240"
"FSM","Mixed White/Asian","43","732"
"FSM","Mixed White/Black African","44","529"
"FSM","Mixed White/Black Caribbean","39","1,620"
"FSM","Mixed other","42","1,359"
"FSM","White","37","49,595"
"FSM","White British","36","46,438"
"FSM","White Irish","40","213"
"FSM","White Irish Traveller","26","73"
"FSM","White Gypsy/Roma","21","330"
"FSM","White other","43","2,541"
"FSM","Other","46","2,024"
"FSM","Unknown","37","977"
