"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%","Pupils"
"All","All - England","25","537,808"
"All","Barking and Dagenham","22","2,201"
"All","Barnet","44","3,647"
"All","Barnsley","18","2,088"
"All","Bath and North East Somerset","33","2,022"
"All","Bedford","18","1,862"
"All","Bexley","29","3,192"
"All","Birmingham","25","12,035"
"All","Blackburn with Darwen","25","1,754"
"All","Blackpool","9","1,331"
"All","Bolton","20","3,240"
"All","Bournemouth","28","1,617"
"All","Bracknell Forest","22","1,076"
"All","Bradford","17","5,859"
"All","Brent","32","3,035"
"All","Brighton and Hove","25","2,139"
"All","Bristol, City of","18","3,138"
"All","Bromley","36","3,305"
"All","Buckinghamshire","37","5,622"
"All","Bury","27","2,060"
"All","Calderdale","25","2,524"
"All","Cambridgeshire","27","5,707"
"All","Camden","28","1,422"
"All","Central Bedfordshire","20","2,596"
"All","Cheshire East","27","3,740"
"All","Cheshire West and Chester","30","3,443"
"All","City of London","N/A","N/A"
"All","Cornwall","19","5,432"
"All","County Durham","25","4,979"
"All","Coventry","21","3,463"
"All","Croydon","24","3,844"
"All","Cumbria","22","5,134"
"All","Darlington","24","1,139"
"All","Derby","20","2,787"
"All","Derbyshire","19","7,628"
"All","Devon","23","6,971"
"All","Doncaster","16","3,026"
"All","Dorset","24","4,153"
"All","Dudley","17","3,591"
"All","Ealing","35","2,781"
"All","East Riding of Yorkshire","22","3,346"
"All","East Sussex","22","4,930"
"All","Enfield","31","3,579"
"All","Essex","23","14,607"
"All","Gateshead","25","1,913"
"All","Gloucestershire","27","6,385"
"All","Greenwich","27","2,204"
"All","Hackney","33","2,038"
"All","Halton","33","1,373"
"All","Hammersmith and Fulham","41","1,350"
"All","Hampshire","26","13,101"
"All","Haringey","28","2,231"
"All","Harrow","33","2,127"
"All","Hartlepool","14","1,068"
"All","Havering","28","2,917"
"All","Herefordshire, County of","23","1,732"
"All","Hertfordshire","33","12,613"
"All","Hillingdon","26","3,136"
"All","Hounslow","37","2,667"
"All","Isle of Wight","13","1,305"
"All","Isles of Scilly","!","23"
"All","Islington","27","1,397"
"All","Kensington and Chelsea","38","740"
"All","Kent","30","15,727"
"All","Kingston upon Hull, City of","20","2,255"
"All","Kingston upon Thames","49","1,515"
"All","Kirklees","22","4,534"
"All","Knowsley","11","1,147"
"All","Lambeth","25","1,887"
"All","Lancashire","22","12,106"
"All","Leeds","23","7,483"
"All","Leicester","19","3,409"
"All","Leicestershire","19","7,017"
"All","Lewisham","23","2,334"
"All","Lincolnshire","28","7,807"
"All","Liverpool","23","4,611"
"All","Luton","18","2,442"
