"","All","","Boys","","Girls",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils"
"All","25","540,689","20","275,606","30","265,083"
"Asian","31","51,218","25","26,559","38","24,659"
"Bangladeshi","29","8,319","23","4,239","36","4,080"
"Indian","41","14,046","35","7,321","49","6,725"
"Pakistani","22","20,434","17","10,559","29","9,875"
"Asian other","38","8,419","30","4,440","47","3,979"
"Black","23","27,924","16","13,911","30","14,013"
"Black African","26","17,349","19","8,669","33","8,680"
"Black Caribbean","16","7,216","10","3,548","22","3,668"
"Black other","20","3,359","14","1,694","27","1,665"
"Chinese","52","2,026","44","1,033","60","993"
"Mixed","27","22,868","22","11,535","32","11,333"
"Mixed White/Asian","35","5,089","30","2,542","41","2,547"
"Mixed White/Black African","26","2,687","21","1,354","31","1,333"
"Mixed White/Black Caribbean","18","7,160","13","3,614","22","3,546"
"Mixed other","30","7,932","25","4,025","35","3,907"
"White","24","422,763","19","215,354","29","207,409"
"White British","23","395,316","19","201,407","29","193,909"
"White Irish","35","1,774","29","883","40","891"
"White Irish Traveller","3","122","!","67","!","55"
"White Gypsy/Roma","1","1,107","!","534","!","573"
"White other","28","24,444","24","12,463","33","11,981"
"Other","31","8,119","26","4,242","36","3,877"
"Unknown","21","5,771","17","2,972","25","2,799"
