"Title","EBacc entry by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","All","White","Mixed","Asian","Black","Chinese"
"Local authority","%","%","%","%","%","%"
"England","39.8","38.3","42.4","47.7","43.4","63.7"
"County Durham","41.7","41.5","61.9","75.8","50.0","!"
"Darlington","38.2","37.8","46.7","42.9","!","!"
"Gateshead","40.5","39.7","50.0","60.0","35.7","!"
"Hartlepool","36.1","35.6","50.0","64.3","!","!"
"Middlesbrough","20.2","20.3","24.5","21.5","26.7","N/A"
"Newcastle upon Tyne","36.1","34.2","52.3","44.6","35.0","69.2"
"North Tyneside","37.8","37.0","51.4","44.7","72.7","66.7"
"Northumberland","32.2","32.0","33.3","50.0","!","!"
"Redcar and Cleveland","29.2","28.8","45.0","42.9","!","!"
"South Tyneside","34.7","34.0","35.3","49.1","!","N/A"
"Stockton-on-Tees","40.2","39.8","44.0","42.5","!","!"
"Sunderland","36.9","36.0","55.6","56.7","62.5","100.0"
"Blackburn with Darwen","35.1","25.5","32.8","47.5","20.0","!"
"Blackpool","18.5","18.3","16.7","31.6","33.3","!"
"Bolton","32.7","26.1","30.7","57.6","37.9","57.1"
"Bury","48.3","48.3","48.5","48.4","50.0","!"
"Cheshire East","38.5","38.7","35.5","38.7","!","60.0"
"Cheshire West and Chester","47.1","47.2","50.0","37.8","41.7","62.5"
"Cumbria","36.6","36.5","43.4","38.7","46.2","66.7"
"Halton","57.5","57.2","68.0","!","!","N/A"
"Knowsley","23.6","23.1","!","!","!","!"
"Lancashire","33.4","33.1","33.9","35.7","31.6","40.6"
"Liverpool","40.0","40.2","26.6","60.6","42.3","64.4"
"Manchester","35.5","32.7","29.7","44.3","32.4","51.2"
"Oldham","24.8","26.8","17.8","22.0","14.9","42.9"
"Rochdale","26.3","21.7","33.7","36.5","36.5","!"
"Salford","45.6","45.0","46.3","55.3","47.4","!"
"Sefton","42.6","43.4","36.7","52.2","60.0","!"
"St. Helens","36.5","37.4","!","50.0","!","!"
"Stockport","46.1","45.6","47.6","56.5","38.1","50.0"
"Tameside","31.0","30.7","28.4","34.8","28.6","41.7"
"Trafford","46.7","46.4","50.0","45.6","36.0","71.4"
"Warrington","37.5","37.1","34.3","53.1","42.9","50.0"
"Wigan","33.6","33.3","36.4","30.0","68.8","!"
"Wirral","49.7","49.1","52.2","67.2","!","78.6"
"Barnsley","28.6","28.5","40.0","!","33.3","N/A"
"Bradford","32.2","31.3","31.7","33.6","30.9","!"
"Calderdale","35.1","35.5","29.0","34.7","40.0","!"
"Doncaster","27.4","27.2","29.5","28.6","42.9","60.0"
"East Riding of Yorkshire","36.9","36.6","28.3","58.3","!","!"
"Kingston upon Hull, City of","40.3","41.5","40.9","64.7","43.5","!"
"Kirklees","36.1","35.9","29.8","39.0","25.9","60.0"
"Leeds","40.8","40.9","40.9","43.1","36.8","50.0"
"North East Lincolnshire","35.1","35.3","31.6","!","!","!"
"North Lincolnshire","32.8","32.5","36.8","37.1","36.4","100.0"
"North Yorkshire","41.1","40.9","42.7","44.1","44.4","61.5"
"Rotherham","31.2","31.5","37.9","20.8","50.0","!"
"Sheffield","39.4","39.0","40.4","39.1","37.7","61.1"
"Wakefield","33.0","32.8","34.4","39.7","21.1","!"
"York","56.3","55.9","66.7","72.7","66.7","66.7"
"Derby","32.8","30.5","36.1","43.6","22.4","50.0"
"Derbyshire","31.0","30.8","28.0","38.7","!","35.7"
"Leicester","32.2","19.1","28.6","42.6","31.0","!"
"Leicestershire","31.5","29.7","35.8","50.5","20.9","54.5"
"Lincolnshire","43.6","43.0","55.2","!","44.1","75.8"
"Northamptonshire","40.5","39.7","39.4","49.1","44.7","70.0"
"Nottingham","32.2","27.6","37.2","42.0","31.0","!"
"Nottinghamshire","40.8","40.1","39.6","56.1","55.1","68.0"
"Rutland","32.7","32.4","55.6","!","!","N/A"
"Birmingham","41.9","40.0","41.2","43.8","38.8","66.7"
"Coventry","39.5","35.8","39.2","49.4","46.4","66.7"
"Dudley","33.1","33.1","27.9","33.9","42.9","!"
"Herefordshire, County of","43.1","42.9","52.0","!","!","!"
"Sandwell","22.3","18.7","21.1","30.0","21.0","!"
"Shropshire","38.3","38.3","39.6","!","!","50.0"
"Solihull","44.8","44.5","39.2","53.6","44.4","50.0"
"Staffordshire","34.7","34.7","33.9","35.4","32.4","50.0"
"Stoke-on-Trent","27.9","26.9","21.7","32.6","37.5","55.6"
"Telford and Wrekin","46.2","45.9","47.1","49.6","38.9","66.7"
"Walsall","35.7","33.0","33.5","45.4","37.4","100.0"
"Warwickshire","42.2","41.4","46.0","54.4","32.0","62.5"
"Wolverhampton","25.7","22.4","20.2","40.2","19.5","!"
"Worcestershire","39.3","39.8","40.2","26.8","20.0","!"
"Bedford","31.4","32.9","27.3","26.7","27.5","!"
"Cambridgeshire","41.3","40.2","50.0","54.7","35.7","76.7"
"Central Bedfordshire","36.1","35.0","37.9","58.7","61.4","50.0"
"Essex","38.0","36.3","47.1","70.9","54.7","62.7"
"Hertfordshire","46.0","44.7","46.2","55.9","50.6","74.6"
"Luton","33.4","24.2","25.0","43.2","35.0","!"
"Norfolk","35.6","35.4","34.8","51.1","42.6","48.0"
"Peterborough","37.7","35.8","41.9","42.5","50.7","62.5"
"Southend-on-Sea","41.6","37.1","44.0","70.4","62.4","68.2"
"Suffolk","30.2","29.8","33.1","46.1","24.5","!"
"Thurrock","41.8","39.6","50.8","55.4","51.2","55.6"
"Camden","45.9","49.4","42.3","45.2","39.7","!"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A"
"Hackney","52.5","53.3","51.3","61.4","48.7","66.7"
"Hammersmith and Fulham","64.6","67.9","69.2","65.5","55.3","50.0"
"Haringey","39.1","40.9","42.7","48.0","30.4","25.0"
"Islington","44.5","40.3","36.7","49.4","47.3","!"
"Kensington and Chelsea","52.4","54.5","54.0","61.5","43.2","!"
"Lambeth","50.6","50.3","45.2","59.5","50.9","66.7"
"Lewisham","42.4","42.1","46.9","57.4","38.0","56.8"
"Newham","51.5","36.1","49.7","58.5","48.3","45.5"
"Southwark","57.9","55.2","56.1","66.1","58.2","73.5"
"Tower Hamlets","46.1","29.4","27.9","52.7","43.6","50.0"
"Wandsworth","58.4","56.4","55.3","70.0","52.8","78.6"
"Westminster","48.6","55.9","48.5","45.2","43.5","61.1"
"Barking and Dagenham","35.2","33.0","24.8","40.7","38.7","!"
"Barnet","60.1","56.8","62.5","75.2","54.8","78.3"
"Bexley","43.5","37.2","42.9","60.9","58.8","72.5"
"Brent","54.6","48.7","52.5","63.1","44.3","!"
"Bromley","50.9","51.7","53.7","66.5","45.2","72.2"
"Croydon","44.6","44.7","46.7","55.2","43.5","76.2"
"Ealing","55.4","61.4","59.0","48.5","49.1","100.0"
"Enfield","54.8","54.0","56.2","70.0","50.1","80.0"
"Greenwich","47.3","40.6","50.5","60.9","52.2","66.7"
"Harrow","54.0","47.9","55.8","57.2","53.2","72.7"
"Havering","48.6","46.8","50.4","62.4","55.5","54.5"
"Hillingdon","42.2","34.6","40.8","57.5","41.6","41.7"
"Hounslow","57.2","54.9","65.2","67.7","53.5","!"
