"Title","EBacc entry by ethnicity, gender and basis for school admission"
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Admissions basis","All","Boys","Girls"
"All","All state-funded mainstream schools","40","35","46"
"All","Non-selective schools in highly selective areas","28","24","33"
"All","Non-selective schools in other areas (inc. low selective areas)","39","34","45"
"All","Selective schools","83","82","85"
"Asian","All state-funded mainstream schools","48","42","54"
"Asian","Non-selective schools in highly selective areas","30","24","36"
"Asian","Non-selective schools in other areas (inc. low selective areas)","46","39","53"
"Asian","Selective schools","85","82","89"
"Black","All state-funded mainstream schools","44","37","51"
"Black","Non-selective schools in highly selective areas","38","28","47"
"Black","Non-selective schools in other areas (inc. low selective areas)","43","36","50"
"Black","Selective schools","84","80","88"
"Chinese","All state-funded mainstream schools","63","57","70"
"Chinese","Non-selective schools in highly selective areas","46","48","44"
"Chinese","Non-selective schools in other areas (inc. low selective areas)","59","51","67"
"Chinese","Selective schools","86","84","89"
"Mixed","All state-funded mainstream schools","43","38","48"
"Mixed","Non-selective schools in highly selective areas","30","26","34"
"Mixed","Non-selective schools in other areas (inc. low selective areas)","42","36","47"
"Mixed","Selective schools","86","85","86"
"White","All state-funded mainstream schools","39","34","44"
"White","Non-selective schools in highly selective areas","28","23","32"
"White","Non-selective schools in other areas (inc. low selective areas)","38","33","43"
"White","Selective schools","83","82","84"
