"Title","EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","Non-FSM Boys","","Non-FSM Girls","","FSM Boys","","FSM Girls",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All","37","238,526","48","229,635","19","37,080","27","35,448"
"Asian","43","21,835","56","20,365","31","4,724","42","4,294"
"Bangladeshi","41","2,972","55","2,886","39","1,267","45","1,194"
"Indian","51","6,782","64","6,222","34","539","48","503"
"Pakistani","35","8,163","48","7,735","24","2,396","38","2,140"
"Asian other","48","3,918","63","3,522","38","522","46","457"
"Black","38","10,594","53","10,786","28","3,317","42","3,227"
"Black African","42","6,594","56","6,669","32","2,075","47","2,011"
"Black Caribbean","31","2,710","47","2,817","20","838","32","851"
"Black other","34","1,290","50","1,300","24","404","38","365"
"Chinese","57","966","70","930","45","67","67","63"
"Mixed","41","9,414","51","9,214","22","2,121","31","2,119"
"Mixed White/Asian","48","2,180","59","2,177","22","362","33","370"
"Mixed White/Black African","40","1,079","50","1,079","26","275","39","254"
"Mixed White/Black Caribbean","31","2,798","42","2,742","16","816","25","804"
"Mixed other","44","3,357","54","3,216","28","668","35","691"
"White","36","190,070","46","183,098","15","25,284","21","24,311"
"White British","35","177,753","46","171,125","14","23,654","20","22,784"
"White Irish","47","768","59","793","25","115","24","98"
"White Irish Traveller","12","26","22","23","!","41","!","32"
"White Gypsy/Roma","5","377","6","400","!","157","!","173"
"White other","42","11,146","52","10,757","32","1,317","39","1,224"
"Other","46","3,182","57","2,913","37","1,060","48","964"
"Unknown","31","2,465","43","2,329","16","507","26","470"
