"Title","EBacc entry by ethnicity, gender and religion of school"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","40","35","46","48","42","54","44","37","51","63","57","70","43","38","48","39","34","44"
"Church of England schools","42","38","46","49","46","53","47","41","54","65","64","67","45","41","48","41","37","45"
"Jewish schools","51","54","49","60","55","65","69","!","!","!","!","!","48","50","47","46","50","43"
"Muslim schools","68","60","71","69","60","73","59","60","58","N/A","N/A","N/A","56","!","!","!","N/A","!"
"No religious character","40","35","45","47","41","54","43","35","50","64","57","71","42","37","48","38","33","43"
"Other Christian faith schools","40","37","44","52","48","57","36","31","44","61","49","77","45","44","46","39","36","43"
"Roman Catholic schools","45","39","50","47","40","55","48","43","52","57","44","67","46","41","50","44","38","49"
"Sikh school","78","82","75","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
