"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","All","Boys","Girls"
"All","All - England","40","35","45"
"All","Barking and Dagenham","35","28","42"
"All","Barnet","60","57","63"
"All","Barnsley","29","25","33"
"All","Bath and North East Somerset","52","50","55"
"All","Bedford","31","26","37"
"All","Bexley","44","38","49"
"All","Birmingham","42","36","49"
"All","Blackburn with Darwen","35","30","41"
"All","Blackpool","19","14","23"
"All","Bolton","33","28","39"
"All","Bournemouth","43","39","47"
"All","Bracknell Forest","38","32","44"
"All","Bradford","32","25","39"
"All","Brent","55","49","61"
"All","Brighton and Hove","39","36","42"
"All","Bristol, City of","32","26","38"
"All","Bromley","51","42","59"
"All","Buckinghamshire","44","40","48"
"All","Bury","48","46","51"
"All","Calderdale","35","30","41"
"All","Cambridgeshire","41","36","47"
"All","Camden","46","39","51"
"All","Central Bedfordshire","36","30","42"
"All","Cheshire East","39","30","47"
"All","Cheshire West and Chester","47","42","52"
"All","City of London","N/A","N/A","N/A"
"All","Cornwall","33","28","38"
"All","County Durham","42","37","47"
"All","Coventry","40","33","46"
"All","Croydon","45","35","54"
"All","Cumbria","37","32","42"
"All","Darlington","38","34","43"
"All","Derby","33","28","38"
"All","Derbyshire","31","26","36"
"All","Devon","43","38","47"
"All","Doncaster","27","22","33"
"All","Dorset","46","43","50"
"All","Dudley","33","29","38"
"All","Ealing","55","50","61"
"All","East Riding of Yorkshire","37","30","44"
"All","East Sussex","35","30","39"
"All","Enfield","55","49","61"
"All","Essex","38","33","43"
"All","Gateshead","41","36","46"
"All","Gloucestershire","35","31","39"
"All","Greenwich","47","43","52"
"All","Hackney","53","48","56"
"All","Halton","58","53","62"
"All","Hammersmith and Fulham","65","62","67"
"All","Hampshire","41","36","47"
"All","Haringey","39","32","46"
"All","Harrow","54","45","63"
"All","Hartlepool","36","31","42"
"All","Havering","49","46","51"
"All","Herefordshire, County of","43","35","52"
"All","Hertfordshire","46","42","50"
"All","Hillingdon","42","37","48"
"All","Hounslow","57","54","60"
"All","Isle of Wight","28","23","35"
