"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"Academies and free schools","51","337,452","54","28,983","50","15,874","64","1,416","52","14,288","51","268,711"
"All state-funded mainstream schools","51","530,580","53","50,515","50","27,407","63","2,008","51","22,465","51","414,528"
"All state-funded schools","50","540,689","53","51,218","49","27,924","62","2,026","51","22,868","50","422,763"
"Converter academies","53","247,551","56","20,958","51","9,482","65","1,127","54","10,292","53","200,260"
"Free schools","51","1,838","55","411","49","60","60","8","53","79","50","1,187"
"Further education colleges with provision for 14- to 16-year-olds","18","885","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Local authority maintained mainstream schools","50","191,701","52","21,499","49","11,496","61","591","50","8,130","50","145,402"
"Sponsored academies","46","85,080","49","7,419","48","6,173","61","277","47","3,759","45","64,925"
"State-funded special schools","4","10,109","2","703","2","517","2","18","5","403","4","8,235"
"Studio schools","37","1,119","41","70","35","29","!","!","38","50","37","927"
"University technical colleges","43","1,864","41","125","41","130","!","!","45","108","44","1,412"
