"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","Non-FSM Boys","","Non-FSM Girls","","FSM Boys","","FSM Girls",""
"Ethnicity","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All","49","238,526","54","229,635","37","37,080","42","35,448"
"Asian","52","21,835","56","20,365","45","4,724","49","4,294"
"Bangladeshi","51","2,972","55","2,886","48","1,267","51","1,194"
"Indian","56","6,782","59","6,222","47","539","52","503"
"Pakistani","48","8,163","52","7,735","42","2,396","46","2,140"
"Asian other","53","3,918","59","3,522","47","522","50","457"
"Black","47","10,594","53","10,786","41","3,317","47","3,227"
"Black African","49","6,594","54","6,669","43","2,075","49","2,011"
"Black Caribbean","44","2,710","50","2,817","36","838","44","851"
"Black other","45","1,290","52","1,300","39","404","46","365"
"Chinese","60","966","65","930","56","67","62","63"
"Mixed","50","9,414","55","9,214","39","2,121","44","2,119"
"Mixed White/Asian","55","2,180","58","2,177","41","362","46","370"
"Mixed White/Black African","49","1,079","54","1,079","41","275","47","254"
"Mixed White/Black Caribbean","46","2,798","52","2,742","36","816","42","804"
"Mixed other","51","3,357","56","3,216","40","668","44","691"
"White","49","190,070","54","183,098","34","25,284","39","24,311"
"White British","49","177,753","54","171,125","34","23,654","39","22,784"
"White Irish","54","768","59","793","38","115","41","98"
"White Irish Traveller","31","26","38","23","25","41","27","32"
"White Gypsy/Roma","19","377","22","400","19","157","22","173"
"White other","48","11,146","53","10,757","41","1,317","45","1,224"
"Other","49","3,182","54","2,913","44","1,060","48","964"
"Unknown","43","2,465","49","2,329","34","507","40","470"
