"Ethnicity","SEN","All","Boys","Girls"
"All","All SEN","27.1","25.9","29.2"
"All","No identified SEN","49.5","47.6","51.4"
"All","SEN Support","31.9","30.9","33.4"
"All","SEN with a statement or EHC plan","13.9","14.5","12.4"
"Asian","All SEN","27.6","26.4","29.5"
"Asian","No identified SEN","52.5","50.4","54.5"
"Asian","SEN Support","32.7","31.4","34.6"
"Asian","SEN with a statement or EHC plan","13.1","13.5","12.2"
"Black","All SEN","27.1","25.5","29.6"
"Black","No identified SEN","47.9","45.1","50.5"
"Black","SEN Support","31.7","30.5","33.5"
"Black","SEN with a statement or EHC plan","12.9","13.5","11.4"
"Chinese","All SEN","36.5","36.5","36.5"
"Chinese","No identified SEN","64.3","62.5","66.1"
"Chinese","SEN Support","44.0","43.1","45.8"
"Chinese","SEN with a statement or EHC plan","18.1","18.0","18.1"
"Mixed","All SEN","27.7","26.2","30.2"
"Mixed","No identified SEN","50.3","48.3","52.2"
"Mixed","SEN Support","32.6","31.4","34.1"
"Mixed","SEN with a statement or EHC plan","13.9","14.3","12.8"
"White","All SEN","27.0","25.9","29.1"
"White","No identified SEN","49.1","47.2","50.9"
"White","SEN Support","31.8","30.9","33.2"
"White","SEN with a statement or EHC plan","14.1","14.6","12.5"
