"Ethnicity","Score","Pupils"
"All","46.3"," 527,859 "
"Asian","49.8"," 52,787 "
"Bangladeshi","49.9"," 8,874 "
"Indian","55.4"," 13,968 "
"Pakistani","45.0"," 21,323 "
"Asian other","52.3"," 8,622 "
"Black","44.8"," 27,922 "
"Black African","46.9"," 17,466 "
"Black Caribbean","40.5"," 7,097 "
"Black other","42.6"," 3,359 "
"Chinese","62.6"," 2,073 "
"Mixed","47.0"," 23,483 "
"Mixed White/Asian","51.8"," 5,147 "
"Mixed White/Black African","47.0"," 2,714 "
"Mixed White/Black Caribbean","41.3"," 7,038 "
"Mixed other","48.8"," 8,584 "
"White","45.9"," 406,342 "
"White British","45.9"," 378,108 "
"White Irish","51.6"," 1,676 "
"Gypsy/Roma","18.0"," 1,073 "
"Irish traveller","23.8","118"
"White other","46.5"," 25,367 "
"Other","46.8"," 8,441 "
"Unknown","39.9"," 6,811"
