"Title","Pupil progress (‘Progress 8’)  by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Local Authority","Score","Pupils"
"All pupils","All - England","-0.03","512,084"
"All pupils","Barking and Dagenham","0.15","2,024"
"All pupils","Barnet","0.33","3,265"
"All pupils","Barnsley","-0.22","2,042"
"All pupils","Bath and North East Somerset","-0.02","1,939"
"All pupils","Bedford","0.14","1,762"
"All pupils","Bexley","-0.04","3,052"
"All pupils","Birmingham","0.00","11,289"
"All pupils","Blackburn with Darwen","0.11","1,696"
"All pupils","Blackpool","-0.38","1,286"
"All pupils","Bolton","-0.20","3,093"
"All pupils","Bournemouth","-0.01","1,484"
"All pupils","Bracknell Forest","0.09","1,026"
"All pupils","Bradford","-0.15","5,561"
"All pupils","Brent","0.31","2,577"
"All pupils","Brighton and Hove","0.02","2,017"
"All pupils","Bristol, City of","-0.19","2,952"
"All pupils","Bromley","0.10","3,138"
"All pupils","Buckinghamshire","0.01","5,139"
"All pupils","Bury","-0.06","1,976"
"All pupils","Calderdale","-0.03","2,461"
"All pupils","Cambridgeshire","0.11","5,434"
"All pupils","Camden","0.00","1,344"
"All pupils","Central Bedfordshire","-0.07","2,532"
"All pupils","Cheshire East","-0.15","3,637"
"All pupils","Cheshire West and Chester","0.04","3,285"
"All pupils","City of London","N/A","N/A"
"All pupils","Cornwall","0.03","5,271"
"All pupils","County Durham","-0.13","4,909"
"All pupils","Coventry","-0.05","3,242"
"All pupils","Croydon","0.08","3,395"
"All pupils","Cumbria","-0.23","4,990"
"All pupils","Darlington","-0.39","1,100"
"All pupils","Derby","-0.17","2,639"
"All pupils","Derbyshire","-0.27","7,505"
"All pupils","Devon","-0.02","6,721"
"All pupils","Doncaster","-0.21","2,928"
"All pupils","Dorset","-0.04","4,038"
"All pupils","Dudley","-0.22","3,515"
"All pupils","Ealing","0.28","2,459"
"All pupils","East Riding of Yorkshire","0.10","3,289"
"All pupils","East Sussex","0.04","4,753"
"All pupils","Enfield","0.05","3,304"
"All pupils","Essex","0.00","14,052"
"All pupils","Gateshead","-0.15","1,880"
"All pupils","Gloucestershire","-0.05","5,971"
"All pupils","Greenwich","-0.01","2,009"
"All pupils","Hackney","0.35","1,910"
"All pupils","Halton","-0.19","1,356"
"All pupils","Hammersmith and Fulham","0.12","1,228"
"All pupils","Hampshire","-0.03","12,632"
"All pupils","Haringey","0.28","1,977"
"All pupils","Harrow","0.32","1,879"
"All pupils","Hartlepool","-0.33","1,050"
"All pupils","Havering","-0.14","2,810"
"All pupils","Herefordshire, County of","-0.03","1,634"
"All pupils","Hertfordshire","0.06","12,043"
"All pupils","Hillingdon","0.06","2,926"
"All pupils","Hounslow","0.29","2,355"
"All pupils","Isle of Wight","-0.33","1,271"
"All pupils","Isles of Scilly","0.00","22"
"All pupils","Islington","0.19","1,309"
"All pupils","Kensington and Chelsea","0.34","679"
"All pupils","Kent","-0.04","14,844"
"All pupils","Kingston upon Hull, City of","0.03","2,172"
"All pupils","Kingston upon Thames","0.34","1,416"
"All pupils","Kirklees","-0.11","4,397"
"All pupils","Knowsley","-0.89","1,126"
"All pupils","Lambeth","0.06","1,731"
"All pupils","Lancashire","-0.11","11,764"
"All pupils","Leeds","-0.06","7,128"
"All pupils","Leicester","-0.14","3,055"
"All pupils","Leicestershire","-0.12","6,847"
"All pupils","Lewisham","-0.14","2,139"
"All pupils","Lincolnshire","-0.11","7,448"
"All pupils","Liverpool","-0.35","4,387"
"All pupils","Luton","0.01","2,260"
"All pupils","Manchester","-0.03","4,236"
"All pupils","Medway","0.05","2,849"
"All pupils","Merton","0.27","1,298"
"All pupils","Middlesbrough","-0.12","1,408"
"All pupils","Milton Keynes","-0.12","2,623"
"All pupils","Newcastle upon Tyne","-0.07","2,271"
"All pupils","Newham","0.23","3,112"
"All pupils","Norfolk","0.01","7,692"
"All pupils","North East Lincolnshire","-0.06","1,565"
"All pupils","North Lincolnshire","0.08","1,817"
"All pupils","North Somerset","-0.12","2,098"
"All pupils","North Tyneside","-0.04","1,883"
"All pupils","North Yorkshire","0.04","5,958"
"All pupils","Northamptonshire","-0.13","7,319"
"All pupils","Northumberland","-0.14","3,128"
"All pupils","Nottingham","-0.35","2,376"
"All pupils","Nottinghamshire","-0.04","7,691"
"All pupils","Oldham","-0.34","2,811"
"All pupils","Oxfordshire","0.01","5,677"
"All pupils","Peterborough","-0.03","2,097"
"All pupils","Plymouth","-0.14","2,565"
"All pupils","Poole","0.04","1,378"
"All pupils","Portsmouth","-0.17","1,662"
"All pupils","Reading","-0.11","1,051"
"All pupils","Redbridge","0.28","3,097"
"All pupils","Redcar and Cleveland","-0.30","1,610"
"All pupils","Richmond upon Thames","0.10","1,266"
"All pupils","Rochdale","-0.08","2,247"
"All pupils","Rotherham","0.04","3,257"
"All pupils","Rutland","0.29","466"
"All pupils","Salford","-0.30","1,953"
"All pupils","Sandwell","-0.29","3,318"
"All pupils","Sefton","-0.24","3,012"
"All pupils","Sheffield","0.01","5,012"
"All pupils","Shropshire","-0.05","2,825"
"All pupils","Slough","0.22","1,519"
"All pupils","Solihull","-0.09","2,921"
"All pupils","Somerset","0.03","4,935"
"All pupils","South Gloucestershire","-0.23","2,699"
"All pupils","South Tyneside","-0.16","1,517"
"All pupils","Southampton","-0.12","1,849"
"All pupils","Southend-on-Sea","-0.01","1,926"
"All pupils","Southwark","0.22","2,192"
"All pupils","St. Helens","-0.33","1,740"
"All pupils","Staffordshire","-0.10","8,576"
"All pupils","Stockport","0.02","2,741"
"All pupils","Stockton-on-Tees","-0.17","1,950"
