"Title","Pupil progress (‘Progress 8’) by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Type of School","Score","Pupils"
"All pupils","All state-funded schools","-0.03","512,084"
"All pupils","All state-funded mainstream schools","0.00","502,780"
"All pupils","Academies and free schools","0.03","319,987"
"All pupils","Converter academies","0.09","236,148"
"All pupils","Free schools","-0.02","1,659"
"All pupils","Sponsored academies","-0.14","79,406"
"All pupils","Further education colleges with provision for 14- to 16-year-olds","-1.99","576"
"All pupils","Local authority maintained mainstream schools","-0.03","181,702"
"All pupils","State-funded special schools","-1.78","9,304"
"All pupils","Studio schools","-0.86","1,029"
"All pupils","University technical colleges","-0.64","1,745"
"Asian","All state-funded schools","0.31","46,394"
"Asian","All state-funded mainstream schools","0.34","45,767"
"Asian","Academies and free schools","0.37","26,282"
"Asian","Converter academies","0.41","19,252"
"Asian","Free schools","0.40","379"
"Asian","Sponsored academies","0.26","6,494"
"Asian","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Asian","Local authority maintained mainstream schools","0.29","19,452"
"Asian","State-funded special schools","-1.53","627"
"Asian","Studio schools","-0.33","48"
"Asian","University technical colleges","-0.78","109"
"Black","All state-funded schools","0.17","24,265"
"Black","All state-funded mainstream schools","0.21","23,807"
"Black","Academies and free schools","0.23","13,781"
"Black","Converter academies","0.24","8,476"
"Black","Free schools","0.05","50"
"Black","Sponsored academies","0.24","5,128"
"Black","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Black","Local authority maintained mainstream schools","0.18","9,990"
"Black","State-funded special schools","-1.66","458"
"Black","Studio schools","-0.66","20"
"Black","University technical colleges","-0.50","107"
"Chinese","All state-funded schools","0.68","1,606"
"Chinese","All state-funded mainstream schools","0.70","1,588"
"Chinese","Academies and free schools","0.70","1,118"
"Chinese","Converter academies","0.66","893"
"Chinese","Free schools","0.28","7"
"Chinese","Sponsored academies","0.87","217"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Chinese","Local authority maintained mainstream schools","0.71","469"
"Chinese","State-funded special schools","-1.46","18"
"Chinese","Studio schools","!","!"
"Chinese","University technical colleges","!","!"
"Mixed","All state-funded schools","-0.04","21,311"
"Mixed","All state-funded mainstream schools","-0.01","20,948"
"Mixed","Academies and free schools","0.04","13,288"
"Mixed","Converter academies","0.10","9,620"
"Mixed","Free schools","0.13","71"
"Mixed","Sponsored academies","-0.09","3,453"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Mixed","Local authority maintained mainstream schools","-0.10","7,619"
"Mixed","State-funded special schools","-1.79","363"
"Mixed","Studio schools","-0.96","44"
"Mixed","University technical colleges","-0.44","100"
"White","All state-funded schools","-0.09","407,271"
"White","All state-funded mainstream schools","-0.06","399,627"
"White","Academies and free schools","-0.03","258,784"
"White","Converter academies","0.05","193,318"
"White","Free schools","-0.20","1,075"
"White","Sponsored academies","-0.24","62,158"
"White","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"White","Local authority maintained mainstream schools","-0.10","140,448"
"White","State-funded special schools","-1.81","7,644"
"White","Studio schools","-0.90","885"
"White","University technical colleges","-0.62","1,348"
