"Title","Pupil progress (‘Progress 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All pupils","","","Asian","","","Chinese","","","Black","","","Mixed","","","White","",""
"Local Authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All - England","-0.03","-0.17","0.11","0.31","0.17","0.46","0.68","0.56","0.80","0.17","-0.01","0.35","-0.04","-0.19","0.10","-0.09","-0.22","0.05"
"Barking and Dagenham","0.15","-0.02","0.32","0.54","0.39","0.70","0.18","!","!","0.36","0.16","0.57","-0.10","-0.33","0.12","-0.06","-0.21","0.10"
"Barnet","0.33","0.22","0.44","0.58","0.54","0.63","0.66","0.41","0.89","0.20","0.04","0.37","0.31","0.11","0.49","0.27","0.15","0.39"
"Barnsley","-0.22","-0.34","-0.09","0.90","!","!","N/A","N/A","N/A","0.64","0.93","0.41","-0.20","-0.19","-0.21","-0.22","-0.36","-0.09"
"Bath and North East Somerset","-0.02","-0.09","0.05","0.30","0.19","0.43","1.08","!","!","-0.08","0.35","-0.51","-0.36","-0.65","-0.04","-0.01","-0.07","0.04"
"Bedford","0.14","0.00","0.28","0.43","0.34","0.54","1.47","!","!","0.40","0.22","0.58","-0.04","-0.30","0.19","0.07","-0.07","0.21"
"Bexley","-0.04","-0.16","0.08","0.31","0.13","0.50","0.38","0.22","0.58","0.35","0.22","0.49","-0.12","-0.22","0.00","-0.17","-0.28","-0.06"
"Birmingham","0.00","-0.15","0.16","0.03","-0.11","0.18","0.81","0.78","0.83","0.14","-0.14","0.41","-0.05","-0.19","0.09","-0.11","-0.26","0.05"
"Blackburn with Darwen","0.11","-0.08","0.30","0.47","0.25","0.71","!","!","N/A","-0.17","-0.61","1.13","0.11","-0.17","0.39","-0.18","-0.34","-0.02"
"Blackpool","-0.38","-0.46","-0.29","0.80","!","!","1.31","N/A","1.31","0.01","0.22","-0.15","0.12","-0.27","0.50","-0.40","-0.48","-0.33"
"Bolton","-0.20","-0.36","-0.03","0.27","0.07","0.52","0.92","!","!","0.29","0.17","0.39","-0.25","-0.39","-0.09","-0.35","-0.49","-0.18"
"Bournemouth","-0.01","-0.17","0.16","1.16","1.00","1.44","0.82","!","!","0.36","-0.05","0.68","0.12","0.18","0.07","-0.06","-0.24","0.12"
"Bracknell Forest","0.09","-0.01","0.20","0.78","0.85","0.70","0.88","!","!","0.06","-0.15","0.27","0.21","0.28","0.11","0.05","-0.07","0.18"
"Bradford","-0.15","-0.33","0.03","-0.02","-0.22","0.19","!","N/A","!","0.36","-0.12","0.69","-0.35","-0.54","-0.18","-0.26","-0.41","-0.11"
"Brent","0.31","0.15","0.46","0.52","0.44","0.60","0.70","!","!","0.02","-0.22","0.23","-0.11","-0.22","0.01","0.28","0.11","0.46"
"Brighton and Hove","0.02","-0.09","0.15","0.44","0.25","0.73","!","!","!","0.36","0.21","0.56","0.18","0.03","0.37","-0.02","-0.14","0.10"
"Bristol, City of","-0.19","-0.34","-0.04","0.33","0.23","0.44","0.60","0.39","1.31","0.01","-0.09","0.09","-0.30","-0.41","-0.18","-0.26","-0.43","-0.09"
"Bromley","0.10","0.04","0.15","0.65","0.65","0.66","0.47","0.28","0.74","0.26","0.39","0.16","0.19","0.08","0.29","0.12","0.03","0.21"
"Buckinghamshire","0.01","-0.14","0.17","0.12","-0.02","0.29","0.26","0.36","0.16","0.07","-0.04","0.18","-0.13","-0.29","0.02","0.00","-0.17","0.16"
"Bury","-0.06","-0.21","0.11","0.32","0.13","0.50","0.07","!","!","0.32","0.00","0.74","-0.09","-0.13","-0.05","-0.12","-0.27","0.05"
"Calderdale","-0.03","-0.14","0.08","0.16","0.13","0.19","0.43","!","!","0.52","0.50","0.57","-0.05","-0.13","0.01","-0.07","-0.19","0.06"
"Cambridgeshire","0.11","-0.04","0.26","0.56","0.48","0.65","1.13","0.92","1.42","0.43","0.20","0.71","0.17","0.04","0.32","0.08","-0.08","0.24"
"Camden","0.00","-0.30","0.23","0.11","-0.12","0.34","0.81","!","!","0.07","-0.27","0.28","-0.31","-0.55","-0.13","-0.10","-0.45","0.14"
