"Ethnicity","Local Authority","All","Boys","Girls"
"All pupils","All - England","-0.03","-0.17","0.11"
"All pupils","Barking and Dagenham","0.15","-0.02","0.32"
"All pupils","Barnet","0.33","0.22","0.44"
"All pupils","Barnsley","-0.22","-0.34","-0.09"
"All pupils","Bath and North East Somerset","-0.02","-0.09","0.05"
"All pupils","Bedford","0.14","0.00","0.28"
"All pupils","Bexley","-0.04","-0.16","0.08"
"All pupils","Birmingham","0.00","-0.15","0.16"
"All pupils","Blackburn with Darwen","0.11","-0.08","0.30"
"All pupils","Blackpool","-0.38","-0.46","-0.29"
"All pupils","Bolton","-0.20","-0.36","-0.03"
"All pupils","Bournemouth","-0.01","-0.17","0.16"
"All pupils","Bracknell Forest","0.09","-0.01","0.20"
"All pupils","Bradford","-0.15","-0.33","0.03"
"All pupils","Brent","0.31","0.15","0.46"
"All pupils","Brighton and Hove","0.02","-0.09","0.15"
"All pupils","Bristol, City of","-0.19","-0.34","-0.04"
"All pupils","Bromley","0.10","0.04","0.15"
"All pupils","Buckinghamshire","0.01","-0.14","0.17"
"All pupils","Bury","-0.06","-0.21","0.11"
"All pupils","Calderdale","-0.03","-0.14","0.08"
"All pupils","Cambridgeshire","0.11","-0.04","0.26"
"All pupils","Camden","0.00","-0.30","0.23"
"All pupils","Central Bedfordshire","-0.07","-0.21","0.07"
"All pupils","Cheshire East","-0.15","-0.28","-0.02"
"All pupils","Cheshire West and Chester","0.04","-0.15","0.23"
"All pupils","City of London","N/A","N/A","N/A"
"All pupils","Cornwall","0.03","-0.08","0.14"
"All pupils","County Durham","-0.13","-0.24","-0.01"
"All pupils","Coventry","-0.05","-0.19","0.10"
"All pupils","Croydon","0.08","-0.07","0.22"
"All pupils","Cumbria","-0.23","-0.39","-0.05"
"All pupils","Darlington","-0.39","-0.56","-0.20"
"All pupils","Derby","-0.17","-0.34","0.00"
"All pupils","Derbyshire","-0.27","-0.41","-0.13"
"All pupils","Devon","-0.02","-0.15","0.12"
"All pupils","Doncaster","-0.21","-0.35","-0.07"
"All pupils","Dorset","-0.04","-0.15","0.06"
"All pupils","Dudley","-0.22","-0.37","-0.06"
"All pupils","Ealing","0.28","0.13","0.44"
"All pupils","East Riding of Yorkshire","0.10","-0.03","0.23"
"All pupils","East Sussex","0.04","-0.10","0.19"
"All pupils","Enfield","0.05","-0.12","0.23"
"All pupils","Essex","0.00","-0.12","0.12"
"All pupils","Gateshead","-0.15","-0.20","-0.09"
"All pupils","Gloucestershire","-0.05","-0.17","0.09"
"All pupils","Greenwich","-0.01","-0.10","0.08"
"All pupils","Hackney","0.35","0.23","0.45"
"All pupils","Halton","-0.19","-0.30","-0.07"
"All pupils","Hammersmith and Fulham","0.12","-0.02","0.26"
"All pupils","Hampshire","-0.03","-0.18","0.13"
"All pupils","Haringey","0.28","0.18","0.37"
"All pupils","Harrow","0.32","0.11","0.52"
"All pupils","Hartlepool","-0.33","-0.49","-0.18"
"All pupils","Havering","-0.14","-0.28","0.00"
"All pupils","Herefordshire, County of","-0.03","-0.22","0.19"
"All pupils","Hertfordshire","0.06","-0.09","0.22"
"All pupils","Hillingdon","0.06","-0.05","0.19"
"All pupils","Hounslow","0.29","0.15","0.43"
"All pupils","Isle of Wight","-0.33","-0.51","-0.14"
"All pupils","Isles of Scilly","0.00","0.13","-0.13"
"All pupils","Islington","0.19","0.12","0.28"
"All pupils","Kensington and Chelsea","0.34","0.29","0.41"
"All pupils","Kent","-0.04","-0.18","0.10"
"All pupils","Kingston upon Hull, City of","0.03","-0.02","0.08"
"All pupils","Kingston upon Thames","0.34","0.26","0.41"
"All pupils","Kirklees","-0.11","-0.29","0.07"
"All pupils","Knowsley","-0.89","-1.05","-0.70"
"All pupils","Lambeth","0.06","-0.09","0.22"
"All pupils","Lancashire","-0.11","-0.26","0.05"
"All pupils","Leeds","-0.06","-0.21","0.10"
"All pupils","Leicester","-0.14","-0.31","0.05"
"All pupils","Leicestershire","-0.12","-0.27","0.05"
"All pupils","Lewisham","-0.14","-0.35","0.10"
"All pupils","Lincolnshire","-0.11","-0.25","0.04"
"All pupils","Liverpool","-0.35","-0.42","-0.27"
"All pupils","Luton","0.01","-0.09","0.11"
"All pupils","Manchester","-0.03","-0.16","0.11"
"All pupils","Medway","0.05","-0.04","0.14"
"All pupils","Merton","0.27","0.10","0.45"
"All pupils","Middlesbrough","-0.12","-0.25","0.00"
"All pupils","Milton Keynes","-0.12","-0.26","0.03"
"All pupils","Newcastle upon Tyne","-0.07","-0.12","-0.03"
"All pupils","Newham","0.23","0.10","0.37"
"All pupils","Norfolk","0.01","-0.10","0.14"
"All pupils","North East Lincolnshire","-0.06","-0.15","0.03"
"All pupils","North Lincolnshire","0.08","-0.04","0.21"
"All pupils","North Somerset","-0.12","-0.26","0.03"
"All pupils","North Tyneside","-0.04","-0.14","0.06"
"All pupils","North Yorkshire","0.04","-0.09","0.18"
"All pupils","Northamptonshire","-0.13","-0.29","0.04"
"All pupils","Northumberland","-0.14","-0.22","-0.05"
"All pupils","Nottingham","-0.35","-0.50","-0.19"
"All pupils","Nottinghamshire","-0.04","-0.17","0.10"
"All pupils","Oldham","-0.34","-0.58","-0.09"
"All pupils","Oxfordshire","0.01","-0.15","0.18"
"All pupils","Peterborough","-0.03","-0.17","0.12"
"All pupils","Plymouth","-0.14","-0.30","0.03"
"All pupils","Poole","0.04","-0.13","0.23"
"All pupils","Portsmouth","-0.17","-0.34","0.02"
"All pupils","Reading","-0.11","-0.18","-0.03"
"All pupils","Redbridge","0.28","0.11","0.47"
"All pupils","Redcar and Cleveland","-0.30","-0.40","-0.18"
"All pupils","Richmond upon Thames","0.10","-0.07","0.24"
"All pupils","Rochdale","-0.08","-0.22","0.07"
"All pupils","Rotherham","0.04","-0.06","0.15"
"All pupils","Rutland","0.29","0.14","0.46"
"All pupils","Salford","-0.30","-0.39","-0.21"
"All pupils","Sandwell","-0.29","-0.39","-0.16"
"All pupils","Sefton","-0.24","-0.39","-0.09"
"All pupils","Sheffield","0.01","-0.14","0.16"
"All pupils","Shropshire","-0.05","-0.19","0.10"
"All pupils","Slough","0.22","0.07","0.36"
"All pupils","Solihull","-0.09","-0.22","0.05"
"All pupils","Somerset","0.03","-0.11","0.17"
"All pupils","South Gloucestershire","-0.23","-0.31","-0.15"
"All pupils","South Tyneside","-0.16","-0.30","-0.02"
"All pupils","Southampton","-0.12","-0.25","0.01"
"All pupils","Southend-on-Sea","-0.01","-0.06","0.05"
"All pupils","Southwark","0.22","0.15","0.30"
"All pupils","St. Helens","-0.33","-0.45","-0.20"
"All pupils","Staffordshire","-0.10","-0.26","0.07"
"All pupils","Stockport","0.02","-0.11","0.14"
"All pupils","Stockton-on-Tees","-0.17","-0.31","0.00"
"All pupils","Stoke-on-Trent","-0.08","-0.20","0.04"
"All pupils","Suffolk","0.02","-0.09","0.13"
"All pupils","Sunderland","-0.17","-0.27","-0.08"
"All pupils","Surrey","0.14","-0.01","0.29"
"All pupils","Sutton","0.17","0.00","0.34"
"All pupils","Swindon","-0.17","-0.32","-0.02"
"All pupils","Tameside","-0.13","-0.22","-0.04"
"All pupils","Telford and Wrekin","-0.15","-0.29","0.03"
"All pupils","Thurrock","-0.01","-0.15","0.12"
"All pupils","Torbay","-0.09","-0.19","0.03"
"All pupils","Tower Hamlets","0.15","0.04","0.26"
"All pupils","Trafford","0.05","-0.07","0.17"
"All pupils","Wakefield","0.06","-0.09","0.23"
"All pupils","Walsall","-0.24","-0.39","-0.08"
"All pupils","Waltham Forest","0.23","0.06","0.39"
"All pupils","Wandsworth","0.15","0.05","0.25"
"All pupils","Warrington","-0.16","-0.29","-0.02"
"All pupils","Warwickshire","0.02","-0.09","0.13"
"All pupils","West Berkshire","0.07","-0.07","0.21"
"All pupils","West Sussex","0.10","-0.03","0.24"
"All pupils","Westminster","0.32","0.09","0.53"
"All pupils","Wigan","-0.09","-0.25","0.07"
"All pupils","Wiltshire","0.01","-0.12","0.14"
"All pupils","Windsor and Maidenhead","0.16","0.08","0.25"
"All pupils","Wirral","-0.04","-0.21","0.10"
"All pupils","Wokingham","0.19","-0.01","0.42"
"All pupils","Wolverhampton","-0.13","-0.30","0.04"
"All pupils","Worcestershire","0.04","-0.11","0.19"
"All pupils","York","0.05","-0.08","0.18"
"Asian","All - England","0.31","0.17","0.46"
"Asian","Barking and Dagenham","0.54","0.39","0.70"
"Asian","Barnet","0.58","0.54","0.63"
"Asian","Barnsley","0.90","!","!"
"Asian","Bath and North East Somerset","0.30","0.19","0.43"
"Asian","Bedford","0.43","0.34","0.54"
"Asian","Bexley","0.31","0.13","0.50"
"Asian","Birmingham","0.03","-0.11","0.18"
"Asian","Blackburn with Darwen","0.47","0.25","0.71"
"Asian","Blackpool","0.80","!","!"
"Asian","Bolton","0.27","0.07","0.52"
"Asian","Bournemouth","1.16","1.00","1.44"
"Asian","Bracknell Forest","0.78","0.85","0.70"
