"","FSM Boys","FSM Girls","Non-FSM Boys","Non-FSM Girls"
"Ethnicity","","","",""
"All","56","59","74","76"
"Asian","64","66","75","77"
"Bangladeshi","65","70","74","76"
"Indian","71","70","82","85"
"Pakistani","60","63","69","71"
"Asian other","68","69","77","81"
"Black","61","68","72","75"
"Black African","63","71","74","78"
"Black Caribbean","55","62","68","71"
"Black other","58","66","70","71"
"Chinese","81","81","88","89"
"Mixed","60","62","76","78"
"Mixed White/Asian","61","65","81","82"
"Mixed White/Black African","62","64","76","78"
"Mixed White/Black Caribbean","57","60","70","72"
"Mixed other","64","63","76","80"
"White","54","56","75","76"
"White British","54","57","75","77"
"White Irish","50","56","79","79"
"White Irish Traveller","32","34","31","37"
"White Gypsy/Roma","26","34","29","29"
"White other","61","60","72","73"
"Other","64","66","72","72"
