"Title","Mathematics attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Local authority",""
"All","County Durham","75"
"All","Darlington","75"
"All","Gateshead","74"
"All","Hartlepool","71"
"All","Middlesbrough","65"
"All","Newcastle upon Tyne","73"
"All","North Tyneside","75"
"All","Northumberland","76"
"All","Redcar and Cleveland","75"
"All","South Tyneside","77"
"All","Stockton-on-Tees","76"
"All","Sunderland","76"
"All","Blackburn with Darwen","74"
"All","Blackpool","74"
"All","Bolton","72"
"All","Bury","71"
"All","Cheshire East","71"
"All","Cheshire West and Chester","70"
"All","Cumbria","67"
"All","Halton","64"
"All","Knowsley","67"
"All","Lancashire","72"
"All","Liverpool","62"
"All","Manchester","71"
"All","Oldham","64"
"All","Rochdale","70"
"All","Salford","73"
"All","Sefton","74"
"All","St. Helens","67"
"All","Stockport","73"
"All","Tameside","70"
"All","Trafford","77"
"All","Warrington","76"
"All","Wigan","73"
"All","Wirral","70"
"All","Barnsley","71"
"All","Bradford","70"
"All","Calderdale","65"
"All","Doncaster","70"
"All","East Riding of Yorkshire","74"
"All","Kingston upon Hull, City of","72"
"All","Kirklees","70"
"All","Leeds","64"
"All","North East Lincolnshire","72"
"All","North Lincolnshire","77"
"All","North Yorkshire","70"
"All","Rotherham","71"
"All","Sheffield","71"
"All","Wakefield","71"
"All","York","71"
"All","Derby","64"
"All","Derbyshire","73"
"All","Leicester","66"
"All","Leicestershire","72"
"All","Lincolnshire","71"
"All","Northamptonshire","70"
"All","Nottingham","68"
"All","Nottinghamshire","71"
"All","Rutland","78"
"All","Birmingham","67"
"All","Coventry","70"
"All","Dudley","72"
"All","Herefordshire, County of","74"
"All","Sandwell","68"
"All","Shropshire","69"
"All","Solihull","76"
"All","Staffordshire","75"
"All","Stoke-on-Trent","70"
"All","Telford and Wrekin","76"
"All","Walsall","71"
"All","Warwickshire","74"
"All","Wolverhampton","71"
"All","Worcestershire","70"
"All","Bedford","71"
"All","Cambridgeshire","71"
"All","Central Bedfordshire","76"
"All","Essex","74"
"All","Hertfordshire","77"
"All","Luton","69"
"All","Norfolk","74"
"All","Peterborough","69"
"All","Southend-on-Sea","74"
"All","Suffolk","71"
"All","Thurrock","75"
"All","Camden","74"
"All","City of London","!"
"All","Hackney","82"
"All","Hammersmith and Fulham","77"
"All","Haringey","78"
"All","Islington","73"
"All","Kensington and Chelsea","80"
"All","Lambeth","76"
"All","Lewisham","78"
"All","Newham","79"
"All","Southwark","76"
"All","Tower Hamlets","75"
"All","Wandsworth","80"
"All","Westminster","77"
"All","Barking and Dagenham","75"
"All","Barnet","74"
"All","Bexley","80"
"All","Brent","74"
"All","Bromley","79"
"All","Croydon","74"
"All","Ealing","72"
"All","Enfield","72"
"All","Greenwich","82"
"All","Harrow","77"
"All","Havering","77"
"All","Hillingdon","75"
"All","Hounslow","79"
"All","Kingston upon Thames","75"
"All","Merton","73"
"All","Redbridge","76"
"All","Richmond upon Thames","79"
"All","Sutton","76"
"All","Waltham Forest","80"
"All","Bracknell Forest","76"
"All","Brighton and Hove","74"
"All","Buckinghamshire","72"
"All","East Sussex","75"
"All","Hampshire","77"
"All","Isle of Wight","73"
"All","Kent","78"
"All","Medway","75"
"All","Milton Keynes","72"
"All","Oxfordshire","71"
"All","Portsmouth","71"
"All","Reading","74"
"All","Slough","76"
"All","Southampton","74"
"All","Surrey","76"
"All","West Berkshire","72"
"All","West Sussex","65"
"All","Windsor and Maidenhead","78"
"All","Wokingham","79"
"All","Bath and North East Somerset","73"
"All","Bournemouth","71"
"All","Bristol, City of","70"
"All","Cornwall","71"
"All","Devon","70"
"All","Dorset","68"
"All","Gloucestershire","69"
"All","Isles of Scilly","!"
"All","North Somerset","76"
"All","Plymouth","69"
"All","Poole","76"
"All","Somerset","73"
"All","South Gloucestershire","75"
"All","Swindon","70"
"All","Torbay","70"
"All","Wiltshire","71"
"Asian","County Durham","82"
"Asian","Darlington","66"
"Asian","Gateshead","72"
"Asian","Hartlepool","71"
"Asian","Middlesbrough","65"
"Asian","Newcastle upon Tyne","74"
"Asian","North Tyneside","76"
"Asian","Northumberland","83"
"Asian","Redcar and Cleveland","53"
"Asian","South Tyneside","85"
"Asian","Stockton-on-Tees","77"
"Asian","Sunderland","74"
"Asian","Blackburn with Darwen","75"
"Asian","Blackpool","65"
"Asian","Bolton","75"
"Asian","Bury","69"
"Asian","Cheshire East","71"
"Asian","Cheshire West and Chester","74"
"Asian","Cumbria","81"
"Asian","Halton","100"
"Asian","Knowsley","86"
"Asian","Lancashire","70"
"Asian","Liverpool","70"
"Asian","Manchester","71"
"Asian","Oldham","61"
"Asian","Rochdale","68"
"Asian","Salford","71"
"Asian","Sefton","74"
"Asian","St. Helens","67"
"Asian","Stockport","74"
"Asian","Tameside","65"
"Asian","Trafford","78"
"Asian","Warrington","75"
"Asian","Wigan","70"
"Asian","Wirral","79"
"Asian","Barnsley","71"
"Asian","Bradford","72"
"Asian","Calderdale","53"
"Asian","Doncaster","67"
"Asian","East Riding of Yorkshire","85"
"Asian","Kingston upon Hull, City of","79"
"Asian","Kirklees","68"
"Asian","Leeds","64"
"Asian","North East Lincolnshire","!"
"Asian","North Lincolnshire","84"
"Asian","North Yorkshire","75"
"Asian","Rotherham","72"
"Asian","Sheffield","69"
"Asian","Wakefield","67"
"Asian","York","78"
"Asian","Derby","67"
"Asian","Derbyshire","80"
"Asian","Leicester","73"
"Asian","Leicestershire","78"
"Asian","Lincolnshire","89"
"Asian","Northamptonshire","76"
"Asian","Nottingham","73"
"Asian","Nottinghamshire","69"
"Asian","Rutland","!"
"Asian","Birmingham","68"
