"Title","Mathematics attainment for children aged 6 to 7 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","77","84","77","100","74","74"
"Barnet","77","81","68","92","77","80"
"Barnsley","74","!","71","!","68","74"
"Bath and North East Somerset","75","68","75","!","81","75"
"Bedford","71","69","66","100","65","73"
"Bexley","82","88","87","!","79","80"
"Birmingham","71","74","71","93","72","70"
"Blackburn with Darwen","74","77","58","!","78","73"
"Blackpool","75","79","!","100","82","74"
"Bolton","73","77","61","!","77","74"
"Bournemouth","77","79","!","100","84","76"
"Bracknell Forest","76","84","70","!","77","76"
"Bradford","72","74","72","!","69","72"
"Brent","75","76","74","!","77","78"
"Brighton and Hove","75","66","74","!","72","76"
"Bristol, City of","73","70","63","!","72","76"
"Bromley","80","83","78","88","78","80"
"Buckinghamshire","76","72","65","100","75","78"
"Bury","72","65","68","!","65","74"
"Calderdale","70","61","65","!","68","73"
"Cambridgeshire","73","74","58","93","76","73"
"Camden","75","71","71","!","77","78"
"Central Bedfordshire","77","86","80","100","81","77"
"Cheshire East","75","88","73","100","72","75"
"Cheshire West and Chester","73","75","60","60","79","73"
"City of London","!","!","!","!","!","!"
"Cornwall","72","75","!","!","74","72"
"County Durham","78","73","!","!","76","78"
"Coventry","72","79","70","!","71","71"
"Croydon","76","81","73","!","75","77"
"Cumbria","73","69","!","69","72","73"
"Darlington","76","67","73","100","85","76"
"Derby","72","72","74","85","69","72"
"Derbyshire","75","79","71","83","75","75"
"Devon","75","85","71","80","79","75"
"Doncaster","74","73","71","!","74","74"
"Dorset","74","79","75","!","74","74"
"Dudley","72","70","66","79","69","73"
"Ealing","75","77","67","!","78","79"
"East Riding of Yorkshire","76","88","!","!","79","76"
"East Sussex","76","77","61","!","78","77"
"Enfield","74","84","73","!","75","72"
"Essex","76","86","78","93","78","76"
"Gateshead","76","82","64","!","83","76"
"Gloucestershire","74","78","68","!","76","74"
"Greenwich","81","89","82","!","84","79"
"Hackney","81","83","77","83","85","84"
"Halton","65","!","N/A","!","66","66"
"Hammersmith and Fulham","79","85","74","100","79","84"
"Hampshire","79","84","75","87","84","79"
"Haringey","79","84","75","88","82","80"
"Harrow","78","85","62","100","82","73"
"Hartlepool","75","75","!","100","!","75"
"Havering","77","80","78","!","80","77"
"Herefordshire, County of","77","!","!","!","82","77"
"Hertfordshire","77","83","72","96","77","77"
"Hillingdon","78","84","73","!","80","75"
"Hounslow","81","86","73","!","83","81"
"Isle of Wight","68","!","!","!","66","68"
"Isles of Scilly","!","!","!","!","!","!"
"Islington","77","77","74","100","76","79"
"Kensington and Chelsea","82","65","78","100","81","86"
"Kent","78","83","84","!","81","78"
"Kingston upon Hull, City of","72","73","51","!","73","72"
"Kingston upon Thames","80","84","71","!","75","80"
"Kirklees","71","69","63","69","68","73"
"Knowsley","71","81","!","100","62","71"
"Lambeth","79","85","76","100","80","82"
"Lancashire","75","73","56","85","73","76"
"Leeds","68","69","60","!","65","69"
"Leicester","72","79","69","58","74","66"
"Leicestershire","75","81","69","100","72","74"
"Lewisham","78","79","74","89","77","82"
"Lincolnshire","73","91","72","87","73","73"
"Liverpool","66","62","62","90","67","67"
"Luton","71","72","71","!","71","71"
"Manchester","72","71","74","91","73","72"
"Medway","79","86","85","!","83","77"
"Merton","78","82","76","79","77","78"
"Middlesbrough","70","70","69","!","63","71"
"Milton Keynes","76","86","73","!","78","75"
"Newcastle upon Tyne","75","72","77","85","78","76"
"Newham","80","81","78","!","82","78"
"Norfolk","73","78","58","!","68","73"
"North East Lincolnshire","74","83","!","100","81","73"
"North Lincolnshire","78","88","58","100","85","77"
"North Somerset","78","77","!","!","79","78"
"North Tyneside","79","66","61","!","84","79"
"North Yorkshire","74","78","81","!","74","74"
"Northamptonshire","75","78","70","91","76","75"
"Northumberland","79","87","!","!","83","79"
"Nottingham","71","74","71","!","72","70"
"Nottinghamshire","74","74","71","80","77","74"
"Oldham","69","66","63","100","79","72"
"Oxfordshire","75","71","74","!","73","75"
"Peterborough","70","68","70","!","74","71"
"Plymouth","72","79","69","!","74","72"
"Poole","80","89","100","100","71","80"
"Portsmouth","73","73","71","!","81","74"
"Reading","75","80","70","100","76","74"
"Redbridge","79","83","72","90","74","76"
"Redcar and Cleveland","78","!","!","N/A","82","78"
"Richmond upon Thames","82","85","67","84","80","82"
"Rochdale","72","71","71","100","77","72"
"Rotherham","75","75","78","80","73","75"
"Rutland","78","100","44","N/A","100","79"
"Salford","75","85","76","!","81","74"
"Sandwell","71","75","70","!","71","70"
"Sefton","74","81","73","!","71","75"
"Sheffield","76","74","74","!","76","76"
"Shropshire","72","82","70","100","77","72"
"Slough","78","83","77","!","72","74"
"Solihull","77","81","77","!","75","77"
"Somerset","77","78","74","!","78","77"
"South Gloucestershire","80","83","66","!","78","80"
"South Tyneside","78","88","60","!","76","78"
"Southampton","75","81","73","84","74","75"
"Southend-on-Sea","77","83","77","!","77","77"
"Southwark","78","77","76","79","80","80"
"St. Helens","71","64","!","!","79","71"
"Staffordshire","78","80","75","!","79","78"
"Stockport","76","74","74","74","77","76"
"Stockton-on-Tees","77","77","85","!","74","77"
"Stoke-on-Trent","71","76","65","80","72","71"
"Suffolk","74","82","68","!","73","74"
"Sunderland","78","75","89","!","75","78"
"Surrey","78","80","73","80","80","78"
"Sutton","79","88","77","!","76","77"
"Swindon","77","77","79","!","78","77"
"Tameside","72","72","70","76","68","72"
"Telford and Wrekin","77","80","73","!","81","77"
"Thurrock","77","81","84","100","81","75"
"Torbay","75","71","!","!","80","75"
"Tower Hamlets","77","79","74","!","76","75"
"Trafford","79","78","69","!","78","81"
"Wakefield","73","75","56","!","80","73"
"Walsall","73","78","75","!","73","72"
"Waltham Forest","81","84","77","!","81","81"
"Wandsworth","81","83","71","78","80","85"
"Warrington","78","85","!","!","84","78"
"Warwickshire","76","81","75","100","78","76"
"West Berkshire","75","90","81","100","76","74"
"West Sussex","70","68","62","!","70","71"
"Westminster","78","73","78","!","79","82"
"Wigan","75","82","74","!","81","75"
"Wiltshire","72","74","68","73","68","73"
"Windsor and Maidenhead","79","79","67","100","80","79"
"Wirral","72","71","100","!","76","72"
"Wokingham","81","87","68","100","74","81"
"Wolverhampton","74","78","76","!","75","73"
"Worcestershire","76","69","56","!","72","77"
"York","77","77","!","!","78","76"
