"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","60","78"
"Asian","67","79"
"Bangladeshi","69","77"
"Indian","73","85"
"Pakistani","64","73"
"Asian other","69","81"
"Black","67","75"
"Black African","69","77"
"Black Caribbean","60","71"
"Black other","65","72"
"Chinese","85","91"
"Mixed","63","79"
"Mixed White/Asian","64","83"
"Mixed White/Black African","67","78"
"Mixed White/Black Caribbean","61","74"
"Mixed other","64","80"
"White","58","78"
"White British","58","78"
"White Irish","45","80"
"White Irish Traveller","30","40"
"White Gypsy/Roma","29","30"
"White other","63","75"
"Other","65","73"
