"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","74","22","76","19"
"Asian","76","25","79","22"
"Bangladeshi","74","22","77","19"
"Indian","84","33","86","31"
"Pakistani","70","18","73","15"
"Asian other","78","28","81","26"
"Black","71","19","76","18"
"Black African","73","21","77","19"
"Black Caribbean","66","14","71","13"
"Black other","68","16","72","16"
"Chinese","90","49","91","43"
"Mixed","74","23","78","20"
"Mixed White/Asian","79","29","82","25"
"Mixed White/Black African","73","21","78","18"
"Mixed White/Black Caribbean","69","17","72","13"
"Mixed other","75","24","79","21"
"White","74","22","76","18"
"White British","74","22","77","18"
"White Irish","75","26","74","20"
"White Irish Traveller","32","5","37","5"
"White Gypsy/Roma","29","3","31","2"
"White other","74","23","75","18"
"Other","72","19","72","16"
