"Title","Mathematics attainment for children aged 6 to 7 by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"Ethnicity","Expected standard","Higher standard"
"All","75","21"
"Asian","77","23"
"Bangladeshi","76","20"
"Indian","85","32"
"Pakistani","72","17"
"Asian other","79","27"
"Black","73","18"
"Black African","75","20"
"Black Caribbean","68","14"
"Black other","70","16"
"Chinese","91","46"
"Mixed","76","21"
"Mixed White/Asian","80","27"
"Mixed White/Black African","75","19"
"Mixed White/Black Caribbean","70","15"
"Mixed other","77","23"
"White","75","20"
"White British","76","20"
"White Irish","75","23"
"White Irish Traveller","35","5"
"White Gypsy/Roma","30","2"
"White other","75","20"
"Other","72","18"
