"Title","Phonics attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 December 2016 (updated with disadvantaged data)"

"Ethnicity","Local authority","%"
"All","County Durham","82"
"All","Darlington","86"
"All","Gateshead","80"
"All","Hartlepool","85"
"All","Middlesbrough","74"
"All","Newcastle upon Tyne","81"
"All","North Tyneside","81"
"All","Northumberland","84"
"All","Redcar and Cleveland","82"
"All","South Tyneside","81"
"All","Stockton-on-Tees","83"
"All","Sunderland","81"
"All","Blackburn with Darwen","81"
"All","Blackpool","80"
"All","Bolton","80"
"All","Bury","82"
"All","Cheshire East","82"
"All","Cheshire West and Chester","79"
"All","Cumbria","77"
"All","Halton","76"
"All","Knowsley","78"
"All","Lancashire","81"
"All","Liverpool","75"
"All","Manchester","78"
"All","Oldham","76"
"All","Rochdale","82"
"All","Salford","79"
"All","Sefton","78"
"All","St. Helens","78"
"All","Stockport","82"
"All","Tameside","77"
"All","Trafford","85"
"All","Warrington","83"
"All","Wigan","83"
"All","Wirral","80"
"All","Barnsley","79"
"All","Bradford","79"
"All","Calderdale","82"
"All","Doncaster","78"
"All","East Riding of Yorkshire","81"
"All","Kingston upon Hull, City of","77"
"All","Kirklees","78"
"All","Leeds","77"
"All","North East Lincolnshire","80"
"All","North Lincolnshire","83"
"All","North Yorkshire","78"
"All","Rotherham","79"
"All","Sheffield","77"
"All","Wakefield","77"
"All","York","82"
"All","Derby","78"
"All","Derbyshire","79"
"All","Leicester","77"
"All","Leicestershire","80"
"All","Lincolnshire","83"
"All","Northamptonshire","81"
"All","Nottingham","75"
"All","Nottinghamshire","77"
"All","Rutland","86"
"All","Birmingham","79"
"All","Coventry","79"
"All","Dudley","79"
"All","Herefordshire, County of","81"
"All","Sandwell","79"
"All","Shropshire","81"
"All","Solihull","84"
"All","Staffordshire","83"
"All","Stoke-on-Trent","80"
"All","Telford and Wrekin","84"
"All","Walsall","82"
"All","Warwickshire","82"
"All","Wolverhampton","79"
"All","Worcestershire","81"
"All","Bedford","75"
"All","Cambridgeshire","78"
"All","Central Bedfordshire","81"
"All","Essex","81"
"All","Hertfordshire","83"
"All","Luton","78"
"All","Norfolk","78"
"All","Peterborough","77"
"All","Southend-on-Sea","80"
"All","Suffolk","79"
"All","Thurrock","83"
"All","Camden","80"
"All","City of London","!"
"All","Hackney","85"
"All","Hammersmith and Fulham","85"
"All","Haringey","82"
"All","Islington","80"
"All","Kensington and Chelsea","87"
"All","Lambeth","84"
"All","Lewisham","83"
"All","Newham","87"
"All","Southwark","82"
"All","Tower Hamlets","81"
"All","Wandsworth","85"
"All","Westminster","88"
"All","Barking and Dagenham","81"
"All","Barnet","81"
"All","Bexley","85"
"All","Brent","82"
"All","Bromley","86"
"All","Croydon","79"
"All","Ealing","82"
"All","Enfield","79"
"All","Greenwich","84"
"All","Harrow","84"
"All","Havering","85"
"All","Hillingdon","83"
"All","Hounslow","84"
"All","Kingston upon Thames","87"
"All","Merton","80"
"All","Redbridge","80"
"All","Richmond upon Thames","89"
"All","Sutton","82"
"All","Waltham Forest","83"
"All","Bracknell Forest","84"
"All","Brighton and Hove","79"
"All","Buckinghamshire","81"
"All","East Sussex","81"
"All","Hampshire","81"
"All","Isle of Wight","76"
"All","Kent","82"
