"Title","Phonics attainments for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 December 2016 (updated with disadvantaged data)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Local authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All - England","81","77","84","84","81","87","82","78","86","88","86","90","82","78","86","80","77","84"
"Barking and Dagenham","81","77","85","87","85","91","84","81","89","!","!","!","79","74","84","77","73","81"
"Barnet","81","77","85","84","81","89","81","77","86","92","100","100","83","80","87","83","80","87"
"Barnsley","79","75","83","!","!","!","85","81","90","!","!","!","80","75","84","79","75","83"
"Bath and North East Somerset","79","76","83","77","72","82","80","77","86","77","79","87","80","75","84","79","75","83"
"Bedford","75","71","80","79","75","84","76","71","80","!","!","!","73","68","77","75","71","78"
"Bexley","85","82","88","92","94","!","90","100","!","93","100","100","84","81","88","82","79","86"
"Birmingham","79","75","83","82","78","86","81","77","86","89","100","100","81","77","85","78","74","82"
"Blackburn with Darwen","81","77","84","86","83","89","67","50","60","!","!","!","94","!","!","77","72","81"
"Blackpool","80","76","84","80","75","84","!","!","!","100","100","100","91","!","!","80","76","84"
"Bolton","80","76","84","87","84","91","77","72","81","100","100","100","85","82","88","79","75","82"
"Bournemouth","81","78","85","88","86","92","!","!","!","!","!","!","87","87","92","80","76","84"
"Bracknell Forest","84","81","88","92","!","!","93","!","!","!","!","!","86","84","91","83","80","87"
"Bradford","79","75","83","82","78","86","82","78","87","!","!","!","76","70","80","78","74","82"
"Brent","82","79","86","84","81","89","81","77","86","!","!","!","83","80","87","83","80","87"
"Brighton and Hove","79","76","83","81","77","86","83","80","88","81","88","100","81","77","85","80","76","84"
"Bristol, City of","78","75","82","78","74","83","73","67","76","79","81","89","76","71","81","80","77","84"
"Bromley","86","83","89","92","!","!","87","86","96","86","100","100","86","84","90","85","82","89"
"Buckinghamshire","81","77","85","77","71","81","76","72","80","!","!","!","81","77","85","82","79","86"
"Bury","82","78","85","79","74","83","84","80","89","100","100","100","86","83","89","83","79","86"
"Calderdale","82","78","86","82","78","86","!","!","!","!","!","!","81","76","85","82","78","85"
"Cambridgeshire","78","74","82","81","77","85","78","73","83","89","100","100","80","75","84","78","74","82"
"Camden","80","76","84","81","77","86","81","77","86","!","!","!","83","80","87","80","76","84"
"Central Bedfordshire","81","77","85","90","89","93","90","100","100","100","!","100","86","84","90","80","76","84"
"Cheshire East","82","78","85","89","87","92","!","!","!","100","100","100","84","80","87","83","79","86"
"Cheshire West and Chester","79","75","83","78","73","82","!","!","!","67","60","73","83","79","86","80","76","84"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","80","77","84","73","65","75","!","!","!","73","76","78","81","77","85","80","77","84"
"County Durham","82","78","85","83","78","87","!","!","!","!","!","!","77","71","81","82","78","85"
"Coventry","79","75","83","83","79","87","85","82","90","!","!","!","80","75","84","77","73","81"
"Croydon","79","76","83","86","83","90","79","75","84","!","!","!","80","75","84","78","75","82"
"Cumbria","77","72","80","73","64","75","!","!","!","!","!","!","76","69","79","77","73","81"
"Darlington","86","82","89","76","70","79","100","!","!","100","100","100","!","!","!","86","82","89"
"Derby","78","74","82","84","80","88","84","81","89","81","88","100","75","69","78","78","74","82"
"Derbyshire","79","75","83","84","80","88","86","84","92","80","81","90","80","75","84","79","75","83"
"Devon","82","79","86","86","84","91","!","!","!","!","!","!","81","77","85","82","79","86"
"Doncaster","78","74","82","81","76","85","88","87","100","!","!","!","78","72","81","77","73","81"
"Dorset","80","77","84","89","88","93","!","!","!","!","!","!","80","76","84","80","77","84"
"Dudley","79","75","83","82","78","86","78","73","83","!","!","!","78","73","82","79","75","83"
"Ealing","82","79","86","85","82","89","76","71","80","!","!","!","84","81","88","84","81","88"
"East Riding of Yorkshire","81","77","84","88","85","91","!","!","!","!","!","!","86","83","90","81","77","84"
"East Sussex","81","78","85","85","82","89","78","74","84","!","!","!","82","79","86","81","78","85"
"Enfield","79","76","83","91","91","100","79","75","84","!","!","!","82","78","86","76","72","80"
"Essex","81","77","85","91","91","100","86","85","93","88","100","100","83","80","87","81","77","85"
"Gateshead","80","76","84","74","65","75","75","69","79","!","!","!","87","84","91","80","76","84"
"Gloucestershire","80","77","84","88","87","92","77","73","83","83","100","100","82","79","86","80","77","84"
"Greenwich","84","81","87","86","83","90","87","86","100","92","100","100","89","90","!","82","79","86"
"Hackney","85","82","88","89","88","93","84","81","89","87","100","100","85","83","89","86","82","89"
"Halton","76","71","80","!","!","!","!","!","!","!","!","!","76","70","79","76","71","80"
"Hammersmith and Fulham","85","82","88","91","91","100","83","79","88","100","!","100","86","84","90","86","82","90"
"Hampshire","81","78","85","85","82","89","81","77","86","85","100","100","87","85","92","81","78","85"
"Haringey","82","79","86","84","81","88","83","79","88","80","83","92","88","87","93","82","79","86"
"Harrow","84","81","87","88","86","92","82","78","87","100","!","!","88","87","94","79","75","83"
"Hartlepool","85","81","88","!","!","!","100","!","!","100","100","100","73","66","76","85","81","88"
"Havering","85","82","89","89","88","93","85","82","91","100","!","!","86","84","90","84","81","88"
"Herefordshire, County of","81","77","84","!","!","!","!","!","!","!","!","!","84","80","87","81","77","85"
"Hertfordshire","83","80","87","87","84","91","80","76","85","!","!","!","84","80","88","82","79","86"
"Hillingdon","83","80","87","88","86","92","85","82","91","!","!","!","86","84","90","79","75","83"
"Hounslow","84","81","88","88","86","92","80","76","85","!","!","!","86","84","91","83","80","87"
"Isle of Wight","76","72","80","!","!","!","!","!","!","!","!","!","80","75","84","76","72","80"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","80","76","84","75","68","77","79","75","84","100","!","100","81","77","85","81","77","85"
"Kensington and Chelsea","87","85","89","81","77","86","87","86","95","!","!","!","85","83","89","88","86","91"
"Kent","82","79","86","88","86","92","89","93","100","93","100","100","86","84","91","81","78","85"
"Kingston upon Hull, City of","77","72","81","80","76","84","68","57","73","100","!","100","81","76","85","77","73","81"
"Kingston upon Thames","87","86","90","90","90","100","87","86","100","!","!","!","85","83","89","87","85","90"
"Kirklees","78","74","82","80","76","84","73","67","75","!","!","!","78","72","81","78","74","82"
"Knowsley","78","74","82","!","!","!","67","56","67","100","100","100","66","64","68","78","74","82"
"Lambeth","84","80","87","88","85","91","83","79","88","86","100","100","85","83","89","85","82","88"
"Lancashire","81","77","84","79","74","83","83","78","87","86","100","100","82","77","86","81","77","84"
"Leeds","77","72","81","79","75","84","75","70","79","86","100","100","75","68","78","77","73","81"
"Leicester","77","73","81","83","79","87","80","76","84","69","75","77","79","74","83","71","67","75"
"Leicestershire","80","76","84","86","83","90","90","100","100","85","100","100","81","77","85","80","76","84"
"Lewisham","83","80","87","86","83","90","83","79","88","86","100","100","83","80","87","84","81","88"
"Lincolnshire","83","79","87","90","88","93","!","!","!","!","!","!","83","79","86","83","79","87"
"Liverpool","75","71","79","74","67","77","79","74","84","82","90","100","76","70","79","76","72","80"
"Luton","78","74","82","81","77","86","82","78","87","75","77","79","76","71","80","77","73","81"
"Manchester","78","74","82","80","76","84","84","80","89","90","100","100","79","74","83","78","74","82"
"Medway","82","79","86","88","86","92","89","100","100","!","!","!","88","88","100","81","78","85"
"Merton","80","76","84","84","82","89","83","80","88","85","100","100","81","77","85","78","75","82"
"Middlesbrough","74","71","79","81","76","85","88","87","100","!","!","!","72","65","76","74","68","78"
"Milton Keynes","81","78","85","87","85","91","85","84","92","81","88","100","85","83","89","78","75","82"
"Newcastle upon Tyne","81","77","84","82","77","86","88","87","100","78","81","89","86","83","89","81","77","84"
"Newham","87","86","90","90","89","93","88","88","100","88","100","100","89","90","!","84","81","88"
"Norfolk","78","75","82","84","80","88","79","75","84","90","100","100","76","71","80","78","74","82"
"North East Lincolnshire","80","76","84","!","!","!","100","!","!","100","!","100","87","84","91","79","75","83"
"North Lincolnshire","83","79","87","86","83","89","69","63","75","!","!","!","82","78","86","83","79","87"
"North Somerset","83","80","87","84","82","89","!","!","!","63","55","67","80","76","84","83","80","87"
"North Tyneside","81","77","84","71","61","67","73","67","75","77","78","83","92","!","!","81","77","84"
"North Yorkshire","78","74","82","78","73","83","74","68","77","100","!","100","83","79","86","78","74","82"
"Northamptonshire","81","77","84","83","79","87","83","79","88","87","100","100","83","79","86","81","77","85"
"Northumberland","84","80","87","!","!","!","!","!","!","!","!","!","87","84","91","84","80","87"
"Nottingham","75","71","79","80","76","84","80","76","84","84","100","100","78","72","82","74","71","78"
"Nottinghamshire","77","73","81","84","80","88","80","76","84","80","82","91","81","77","85","77","73","81"
"Oldham","76","72","80","76","71","81","69","62","73","!","!","!","82","78","86","78","74","82"
"Oxfordshire","80","76","84","80","76","84","83","80","88","!","!","!","81","77","85","80","76","84"
"Peterborough","77","73","82","82","78","86","77","73","83","!","!","!","79","74","84","75","71","79"
"Plymouth","80","77","84","83","80","87","81","78","86","77","81","88","82","79","86","80","77","84"
"Poole","83","80","87","91","93","100","!","!","!","!","!","!","81","77","86","83","80","87"
"Portsmouth","81","78","85","84","82","89","83","80","89","!","!","!","87","87","92","81","78","85"
"Reading","79","76","83","84","82","89","84","81","90","100","!","!","80","75","84","77","74","82"
"Redbridge","80","76","84","86","84","90","79","75","84","86","100","100","79","74","84","75","71","79"
"Redcar and Cleveland","82","78","85","!","!","!","!","!","!","!","!","!","89","88","!","82","78","85"
"Richmond upon Thames","89","88","93","93","!","!","86","86","94","90","100","100","90","91","!","89","88","92"
"Rochdale","82","78","85","82","77","86","84","80","89","100","!","100","86","83","89","83","79","86"
"Rotherham","79","75","83","81","77","85","82","78","87","81","84","100","81","76","85","79","75","83"
"Rutland","86","83","89","!","!","!","100","!","!","!","!","!","!","!","!","85","82","88"
"Salford","79","75","83","84","80","88","83","79","88","100","!","100","85","82","88","79","75","82"
"Sandwell","79","75","83","83","79","87","80","76","85","!","!","!","79","74","83","78","74","82"
"Sefton","78","74","82","86","83","89","77","72","82","!","!","!","78","72","81","78","74","82"
"Sheffield","77","73","81","78","73","83","77","73","82","81","88","100","78","72","82","78","74","82"
"Shropshire","81","77","85","!","!","!","!","!","!","!","!","!","85","82","89","81","77","85"
"Slough","81","78","85","87","85","91","80","77","86","!","!","!","78","73","82","75","71","80"
"Solihull","84","80","87","90","89","93","78","73","83","!","!","!","84","80","88","83","80","87"
"Somerset","78","75","82","75","70","78","!","!","!","67","64","76","75","69","79","79","76","83"
"South Gloucestershire","81","78","85","90","91","100","82","78","87","!","!","!","82","79","86","81","78","85"
"South Tyneside","81","77","84","84","80","87","!","!","!","!","!","!","91","93","!","81","77","84"
"Southampton","82","79","86","85","82","89","83","80","89","100","!","!","85","83","89","81","78","85"
"Southend-on-Sea","80","76","84","84","80","88","83","79","88","!","!","!","80","75","84","80","76","84"
"Southwark","82","79","86","84","81","88","83","79","88","84","100","100","84","80","88","84","81","88"
"St. Helens","78","74","82","!","!","!","!","!","!","76","77","83","80","75","84","79","75","82"
"Staffordshire","83","80","87","91","91","100","85","82","90","87","100","100","85","82","89","83","80","87"
"Stockport","82","78","86","79","74","83","79","74","84","83","100","100","81","76","84","82","78","85"
"Stockton-on-Tees","83","79","86","84","80","88","89","88","100","!","!","!","77","72","81","84","80","88"
"Stoke-on-Trent","80","76","84","84","80","88","74","68","77","82","93","100","83","79","86","80","76","84"
"Suffolk","79","75","83","86","83","90","85","82","90","!","!","!","78","73","82","79","75","83"
"Sunderland","81","77","84","77","71","81","86","84","92","!","!","!","88","87","92","81","77","84"
"Surrey","82","79","86","86","84","91","84","81","90","84","100","100","86","84","91","82","79","86"
"Sutton","82","79","86","89","88","93","85","82","91","!","!","!","82","78","86","81","77","85"
"Swindon","76","72","80","82","78","86","78","74","84","!","!","!","83","80","87","76","72","80"
"Tameside","77","72","81","82","78","86","74","68","77","79","81","89","78","72","81","77","73","81"
"Telford and Wrekin","84","80","87","86","83","90","93","100","!","!","!","!","87","85","91","84","80","88"
"Thurrock","83","80","87","92","93","100","90","100","100","!","!","!","85","82","89","81","77","85"
"Torbay","81","78","85","75","70","79","!","!","!","100","!","!","88","88","100","81","78","85"
"Tower Hamlets","81","77","85","83","79","87","79","75","84","!","!","!","79","74","84","77","73","81"
"Trafford","85","81","88","82","78","86","77","72","82","93","100","100","81","76","85","87","84","90"
"Wakefield","77","73","81","83","79","87","79","75","84","83","100","100","85","82","88","76","72","80"
"Walsall","82","78","86","87","84","91","84","81","89","!","!","!","83","80","87","82","78","86"
"Waltham Forest","83","80","87","86","84","91","85","83","92","80","84","92","84","81","88","82","79","86"
"Wandsworth","85","82","88","88","86","91","82","78","87","84","100","100","83","80","87","87","85","90"
