"Title","Phonics attainment for children aged 5 to 6 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Phonics screening check and key stage 1 assessments: England 2017"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"Standard Ethnicity","Local authority","%"
"All","Barking and Dagenham","80"
"All","Barnet","85"
"All","Barnsley","78"
"All","Bath and North East Somerset","79"
"All","Bedford","77"
"All","Bexley","85"
"All","Birmingham","80"
"All","Blackburn with Darwen","81"
"All","Blackpool","80"
"All","Bolton","81"
"All","Bournemouth","84"
"All","Bracknell Forest","85"
"All","Bradford","80"
"All","Brent","81"
"All","Brighton and Hove","78"
"All","Bristol, City of","81"
"All","Bromley","88"
"All","Buckinghamshire","82"
"All","Bury","81"
"All","Calderdale","80"
"All","Cambridgeshire","80"
"All","Camden","82"
"All","Central Bedfordshire","82"
"All","Cheshire East","83"
"All","Cheshire West and Chester","81"
"All","City of London","!"
"All","Cornwall","79"
"All","County Durham","83"
"All","Coventry","79"
"All","Croydon","82"
"All","Cumbria","79"
"All","Darlington","85"
"All","Derby","80"
"All","Derbyshire","80"
"All","Devon","83"
"All","Doncaster","78"
"All","Dorset","81"
"All","Dudley","79"
"All","Ealing","83"
"All","East Riding of Yorkshire","82"
"All","East Sussex","80"
"All","Enfield","80"
"All","Essex","82"
"All","Gateshead","83"
"All","Gloucestershire","79"
"All","Greenwich","84"
"All","Hackney","86"
"All","Halton","79"
"All","Hammersmith and Fulham","86"
"All","Hampshire","82"
"All","Haringey","83"
"All","Harrow","87"
"All","Hartlepool","82"
"All","Havering","85"
"All","Herefordshire, County of","84"
"All","Hertfordshire","83"
"All","Hillingdon","83"
"All","Hounslow","84"
"All","Isle of Wight","76"
"All","Isles of Scilly","!"
"All","Islington","82"
"All","Kensington and Chelsea","86"
"All","Kent","82"
"All","Kingston upon Hull, City of","77"
"All","Kingston upon Thames","84"
"All","Kirklees","79"
"All","Knowsley","78"
"All","Lambeth","84"
"All","Lancashire","81"
"All","Leeds","77"
"All","Leicester","80"
"All","Leicestershire","82"
"All","Lewisham","81"
"All","Lincolnshire","82"
"All","Liverpool","76"
"All","Luton","78"
"All","Manchester","79"
"All","Medway","82"
"All","Merton","84"
"All","Middlesbrough","76"
"All","Milton Keynes","82"
"All","Newcastle upon Tyne","82"
"All","Newham","88"
"All","Norfolk","78"
"All","North East Lincolnshire","79"
"All","North Lincolnshire","80"
"All","North Somerset","82"
"All","North Tyneside","81"
"All","North Yorkshire","81"
"All","Northamptonshire","81"
"All","Northumberland","85"
"All","Nottingham","79"
"All","Nottinghamshire","79"
"All","Oldham","77"
"All","Oxfordshire","81"
"All","Peterborough","75"
"All","Plymouth","80"
"All","Poole","85"
"All","Portsmouth","77"
"All","Reading","80"
"All","Redbridge","83"
"All","Redcar and Cleveland","81"
"All","Richmond upon Thames","89"
"All","Rochdale","81"
"All","Rotherham","79"
"All","Rutland","83"
"All","Salford","79"
"All","Sandwell","79"
"All","Sefton","80"
"All","Sheffield","77"
"All","Shropshire","82"
"All","Slough","84"
"All","Solihull","85"
"All","Somerset","79"
"All","South Gloucestershire","83"
"All","South Tyneside","83"
"All","Southampton","82"
"All","Southend-on-Sea","82"
"All","Southwark","84"
"All","St. Helens","79"
"All","Staffordshire","83"
"All","Stockport","82"
"All","Stockton-on-Tees","83"
"All","Stoke-on-Trent","79"
"All","Suffolk","80"
"All","Sunderland","83"
"All","Surrey","83"
"All","Sutton","84"
"All","Swindon","81"
"All","Tameside","79"
"All","Telford and Wrekin","82"
"All","Thurrock","84"
"All","Torbay","84"
"All","Tower Hamlets","82"
"All","Trafford","83"
"All","Wakefield","78"
"All","Walsall","80"
"All","Waltham Forest","84"
"All","Wandsworth","86"
"All","Warrington","81"
"All","Warwickshire","82"
"All","West Berkshire","78"
"All","West Sussex","80"
"All","Westminster","87"
"All","Wigan","83"
"All","Wiltshire","81"
"All","Windsor and Maidenhead","84"
"All","Wirral","76"
"All","Wokingham","83"
"All","Wolverhampton","79"
"All","Worcestershire","81"
"All","York","84"
"Asian","Barking and Dagenham","84"
"Asian","Barnet","89"
"Asian","Barnsley","75"
"Asian","Bath and North East Somerset","91"
"Asian","Bedford","81"
"Asian","Bexley","92"
"Asian","Birmingham","84"
"Asian","Blackburn with Darwen","85"
"Asian","Blackpool","86"
"Asian","Bolton","87"
"Asian","Bournemouth","89"
"Asian","Bracknell Forest","88"
"Asian","Bradford","83"
"Asian","Brent","85"
"Asian","Brighton and Hove","78"
"Asian","Bristol, City of","85"
"Asian","Bromley","94"
"Asian","Buckinghamshire","82"
"Asian","Bury","79"
"Asian","Calderdale","82"
"Asian","Cambridgeshire","86"
"Asian","Camden","81"
"Asian","Central Bedfordshire","92"
"Asian","Cheshire East","84"
"Asian","Cheshire West and Chester","84"
"Asian","City of London","!"
"Asian","Cornwall","!"
"Asian","County Durham","84"
"Asian","Coventry","86"
"Asian","Croydon","88"
"Asian","Cumbria","!"
"Asian","Darlington","92"
"Asian","Derby","80"
"Asian","Derbyshire","84"
"Asian","Devon","85"
"Asian","Doncaster","78"
"Asian","Dorset","81"
"Asian","Dudley","79"
"Asian","Ealing","86"
"Asian","East Riding of Yorkshire","100"
"Asian","East Sussex","85"
"Asian","Enfield","88"
"Asian","Essex","90"
"Asian","Gateshead","91"
"Asian","Gloucestershire","89"
"Asian","Greenwich","89"
"Asian","Hackney","89"
"Asian","Halton","100"
"Asian","Hammersmith and Fulham","93"
"Asian","Hampshire","85"
"Asian","Haringey","88"
"Asian","Harrow","91"
"Asian","Hartlepool","86"
"Asian","Havering","92"
"Asian","Herefordshire, County of","!"
"Asian","Hertfordshire","89"
"Asian","Hillingdon","88"
"Asian","Hounslow","88"
"Asian","Isle of Wight","!"
"Asian","Isles of Scilly","!"
"Asian","Islington","86"
"Asian","Kensington and Chelsea","89"
"Asian","Kent","89"
"Asian","Kingston upon Hull, City of","84"
"Asian","Kingston upon Thames","87"
"Asian","Kirklees","80"
"Asian","Knowsley","78"
"Asian","Lambeth","84"
"Asian","Lancashire","81"
"Asian","Leeds","79"
"Asian","Leicester","85"
"Asian","Leicestershire","89"
"Asian","Lewisham","85"
"Asian","Lincolnshire","90"
"Asian","Liverpool","82"
"Asian","Luton","79"
"Asian","Manchester","80"
"Asian","Medway","89"
"Asian","Merton","88"
"Asian","Middlesbrough","80"
"Asian","Milton Keynes","90"
"Asian","Newcastle upon Tyne","82"
"Asian","Newham","90"
"Asian","Norfolk","87"
"Asian","North East Lincolnshire","!"
"Asian","North Lincolnshire","85"
"Asian","North Somerset","81"
"Asian","North Tyneside","81"
"Asian","North Yorkshire","83"
"Asian","Northamptonshire","84"
"Asian","Northumberland","90"
"Asian","Nottingham","85"
"Asian","Nottinghamshire","86"
"Asian","Oldham","76"
"Asian","Oxfordshire","81"
"Asian","Peterborough","78"
"Asian","Plymouth","87"
"Asian","Poole","92"
"Asian","Portsmouth","82"
"Asian","Reading","88"
"Asian","Redbridge","88"
"Asian","Redcar and Cleveland","100"
"Asian","Richmond upon Thames","92"
"Asian","Rochdale","86"
"Asian","Rotherham","85"
"Asian","Rutland","!"
"Asian","Salford","88"
"Asian","Sandwell","82"
"Asian","Sefton","73"
"Asian","Sheffield","79"
"Asian","Shropshire","88"
"Asian","Slough","90"
"Asian","Solihull","85"
"Asian","Somerset","81"
"Asian","South Gloucestershire","93"
"Asian","South Tyneside","78"
"Asian","Southampton","89"
"Asian","Southend-on-Sea","83"
"Asian","Southwark","85"
"Asian","St. Helens","83"
"Asian","Staffordshire","83"
"Asian","Stockport","80"
"Asian","Stockton-on-Tees","81"
"Asian","Stoke-on-Trent","83"
"Asian","Suffolk","84"
"Asian","Sunderland","82"
"Asian","Surrey","86"
"Asian","Sutton","92"
"Asian","Swindon","82"
"Asian","Tameside","79"
"Asian","Telford and Wrekin","91"
"Asian","Thurrock","91"
"Asian","Torbay","100"
