"Standard Ethnicity","Local authority","Boys","Girls"
"All","Barking and Dagenham","77","84"
"All","Barnet","82","87"
"All","Barnsley","73","84"
"All","Bath and North East Somerset","77","82"
"All","Bedford","73","82"
"All","Bexley","82","88"
"All","Birmingham","77","84"
"All","Blackburn with Darwen","77","86"
"All","Blackpool","76","85"
"All","Bolton","78","85"
"All","Bournemouth","81","86"
"All","Bracknell Forest","81","88"
"All","Bradford","75","84"
"All","Brent","77","86"
"All","Brighton and Hove","74","83"
"All","Bristol, City of","78","84"
"All","Bromley","86","90"
"All","Buckinghamshire","79","85"
"All","Bury","77","84"
"All","Calderdale","77","84"
"All","Cambridgeshire","77","83"
"All","Camden","78","85"
"All","Central Bedfordshire","80","85"
"All","Cheshire East","80","87"
"All","Cheshire West and Chester","77","85"
"All","City of London","!","!"
"All","Cornwall","75","83"
"All","County Durham","79","86"
"All","Coventry","76","83"
"All","Croydon","80","86"
"All","Cumbria","76","83"
"All","Darlington","81","89"
"All","Derby","76","84"
"All","Derbyshire","76","83"
"All","Devon","79","86"
"All","Doncaster","73","82"
"All","Dorset","78","85"
"All","Dudley","75","83"
"All","Ealing","80","87"
"All","East Riding of Yorkshire","78","85"
"All","East Sussex","76","85"
"All","Enfield","77","83"
"All","Essex","79","85"
"All","Gateshead","80","86"
"All","Gloucestershire","75","83"
"All","Greenwich","81","87"
"All","Hackney","82","89"
"All","Halton","77","81"
"All","Hammersmith and Fulham","83","88"
"All","Hampshire","79","85"
"All","Haringey","81","85"
"All","Harrow","85","89"
"All","Hartlepool","78","86"
"All","Havering","82","89"
"All","Herefordshire, County of","80","87"
"All","Hertfordshire","80","86"
"All","Hillingdon","79","87"
"All","Hounslow","81","88"
"All","Isle of Wight","70","82"
"All","Isles of Scilly","!","!"
"All","Islington","77","87"
"All","Kensington and Chelsea","82","91"
"All","Kent","78","86"
"All","Kingston upon Hull, City of","74","81"
"All","Kingston upon Thames","82","87"
"All","Kirklees","74","84"
"All","Knowsley","72","84"
"All","Lambeth","81","87"
"All","Lancashire","78","85"
"All","Leeds","74","80"
"All","Leicester","77","83"
"All","Leicestershire","79","85"
"All","Lewisham","77","84"
"All","Lincolnshire","78","85"
"All","Liverpool","72","80"
"All","Luton","73","83"
"All","Manchester","75","83"
"All","Medway","78","86"
"All","Merton","83","85"
"All","Middlesbrough","71","81"
"All","Milton Keynes","78","87"
"All","Newcastle upon Tyne","79","85"
"All","Newham","84","91"
"All","Norfolk","74","82"
"All","North East Lincolnshire","76","82"
"All","North Lincolnshire","75","85"
"All","North Somerset","80","84"
"All","North Tyneside","77","86"
"All","North Yorkshire","77","85"
"All","Northamptonshire","77","84"
"All","Northumberland","81","89"
"All","Nottingham","75","82"
"All","Nottinghamshire","75","83"
"All","Oldham","73","81"
"All","Oxfordshire","78","85"
"All","Peterborough","71","80"
"All","Plymouth","76","85"
"All","Poole","82","88"
"All","Portsmouth","73","82"
"All","Reading","78","83"
"All","Redbridge","81","86"
"All","Redcar and Cleveland","77","85"
"All","Richmond upon Thames","86","91"
"All","Rochdale","77","86"
"All","Rotherham","75","83"
"All","Rutland","79","89"
"All","Salford","74","85"
"All","Sandwell","75","82"
"All","Sefton","75","84"
"All","Sheffield","73","81"
"All","Shropshire","78","86"
"All","Slough","80","89"
"All","Solihull","81","88"
"All","Somerset","75","82"
"All","South Gloucestershire","79","87"
"All","South Tyneside","79","87"
"All","Southampton","78","86"
"All","Southend-on-Sea","78","85"
"All","Southwark","81","86"
"All","St. Helens","75","83"
"All","Staffordshire","80","87"
"All","Stockport","78","85"
"All","Stockton-on-Tees","79","87"
"All","Stoke-on-Trent","75","84"
"All","Suffolk","76","84"
"All","Sunderland","79","87"
"All","Surrey","80","86"
"All","Sutton","80","88"
"All","Swindon","77","85"
"All","Tameside","74","84"
"All","Telford and Wrekin","78","87"
"All","Thurrock","80","88"
"All","Torbay","80","88"
"All","Tower Hamlets","78","87"
"All","Trafford","80","87"
"All","Wakefield","74","82"
"All","Walsall","77","84"
"All","Waltham Forest","81","88"
"All","Wandsworth","84","89"
"All","Warrington","77","85"
"All","Warwickshire","78","87"
"All","West Berkshire","74","83"
"All","West Sussex","76","84"
"All","Westminster","85","89"
"All","Wigan","79","87"
"All","Wiltshire","77","85"
"All","Windsor and Maidenhead","81","87"
"All","Wirral","72","81"
"All","Wokingham","79","87"
"All","Wolverhampton","76","83"
"All","Worcestershire","77","85"
"All","York","82","85"
"Asian","Barking and Dagenham","81","88"
"Asian","Barnet","89","89"
"Asian","Barnsley","!","!"
"Asian","Bath and North East Somerset","!","!"
"Asian","Bedford","75","86"
"Asian","Bexley","90","94"
"Asian","Birmingham","80","87"
"Asian","Blackburn with Darwen","79","91"
"Asian","Blackpool","85","86"
"Asian","Bolton","82","91"
"Asian","Bournemouth","84","!"
"Asian","Bracknell Forest","84","91"
"Asian","Bradford","77","89"
"Asian","Brent","82","88"
"Asian","Brighton and Hove","80","76"
"Asian","Bristol, City of","85","84"
"Asian","Bromley","91","96"
"Asian","Buckinghamshire","81","83"
"Asian","Bury","74","85"
"Asian","Calderdale","77","87"
"Asian","Cambridgeshire","86","86"
"Asian","Camden","76","85"
"Asian","Central Bedfordshire","91","93"
"Asian","Cheshire East","77","92"
"Asian","Cheshire West and Chester","82","86"
"Asian","City of London","!","!"
"Asian","Cornwall","!","!"
"Asian","County Durham","!","79"
"Asian","Coventry","83","89"
"Asian","Croydon","86","90"
"Asian","Cumbria","!","!"
"Asian","Darlington","!","!"
"Asian","Derby","78","83"
"Asian","Derbyshire","73","93"
"Asian","Devon","72","100"
"Asian","Doncaster","72","83"
"Asian","Dorset","76","86"
"Asian","Dudley","74","84"
"Asian","Ealing","84","89"
"Asian","East Riding of Yorkshire","100","100"
"Asian","East Sussex","85","86"
"Asian","Enfield","84","91"
"Asian","Essex","90","91"
"Asian","Gateshead","!","!"
"Asian","Gloucestershire","89","90"
"Asian","Greenwich","85","92"
"Asian","Hackney","89","90"
"Asian","Halton","!","!"
"Asian","Hammersmith and Fulham","92","93"
"Asian","Hampshire","84","86"
"Asian","Haringey","89","87"
"Asian","Harrow","90","93"
"Asian","Hartlepool","!","84"
"Asian","Havering","90","94"
"Asian","Herefordshire, County of","!","100"
"Asian","Hertfordshire","87","91"
"Asian","Hillingdon","85","92"
"Asian","Hounslow","86","90"
"Asian","Isle of Wight","!","100"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","84","!"
"Asian","Kensington and Chelsea","84","!"
"Asian","Kent","85","95"
"Asian","Kingston upon Hull, City of","!","!"
"Asian","Kingston upon Thames","84","88"
"Asian","Kirklees","75","85"
"Asian","Knowsley","!","!"
"Asian","Lambeth","83","86"
"Asian","Lancashire","76","85"
"Asian","Leeds","75","83"
"Asian","Leicester","83","88"
"Asian","Leicestershire","84","93"
"Asian","Lewisham","80","92"
"Asian","Lincolnshire","85","!"
"Asian","Liverpool","80","84"
"Asian","Luton","74","84"
"Asian","Manchester","77","84"
"Asian","Medway","84","94"
"Asian","Merton","86","91"
"Asian","Middlesbrough","71","88"
"Asian","Milton Keynes","88","93"
"Asian","Newcastle upon Tyne","76","88"
"Asian","Newham","88","93"
"Asian","Norfolk","78","93"
"Asian","North East Lincolnshire","100","!"
"Asian","North Lincolnshire","82","89"
"Asian","North Somerset","!","78"
"Asian","North Tyneside","82","81"
"Asian","North Yorkshire","84","81"
"Asian","Northamptonshire","80","89"
"Asian","Northumberland","!","86"
"Asian","Nottingham","83","87"
"Asian","Nottinghamshire","85","87"
"Asian","Oldham","71","81"
"Asian","Oxfordshire","77","85"
"Asian","Peterborough","72","84"
"Asian","Plymouth","80","!"
"Asian","Poole","!","!"
"Asian","Portsmouth","74","90"
"Asian","Reading","86","89"
"Asian","Redbridge","86","90"
"Asian","Redcar and Cleveland","100","100"
"Asian","Richmond upon Thames","88","96"
"Asian","Rochdale","82","91"
"Asian","Rotherham","81","89"
"Asian","Rutland","100","!"
"Asian","Salford","81","94"
"Asian","Sandwell","79","85"
"Asian","Sefton","68","78"
"Asian","Sheffield","77","81"
"Asian","Shropshire","!","!"
"Asian","Slough","86","93"
"Asian","Solihull","79","91"
"Asian","Somerset","72","!"
"Asian","South Gloucestershire","92","95"
"Asian","South Tyneside","68","85"
"Asian","Southampton","86","92"
"Asian","Southend-on-Sea","84","82"
"Asian","Southwark","82","88"
"Asian","St. Helens","!","!"
"Asian","Staffordshire","79","88"
"Asian","Stockport","79","82"
"Asian","Stockton-on-Tees","78","86"
"Asian","Stoke-on-Trent","77","89"
"Asian","Suffolk","76","93"
"Asian","Sunderland","81","84"
"Asian","Surrey","83","90"
"Asian","Sutton","89","94"
"Asian","Swindon","75","90"
"Asian","Tameside","76","81"
"Asian","Telford and Wrekin","86","96"
"Asian","Thurrock","91","91"
"Asian","Torbay","100","100"
"Asian","Tower Hamlets","79","88"
"Asian","Trafford","80","83"
"Asian","Wakefield","78","88"
"Asian","Walsall","82","88"
"Asian","Waltham Forest","85","90"
"Asian","Wandsworth","78","92"
"Asian","Warrington","88","88"
"Asian","Warwickshire","88","90"
"Asian","West Berkshire","82","!"
"Asian","West Sussex","81","86"
"Asian","Westminster","90","93"
"Asian","Wigan","!","81"
"Asian","Wiltshire","83","93"
"Asian","Windsor and Maidenhead","83","84"
"Asian","Wirral","74","92"
"Asian","Wokingham","84","92"
"Asian","Wolverhampton","82","90"
"Asian","Worcestershire","74","82"
"Asian","York","89","!"
"Black","Barking and Dagenham","82","89"
"Black","Barnet","81","85"
"Black","Barnsley","64","!"
"Black","Bath and North East Somerset","!","!"
"Black","Bedford","84","86"
"Black","Bexley","86","93"
"Black","Birmingham","79","84"
"Black","Blackburn with Darwen","79","84"
"Black","Blackpool","!","!"
"Black","Bolton","64","81"
"Black","Bournemouth","!","!"
"Black","Bracknell Forest","82","!"
"Black","Bradford","69","86"
"Black","Brent","78","86"
"Black","Brighton and Hove","71","90"
"Black","Bristol, City of","71","78"
"Black","Bromley","79","88"
"Black","Buckinghamshire","83","91"
"Black","Bury","73","77"
"Black","Calderdale","!","!"
"Black","Cambridgeshire","65","83"
"Black","Camden","74","85"
"Black","Central Bedfordshire","77","88"
"Black","Cheshire East","!","100"
"Black","Cheshire West and Chester","!","!"
"Black","City of London","!","!"
"Black","Cornwall","N/A","!"
"Black","County Durham","64","100"
"Black","Coventry","81","86"
"Black","Croydon","81","86"
"Black","Cumbria","!","!"
"Black","Darlington","!","100"
"Black","Derby","77","85"
"Black","Derbyshire","!","!"
"Black","Devon","50","100"
"Black","Doncaster","63","!"
"Black","Dorset","!","!"
"Black","Dudley","!","!"
"Black","Ealing","78","82"
"Black","East Riding of Yorkshire","!","!"
"Black","East Sussex","84","!"
"Black","Enfield","75","86"
"Black","Essex","77","90"
"Black","Gateshead","!","!"
"Black","Gloucestershire","70","87"
"Black","Greenwich","85","91"
"Black","Hackney","80","92"
"Black","Halton","N/A","!"
"Black","Hammersmith and Fulham","82","84"
"Black","Hampshire","76","88"
"Black","Haringey","79","87"
"Black","Harrow","75","88"
"Black","Hartlepool","!","!"
"Black","Havering","81","89"
"Black","Herefordshire, County of","N/A","!"
"Black","Hertfordshire","82","86"
"Black","Hillingdon","80","90"
"Black","Hounslow","74","85"
"Black","Isle of Wight","!","N/A"
"Black","Isles of Scilly","!","!"
"Black","Islington","69","86"
"Black","Kensington and Chelsea","72","86"
"Black","Kent","87","92"
"Black","Kingston upon Hull, City of","85","65"
"Black","Kingston upon Thames","65","68"
"Black","Kirklees","79","76"
"Black","Knowsley","!","!"
"Black","Lambeth","77","87"
"Black","Lancashire","76","85"
"Black","Leeds","75","76"
"Black","Leicester","79","85"
"Black","Leicestershire","88","91"
"Black","Lewisham","75","84"
"Black","Lincolnshire","!","100"
"Black","Liverpool","75","86"
"Black","Luton","78","88"
"Black","Manchester","79","87"
"Black","Medway","92","93"
"Black","Merton","84","83"
"Black","Middlesbrough","!","!"
"Black","Milton Keynes","80","86"
"Black","Newcastle upon Tyne","72","90"
"Black","Newham","83","92"
"Black","Norfolk","74","80"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Somerset","!","57"
"Black","North Tyneside","63","100"
"Black","North Yorkshire","67","80"
"Black","Northamptonshire","77","82"
"Black","Northumberland","!","!"
"Black","Nottingham","77","90"
"Black","Nottinghamshire","83","87"
"Black","Oldham","79","!"
"Black","Oxfordshire","78","84"
"Black","Peterborough","84","85"
"Black","Plymouth","83","100"
"Black","Poole","!","!"
"Black","Portsmouth","91","82"
"Black","Reading","80","87"
"Black","Redbridge","79","83"
"Black","Redcar and Cleveland","!","!"
"Black","Richmond upon Thames","85","83"
"Black","Rochdale","78","75"
"Black","Rotherham","72","75"
"Black","Rutland","!","!"
"Black","Salford","86","92"
"Black","Sandwell","79","84"
"Black","Sefton","100","!"
"Black","Sheffield","73","84"
"Black","Shropshire","!","!"
"Black","Slough","74","!"
"Black","Solihull","68","83"
"Black","Somerset","57","100"
"Black","South Gloucestershire","!","!"
"Black","South Tyneside","!","!"
"Black","Southampton","79","93"
"Black","Southend-on-Sea","77","!"
"Black","Southwark","80","87"
"Black","St. Helens","!","!"
"Black","Staffordshire","82","85"
"Black","Stockport","67","!"
"Black","Stockton-on-Tees","77","100"
"Black","Stoke-on-Trent","82","86"
"Black","Suffolk","83","88"
"Black","Sunderland","!","100"
"Black","Surrey","77","87"
"Black","Sutton","85","93"
"Black","Swindon","82","!"
"Black","Tameside","85","72"
"Black","Telford and Wrekin","!","!"
"Black","Thurrock","91","93"
"Black","Torbay","N/A","!"
"Black","Tower Hamlets","79","89"
"Black","Trafford","69","75"
"Black","Wakefield","81","73"
"Black","Walsall","82","91"
"Black","Waltham Forest","76","86"
"Black","Wandsworth","81","87"
"Black","Warrington","!","100"
"Black","Warwickshire","78","86"
"Black","West Berkshire","!","!"
"Black","West Sussex","79","81"
"Black","Westminster","87","86"
"Black","Wigan","69","77"
"Black","Wiltshire","74","86"
"Black","Windsor and Maidenhead","!","!"
"Black","Wirral","100","100"
"Black","Wokingham","73","!"
"Black","Wolverhampton","85","84"
"Black","Worcestershire","75","!"
"Black","York","!","!"
"Chinese","Barking and Dagenham","100","!"
"Chinese","Barnet","!","!"
"Chinese","Barnsley","!","!"
"Chinese","Bath and North East Somerset","!","!"
"Chinese","Bedford","100","100"
"Chinese","Bexley","!","100"
"Chinese","Birmingham","81","88"
"Chinese","Blackburn with Darwen","100","!"
"Chinese","Blackpool","!","!"
"Chinese","Bolton","!","!"
"Chinese","Bournemouth","!","!"
"Chinese","Bracknell Forest","!","100"
"Chinese","Bradford","100","!"
"Chinese","Brent","!","100"
"Chinese","Brighton and Hove","!","82"
"Chinese","Bristol, City of","!","100"
"Chinese","Bromley","!","!"
"Chinese","Buckinghamshire","100","100"
"Chinese","Bury","60","!"
"Chinese","Calderdale","100","100"
"Chinese","Cambridgeshire","90","!"
"Chinese","Camden","!","!"
"Chinese","Central Bedfordshire","100","!"
"Chinese","Cheshire East","100","100"
"Chinese","Cheshire West and Chester","!","!"
"Chinese","City of London","!","!"
"Chinese","Cornwall","!","!"
"Chinese","County Durham","73","100"
"Chinese","Coventry","!","!"
"Chinese","Croydon","!","100"
"Chinese","Cumbria","!","!"
"Chinese","Darlington","!","!"
"Chinese","Derby","!","!"
"Chinese","Derbyshire","!","73"
"Chinese","Devon","!","!"
"Chinese","Doncaster","!","100"
"Chinese","Dorset","100","100"
"Chinese","Dudley","!","!"
"Chinese","Ealing","100","!"
"Chinese","East Riding of Yorkshire","!","!"
"Chinese","East Sussex","!","100"
"Chinese","Enfield","100","!"
"Chinese","Essex","74","!"
"Chinese","Gateshead","!","!"
"Chinese","Gloucestershire","100","100"
"Chinese","Greenwich","!","!"
"Chinese","Hackney","!","82"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","100"
"Chinese","Hampshire","100","87"
"Chinese","Haringey","84","100"
"Chinese","Harrow","!","100"
"Chinese","Hartlepool","!","!"
"Chinese","Havering","!","100"
"Chinese","Herefordshire, County of","100","!"
"Chinese","Hertfordshire","90","!"
"Chinese","Hillingdon","100","!"
"Chinese","Hounslow","100","!"
"Chinese","Isle of Wight","!","N/A"
"Chinese","Isles of Scilly","!","!"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","N/A"
"Chinese","Kent","77","!"
"Chinese","Kingston upon Hull, City of","!","!"
"Chinese","Kingston upon Thames","77","100"
"Chinese","Kirklees","!","57"
"Chinese","Knowsley","!","!"
"Chinese","Lambeth","79","!"
"Chinese","Lancashire","!","!"
"Chinese","Leeds","83","78"
"Chinese","Leicester","!","!"
"Chinese","Leicestershire","71","!"
"Chinese","Lewisham","76","89"
"Chinese","Lincolnshire","50","!"
"Chinese","Liverpool","77","86"
"Chinese","Luton","!","!"
"Chinese","Manchester","92","!"
"Chinese","Medway","100","100"
"Chinese","Merton","!","!"
"Chinese","Middlesbrough","!","!"
"Chinese","Milton Keynes","100","!"
"Chinese","Newcastle upon Tyne","86","83"
"Chinese","Newham","!","!"
"Chinese","Norfolk","82","!"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","!","!"
"Chinese","North Somerset","!","!"
"Chinese","North Tyneside","100","100"
"Chinese","North Yorkshire","!","!"
"Chinese","Northamptonshire","84","100"
"Chinese","Northumberland","!","!"
"Chinese","Nottingham","!","100"
"Chinese","Nottinghamshire","87","!"
"Chinese","Oldham","!","!"
