"Title","Phonics attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments: England 2016"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/16"

"","Non-FSM boys","FSM boys","Non-FSM girls","FSM girls"
"Ethnicity","%","%","%","%"
"All","79","64","86","74"
"Asian","82","74","88","81"
"Bangladeshi","79","74","87","83"
"Indian","87","79","92","84"
"Pakistani","78","72","85","80"
"Asian other","82","78","88","83"
"Black","80","73","87","82"
"Black African","81","76","88","84"
"Black Caribbean","77","67","86","80"
"Black other","77","69","86","78"
"Chinese","88","71","90","86"
"Mixed","81","67","88","78"
"Mixed White/Asian","85","64","90","81"
"Mixed White/Black African","80","71","86","84"
"Mixed White/Black Caribbean","77","65","86","76"
"Mixed other","82","69","88","77"
"White","79","60","86","71"
"White British","80","60","87","72"
"White Irish","82","57","86","62"
"White Irish Traveller","40","30","53","41"
"White Gypsy/Roma","33","31","40","44"
"White other","75","65","82","74"
"Other","77","74","83","78"
