"Title","Phonics attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments: England 2016"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"New grouping","Ethnicity","%"
"Non-FSM boys","All","79"
"Non-FSM boys","Asian","82"
"Non-FSM boys","Bangladeshi","79"
"Non-FSM boys","Indian","87"
"Non-FSM boys","Pakistani","78"
"Non-FSM boys","Asian other","82"
"Non-FSM boys","Black","80"
"Non-FSM boys","Black African","81"
"Non-FSM boys","Black Caribbean","77"
"Non-FSM boys","Black other","77"
"Non-FSM boys","Chinese","88"
"Non-FSM boys","Mixed","81"
"Non-FSM boys","Mixed White/Asian","85"
"Non-FSM boys","Mixed White/Black African","80"
"Non-FSM boys","Mixed White/Black Caribbean","77"
"Non-FSM boys","Mixed other","82"
"Non-FSM boys","White","79"
"Non-FSM boys","White British","80"
"Non-FSM boys","White Irish","82"
"Non-FSM boys","White Irish Traveller","40"
"Non-FSM boys","White Gypsy/Roma","33"
"Non-FSM boys","White other","75"
"Non-FSM boys","Other","77"
"FSM boys","All","64"
"FSM boys","Asian","74"
"FSM boys","Bangladeshi","74"
"FSM boys","Indian","79"
"FSM boys","Pakistani","72"
"FSM boys","Asian other","78"
"FSM boys","Black","73"
"FSM boys","Black African","76"
"FSM boys","Black Caribbean","67"
"FSM boys","Black other","69"
"FSM boys","Chinese","71"
"FSM boys","Mixed","67"
"FSM boys","Mixed White/Asian","64"
"FSM boys","Mixed White/Black African","71"
"FSM boys","Mixed White/Black Caribbean","65"
"FSM boys","Mixed other","69"
"FSM boys","White","60"
"FSM boys","White British","60"
"FSM boys","White Irish","57"
"FSM boys","White Irish Traveller","30"
"FSM boys","White Gypsy/Roma","31"
"FSM boys","White other","65"
"FSM boys","Other","74"
"Non-FSM girls","All","86"
"Non-FSM girls","Asian","88"
"Non-FSM girls","Bangladeshi","87"
"Non-FSM girls","Indian","92"
"Non-FSM girls","Pakistani","85"
"Non-FSM girls","Asian other","88"
"Non-FSM girls","Black","87"
"Non-FSM girls","Black African","88"
"Non-FSM girls","Black Caribbean","86"
"Non-FSM girls","Black other","86"
"Non-FSM girls","Chinese","90"
"Non-FSM girls","Mixed","88"
"Non-FSM girls","Mixed White/Asian","90"
"Non-FSM girls","Mixed White/Black African","86"
"Non-FSM girls","Mixed White/Black Caribbean","86"
"Non-FSM girls","Mixed other","88"
"Non-FSM girls","White","86"
"Non-FSM girls","White British","87"
"Non-FSM girls","White Irish","86"
"Non-FSM girls","White Irish Traveller","53"
"Non-FSM girls","White Gypsy/Roma","40"
"Non-FSM girls","White other","82"
"Non-FSM girls","Other","83"
"FSM girls","All","74"
"FSM girls","Asian","81"
"FSM girls","Bangladeshi","83"
"FSM girls","Indian","84"
"FSM girls","Pakistani","80"
"FSM girls","Asian other","83"
"FSM girls","Black","82"
"FSM girls","Black African","84"
"FSM girls","Black Caribbean","80"
"FSM girls","Black other","78"
"FSM girls","Chinese","86"
"FSM girls","Mixed","78"
"FSM girls","Mixed White/Asian","81"
"FSM girls","Mixed White/Black African","84"
"FSM girls","Mixed White/Black Caribbean","76"
"FSM girls","Mixed other","77"
"FSM girls","White","71"
"FSM girls","White British","72"
"FSM girls","White Irish","62"
"FSM girls","White Irish Traveller","41"
"FSM girls","White Gypsy/Roma","44"
"FSM girls","White other","74"
"FSM girls","Other","78"
