"Title","Reading attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"County Durham","75","89","67","73","77","75"
"Darlington","75","71","!","!","78","75"
"Gateshead","77","74","77","75","73","77"
"Hartlepool","73","71","!","!","69","73"
"Middlesbrough","67","68","84","!","64","68"
"Newcastle upon Tyne","73","74","73","85","81","74"
"North Tyneside","76","81","83","60","83","76"
"Northumberland","78","90","!","69","76","78"
"Redcar and Cleveland","77","60","!","!","73","77"
"South Tyneside","78","84","!","!","69","79"
"Stockton-on-Tees","76","82","83","100","67","76"
"Sunderland","75","72","!","77","77","76"
"Blackburn with Darwen","74","75","74","100","68","75"
"Blackpool","74","65","100","50","84","74"
"Bolton","71","75","64","!","72","72"
"Bury","72","74","63","100","65","73"
"Cheshire East","75","73","73","73","78","75"
"Cheshire West and Chester","74","74","38","!","85","74"
"Cumbria","69","81","100","!","67","69"
"Halton","67","100","!","!","73","67"
"Knowsley","68","91","!","100","73","67"
"Lancashire","74","73","73","76","73","74"
"Liverpool","64","66","70","67","63","64"
"Manchester","70","68","73","82","75","71"
"Oldham","67","65","56","76","74","70"
"Rochdale","71","71","68","!","77","71"
"Salford","74","77","73","!","74","76"
"Sefton","70","74","!","!","70","71"
"St. Helens","68","58","!","!","70","68"
"Stockport","76","77","75","75","76","76"
"Tameside","70","66","75","40","73","71"
"Trafford","79","79","85","79","76","79"
"Warrington","76","76","81","!","83","76"
"Wigan","74","72","74","75","80","74"
"Wirral","71","78","33","57","77","71"
"Barnsley","70","59","83","!","81","70"
"Bradford","70","72","66","!","70","69"
"Calderdale","66","58","72","57","69","68"
"Doncaster","70","69","71","63","74","70"
"East Riding of Yorkshire","76","88","!","100","83","75"
"Kingston upon Hull, City of","72","79","67","!","80","72"
"Kirklees","71","70","72","63","71","72"
"Leeds","65","64","62","66","61","67"
"North East Lincolnshire","72","!","!","!","76","72"
"North Lincolnshire","78","82","50","!","75","78"
"North Yorkshire","72","79","60","76","72","72"
"Rotherham","71","75","67","!","71","71"
"Sheffield","71","72","75","82","72","72"
"Wakefield","72","66","72","79","77","72"
"York","74","74","!","57","72","75"
"Derby","66","72","70","70","69","64"
"Derbyshire","75","83","74","73","77","74"
"Leicester","67","73","70","!","68","60"
"Leicestershire","73","80","76","69","77","73"
"Lincolnshire","73","88","75","82","77","73"
"Northamptonshire","73","78","73","86","72","73"
"Nottingham","66","72","74","76","68","64"
"Nottinghamshire","72","70","69","71","74","72"
"Rutland","80","100","57","!","75","81"
"Birmingham","70","71","71","83","70","69"
"Coventry","70","78","72","79","72","67"
"Dudley","74","74","85","!","81","74"
"Herefordshire, County of","75","70","100","!","91","75"
"Sandwell","68","74","73","55","69","66"
"Shropshire","73","84","!","!","79","73"
"Solihull","79","81","76","!","79","79"
"Staffordshire","77","80","67","79","80","77"
"Stoke-on-Trent","70","71","74","70","74","70"
"Telford and Wrekin","77","72","84","100","80","77"
"Walsall","72","76","81","!","75","71"
"Warwickshire","76","82","70","!","77","76"
"Wolverhampton","71","75","79","67","73","68"
"Worcestershire","73","66","70","67","73","73"
"Bedford","72","70","76","100","69","73"
"Cambridgeshire","73","73","71","83","78","73"
"Central Bedfordshire","77","85","85","!","75","77"
"Essex","77","84","80","84","78","77"
"Hertfordshire","79","80","79","92","82","79"
"Luton","70","71","74","58","78","69"
"Norfolk","75","83","76","83","77","75"
"Peterborough","68","69","76","!","73","68"
"Southend-on-Sea","77","80","77","71","72","77"
"Suffolk","72","80","75","100","74","72"
"Thurrock","76","81","84","80","80","74"
"Camden","75","72","73","65","76","78"
"City of London","!","!","!","!","!","!"
"Hackney","81","85","80","83","87","81"
"Hammersmith and Fulham","78","84","75","100","76","81"
"Haringey","78","83","79","90","82","76"
"Islington","75","73","71","!","81","77"
"Kensington and Chelsea","81","86","81","!","81","85"
"Lambeth","78","78","77","83","82","78"
"Lewisham","79","79","77","76","83","79"
"Newham","79","83","81","81","86","70"
"Southwark","77","82","77","78","76","78"
"Tower Hamlets","76","76","78","88","80","72"
"Wandsworth","81","82","75","84","78","85"
