"Title","Reading attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","70","20","78","27"
"Asian","72","19","80","26"
"Bangladeshi","71","19","79","25"
"Indian","79","27","86","36"
"Pakistani","67","14","75","20"
"Asian other","73","22","82","29"
"Black","71","18","81","26"
"Black African","73","20","82","27"
"Black Caribbean","68","15","78","21"
"Black other","68","17","78","24"
"Chinese","77","29","83","36"
"Mixed","72","23","81","30"
"Mixed White/Asian","77","28","85","36"
"Mixed White/Black African","73","22","80","28"
"Mixed White/Black Caribbean","66","16","76","23"
"Mixed other","72","24","82","31"
"White","70","20","78","27"
"White British","70","21","79","28"
"White Irish","72","26","82","35"
"White Irish Traveller","27","6","37","3"
"White Gypsy/Roma","21","2","30","4"
"White other","64","17","71","21"
"Other","64","15","72","20"
