"Title","Reading attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Region","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominators"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","All","All","All","All/Boys/Girls","24","%","641,593"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","24","%","477,297"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","24","%","428,456"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","30","%","1,725"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","4","%","604"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","3","%","2,417"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","19","%","44,095"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","26","%","37,891"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","9,808"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","25","%","5,503"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","32","%","8,877"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","27","%","13,703"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","23","%","68,312"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","31","%","18,435"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","17","%","28,158"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","22","%","10,383"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","25","%","11,336"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","22","%","35,798"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","18","%","6,818"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","23","%","24,111"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","4,869"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","32","%","2,983"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","18","%","11,771"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","17","%","7,541"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","All","All","Boys","All/Boys/Girls","20","%","328,249"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","20","%","244,555"
"% of pupils reaching the higher standard in reading","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","21","%","219,455"
