"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","61","78"
"Asian","68","78"
"Bangladeshi","69","76"
"Indian","72","84"
"Pakistani","66","73"
"Asian other","68","79"
"Black","70","79"
"Black African","72","80"
"Black Caribbean","67","76"
"Black other","68","76"
"Chinese","76","85"
"Mixed","65","81"
"Mixed White/Asian","62","84"
"Mixed White/Black African","70","79"
"Mixed White/Black Caribbean","63","77"
"Mixed other","67","81"
"White","58","78"
"White British","58","79"
"White Irish","47","82"
"White Irish Traveller","30","37"
"White Gypsy/Roma","28","27"
"White other","59","71"
"Other","62","70"
