"Title","Reading attainment for children aged 6 to 7 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28 September 2017"

"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","71","22","80","29"
"Asian","73","21","81","28"
"Bangladeshi","70","19","79","26"
"Indian","80","29","87","37"
"Pakistani","68","16","77","21"
"Asian other","74","22","82","30"
"Black","72","19","81","27"
"Black African","73","21","82","28"
"Black Caribbean","68","17","80","23"
"Black other","70","17","79","26"
"Chinese","81","33","87","38"
"Mixed","73","23","82","31"
"Mixed White/Asian","77","28","85","36"
"Mixed White/Black African","73","21","82","30"
"Mixed White/Black Caribbean","68","18","79","25"
"Mixed other","74","24","83","33"
"White","71","22","80","29"
"White British","72","23","81","30"
"White Irish","74","28","80","33"
"White Irish Traveller","25","4","42","6"
"White Gypsy/Roma","24","2","31","3"
"White other","66","18","74","23"
"Other","65","15","72","21"
