"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","","","","","",""
"Barking and Dagenham","82","84","86","!","82","79"
"Barnet","83","86","78","88","83","85"
"Barnsley","80","82","90","!","84","80"
"Bath and North East Somerset","83","79","!","!","80","83"
"Bedford","81","74","82","100","83","82"
"Bexley","86","92","90","!","86","84"
"Birmingham","74","74","74","83","76","75"
"Blackburn with Darwen","82","81","70","100","83","83"
"Blackpool","84","77","!","60","86","85"
"Bolton","79","81","69","!","81","81"
"Bournemouth","84","77","79","!","88","85"
"Bracknell Forest","86","94","88","!","91","85"
"Bradford","76","75","72","!","78","77"
"Brent","80","82","80","100","87","79"
"Brighton and Hove","85","81","81","100","84","86"
"Bristol, City of","80","76","71","!","79","82"
"Bromley","87","91","87","94","89","86"
"Buckinghamshire","82","74","75","84","83","84"
"Bury","81","78","72","100","79","82"
"Calderdale","75","58","!","57","73","78"
"Cambridgeshire","82","77","74","91","83","82"
"Camden","82","77","78","71","83","87"
"Central Bedfordshire","85","92","80","100","79","85"
"Cheshire East","82","76","73","73","86","82"
"Cheshire West and Chester","82","75","77","100","89","82"
"City of London","!","!","!","!","!","!"
"Cornwall","85","!","!","100","86","85"
"County Durham","84","92","75","!","86","84"
"Coventry","77","82","76","!","79","76"
"Croydon","83","87","81","!","83","83"
"Cumbria","83","87","100","!","84","83"
"Darlington","84","71","!","!","89","84"
"Derby","75","80","81","87","80","74"
"Derbyshire","86","88","74","86","88","86"
"Devon","82","77","57","!","82","82"
"Doncaster","78","78","71","68","83","79"
"Dorset","81","81","100","70","83","81"
"Dudley","81","76","80","!","83","82"
"Ealing","79","78","75","100","88","81"
"East Riding of Yorkshire","85","85","100","100","86","85"
"East Sussex","84","89","78","!","86","84"
"Enfield","77","86","76","77","83","76"
"Essex","83","81","80","86","83","83"
"Gateshead","83","74","81","75","79","84"
"Gloucestershire","82","86","79","!","81","82"
"Greenwich","86","90","88","86","87","84"
"Hackney","85","88","83","83","88","86"
"Halton","78","100","!","!","84","78"
"Hammersmith and Fulham","83","88","78","100","82","88"
"Hampshire","88","85","84","88","85","88"
"Haringey","83","87","82","88","88","84"
"Harrow","85","90","81","100","87","80"
"Hartlepool","80","75","!","!","81","80"
"Havering","86","89","84","!","89","86"
"Herefordshire, County of","85","70","100","!","93","85"
"Hertfordshire","85","84","83","95","88","85"
"Hillingdon","81","84","78","!","82","81"
"Hounslow","86","90","83","!","88","85"
"Isle of Wight","81","!","!","!","83","82"
"Isles of Scilly","!","!","!","!","!","!"
"Islington","80","75","76","70","85","83"
"Kensington and Chelsea","88","89","85","!","89","91"
"Kent","86","88","85","90","88","86"
"Kingston upon Hull, City of","77","89","65","!","80","78"
"Kingston upon Thames","85","81","81","!","85","87"
"Kirklees","79","75","75","81","77","82"
"Knowsley","77","100","!","100","84","76"
"Lambeth","84","85","80","!","87","86"
"Lancashire","82","79","81","76","79","82"
"Leeds","74","73","69","75","71","76"
"Leicester","74","81","74","!","73","69"
"Leicestershire","85","86","87","90","85","85"
"Lewisham","84","84","80","80","87","87"
"Lincolnshire","81","93","85","82","86","81"
"Liverpool","71","71","71","71","76","72"
"Luton","77","77","78","58","81","77"
"Manchester","77","74","79","92","79","78"
"Medway","82","84","88","100","87","81"
"Merton","85","87","88","83","86","85"
"Middlesbrough","75","72","81","!","76","76"
"Milton Keynes","82","81","83","74","85","82"
"Newcastle upon Tyne","81","78","79","88","85","83"
"Newham","82","86","83","75","88","76"
"Norfolk","85","90","81","92","87","85"
"North East Lincolnshire","79","!","!","100","90","78"
"North Lincolnshire","87","90","60","100","86","87"
"North Somerset","85","90","!","!","88","85"
"North Tyneside","83","87","83","80","84","83"
"North Yorkshire","84","80","73","82","85","84"
"Northamptonshire","81","81","75","89","80","82"
"Northumberland","87","88","!","!","90","87"
"Nottingham","75","79","79","81","77","75"
"Nottinghamshire","81","76","75","82","84","82"
"Oldham","72","66","65","81","78","77"
"Oxfordshire","83","75","78","!","85","84"
"Peterborough","74","74","81","100","76","74"
"Plymouth","79","88","81","73","75","79"
"Poole","86","81","69","100","85","86"
"Portsmouth","82","81","82","100","79","82"
"Reading","76","78","76","!","76","77"
"Redbridge","80","85","76","86","81","76"
"Redcar and Cleveland","82","67","!","!","70","82"
"Richmond upon Thames","89","83","87","!","88","90"
"Rochdale","79","77","68","!","82","81"
"Rotherham","79","78","69","!","81","80"
"Rutland","86","100","!","!","!","86"
"Salford","81","82","80","!","83","83"
"Sandwell","74","75","73","55","75","75"
"Sefton","81","84","!","!","81","81"
"Sheffield","79","74","77","89","76","81"
"Shropshire","84","88","57","100","89","84"
"Slough","81","86","81","100","84","76"
"Solihull","83","78","79","!","85","84"
"Somerset","86","77","64","75","86","86"
"South Gloucestershire","86","87","76","!","87","87"
"South Tyneside","82","84","75","!","67","83"
"Southampton","81","83","82","85","82","81"
"Southend-on-Sea","82","85","79","82","79","83"
"Southwark","82","82","81","84","81","85"
"St. Helens","77","67","!","!","73","77"
"Staffordshire","84","80","76","83","86","85"
"Stockport","84","82","82","!","85","84"
"Stockton-on-Tees","87","88","90","!","83","87"
"Stoke-on-Trent","77","77","83","70","81","77"
"Suffolk","81","84","75","100","79","81"
"Sunderland","84","79","!","!","85","84"
"Surrey","86","84","85","88","86","87"
"Sutton","81","83","77","82","88","80"
"Swindon","78","78","80","!","75","78"
"Tameside","82","77","78","60","83","83"
"Telford and Wrekin","83","77","89","100","87","83"
"Thurrock","79","84","84","80","83","77"
"Torbay","81","76","!","100","84","81"
"Tower Hamlets","80","80","81","!","81","79"
"Trafford","86","85","83","90","82","86"
"Wakefield","80","70","80","!","79","81"
"Walsall","78","81","80","!","78","78"
"Waltham Forest","86","87","86","84","88","86"
"Wandsworth","85","86","79","84","83","90"
"Warrington","86","84","!","!","90","86"
"Warwickshire","84","85","75","84","85","84"
"West Berkshire","85","84","!","100","88","85"
"West Sussex","78","78","65","85","79","78"
"Westminster","80","84","83","!","84","84"
"Wigan","81","72","68","!","82","81"
"Wiltshire","83","88","80","79","85","83"
"Windsor and Maidenhead","88","87","83","!","85","89"
"Wirral","81","87","56","76","83","81"
"Wokingham","90","90","89","!","90","90"
"Wolverhampton","75","77","79","88","78","74"
"Worcestershire","84","73","70","78","84","85"
"York","83","74","!","57","86","84"
