"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Barking and Dagenham","80","84","81","88","83","90","!","!","79","85","78","80"
"Barnet","82","84","86","86","77","79","84","90","81","84","84","87"
"Barnsley","77","83","70","100","!","!","!","!","88","79","77","84"
"Bath and North East Somerset","82","84","!","!","!","!","!","!","79","82","82","84"
"Bedford","79","83","70","79","72","91","!","100","80","86","81","83"
"Bexley","84","87","90","95","89","92","100","!","82","89","83","85"
"Birmingham","71","77","72","77","73","76","78","90","71","81","72","79"
"Blackburn with Darwen","80","84","79","84","!","!","!","!","84","83","82","85"
"Blackpool","82","86","71","82","!","!","!","!","!","!","83","86"
"Bolton","77","82","80","82","68","70","!","!","79","83","78","84"
"Bournemouth","81","87","74","81","!","!","100","!","83","92","82","88"
"Bracknell Forest","86","86","95","93","!","!","!","100","!","!","85","85"
"Bradford","73","79","73","78","68","76","!","100","74","84","74","80"
"Brent","77","82","79","86","77","83","100","100","81","91","79","80"
"Brighton and Hove","84","87","81","80","77","86","100","100","83","85","85","88"
"Bristol, City of","77","83","74","78","66","76","!","100","76","81","80","85"
"Bromley","85","89","91","91","86","88","!","!","85","94","84","89"
"Buckinghamshire","80","84","73","75","73","76","!","!","80","86","82","87"
"Bury","77","84","76","81","72","71","100","100","68","88","78","85"
"Calderdale","72","77","57","59","100","!","!","!","68","78","76","81"
"Cambridgeshire","80","84","78","77","74","74","!","!","77","90","81","84"
"Camden","81","84","73","81","76","80","!","!","83","82","87","87"
"Central Bedfordshire","83","87","91","93","79","82","!","100","74","84","83","87"
"Cheshire East","80","84","79","71","!","!","!","!","90","83","80","85"
"Cheshire West and Chester","80","85","63","90","!","!","100","100","85","93","80","84"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","83","87","!","100","!","!","100","100","86","86","83","87"
"County Durham","81","86","!","!","!","!","!","100","82","89","82","87"
"Coventry","74","80","79","86","71","81","!","100","71","87","75","78"
"Croydon","80","86","84","89","76","85","!","100","79","87","82","85"
"Cumbria","81","86","84","89","!","!","100","!","77","89","81","86"
"Darlington","83","85","65","76","!","100","!","!","!","!","83","85"
"Derby","72","79","77","83","75","87","!","!","78","83","71","78"
"Derbyshire","84","88","87","90","73","75","!","!","!","!","85","87"
"Devon","80","84","71","85","!","!","100","!","80","86","80","85"
"Doncaster","76","81","77","78","65","79","!","!","76","88","77","81"
"Dorset","80","83","78","85","100","100","!","!","79","88","80","83"
"Dudley","77","85","72","81","79","82","!","100","79","89","78","86"
"Ealing","76","82","74","83","71","79","100","100","85","90","79","84"
"East Riding of Yorkshire","82","88","!","!","!","!","!","!","89","84","82","88"
"East Sussex","82","86","87","93","!","!","100","!","85","88","83","86"
"Enfield","74","80","84","89","72","80","77","77","78","87","74","78"
"Essex","80","85","78","84","76","84","!","!","81","86","81","85"
"Gateshead","81","86","77","72","!","!","!","!","79","79","81","87"
"Gloucestershire","81","83","80","92","77","81","!","!","80","82","81","84"
"Greenwich","84","89","90","91","86","90","!","!","85","89","81","88"
"Hackney","82","89","87","89","77","89","!","!","87","89","84","89"
"Halton","76","80","!","!","!","!","!","!","!","!","75","80"
"Hammersmith and Fulham","81","86","83","91","76","80","!","!","79","87","87","89"
"Hampshire","86","90","84","86","78","90","!","!","82","88","87","90"
"Haringey","81","86","80","93","78","86","!","!","88","87","82","85"
"Harrow","81","89","87","93","76","87","100","100","86","88","73","87"
"Hartlepool","76","84","!","!","100","!","!","!","!","!","75","85"
"Havering","84","89","85","93","78","93","!","100","88","91","85","88"
"Herefordshire, County of","84","85","!","!","!","!","!","!","!","!","84","86"
"Hertfordshire","83","87","81","88","81","85","!","!","85","91","84","87"
"Hillingdon","78","84","80","87","74","81","!","!","79","85","78","84"
"Hounslow","84","88","89","92","80","86","!","!","87","90","83","88"
"Isle of Wight","80","83","!","100","!","!","!","!","71","100","81","83"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","78","82","70","79","73","79","!","!","82","86","82","84"
