"Title","Science attainment for children aged 6 to 7 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","82","86","84","100","79","79"
"Barnet","84","87","78","88","86","87"
"Barnsley","79","!","!","!","75","80"
"Bath and North East Somerset","85","79","!","!","84","86"
"Bedford","78","73","74","100","77","81"
"Bexley","86","90","89","93","83","85"
"Birmingham","77","79","77","90","79","77"
"Blackburn with Darwen","81","83","69","!","86","80"
"Blackpool","81","82","!","100","89","81"
"Bolton","79","81","65","!","87","80"
"Bournemouth","85","84","!","100","94","84"
"Bracknell Forest","83","90","83","!","85","83"
"Bradford","77","78","72","!","75","78"
"Brent","80","80","81","100","84","81"
"Brighton and Hove","86","73","82","!","84","87"
"Bristol, City of","80","81","69","!","78","82"
"Bromley","88","88","87","90","89","88"
"Buckinghamshire","85","77","78","100","85","86"
"Bury","80","73","75","!","77","83"
"Calderdale","78","68","76","!","80","81"
"Cambridgeshire","81","76","70","93","83","82"
"Camden","82","76","81","!","87","86"
"Central Bedfordshire","84","84","88","100","86","84"
"Cheshire East","83","90","80","!","83","83"
"Cheshire West and Chester","83","80","80","65","88","83"
"City of London","!","!","!","!","!","!"
"Cornwall","85","70","!","!","88","85"
"County Durham","84","78","!","!","83","84"
"Coventry","78","83","77","!","78","78"
"Croydon","85","88","82","100","86","86"
"Cumbria","84","81","!","69","84","84"
"Darlington","82","65","!","100","89","82"
"Derby","77","77","78","73","77","78"
"Derbyshire","85","84","79","83","86","85"
"Devon","84","83","79","80","89","84"
"Doncaster","80","77","80","!","82","81"
"Dorset","84","84","!","!","83","84"
"Dudley","79","74","72","79","76","81"
"Ealing","82","82","75","!","86","87"
"East Riding of Yorkshire","86","83","!","!","92","86"
"East Sussex","86","82","65","!","86","86"
"Enfield","77","86","76","!","79","75"
"Essex","83","88","84","93","84","83"
"Gateshead","82","82","68","!","84","83"
"Gloucestershire","84","81","83","!","84","84"
"Greenwich","85","90","86","100","91","82"
"Hackney","84","86","82","79","87","85"
"Halton","76","!","N/A","!","80","76"
"Hammersmith and Fulham","83","87","77","100","82","87"
"Hampshire","88","88","83","89","91","89"
"Haringey","84","86","81","85","89","84"
"Harrow","86","90","77","100","89","83"
"Hartlepool","81","82","!","100","!","81"
"Havering","87","87","87","100","87","86"
"Herefordshire, County of","86","100","!","!","87","85"
"Hertfordshire","86","86","80","96","85","86"
"Hillingdon","83","87","79","!","87","82"
"Hounslow","86","89","83","!","90","86"
"Isle of Wight","81","!","!","!","80","81"
"Isles of Scilly","!","!","!","!","!","!"
"Islington","79","79","76","100","81","81"
"Kensington and Chelsea","86","73","84","100","87","90"
"Kent","86","87","90","!","89","86"
"Kingston upon Hull, City of","81","77","62","!","81","81"
"Kingston upon Thames","87","86","86","91","86","88"
"Kirklees","78","75","74","62","76","80"
"Knowsley","79","88","!","100","67","79"
"Lambeth","85","89","82","!","86","87"
"Lancashire","82","77","77","85","81","83"
"Leeds","77","75","70","89","74","78"
"Leicester","78","84","77","67","81","75"
"Leicestershire","84","88","79","100","84","83"
"Lewisham","87","86","85","87","88","90"
"Lincolnshire","83","94","86","87","85","82"
"Liverpool","74","68","71","83","74","75"
"Luton","77","77","77","!","81","77"
"Manchester","77","75","80","85","79","79"
"Medway","82","85","87","!","86","82"
"Merton","86","86","86","79","87","87"
"Middlesbrough","75","73","77","!","67","77"
"Milton Keynes","84","86","84","!","86","83"
"Newcastle upon Tyne","80","76","85","85","81","82"
"Newham","83","84","83","!","84","80"
"Norfolk","84","85","82","88","82","84"
"North East Lincolnshire","82","!","100","100","86","82"
"North Lincolnshire","83","87","67","100","88","83"
"North Somerset","89","87","!","!","90","89"
"North Tyneside","84","74","72","!","89","84"
"North Yorkshire","83","81","!","!","81","84"
"Northamptonshire","82","81","77","!","82","82"
"Northumberland","86","87","!","!","87","86"
"Nottingham","76","79","79","!","81","75"
"Nottinghamshire","82","82","83","73","85","83"
"Oldham","76","72","69","100","82","80"
"Oxfordshire","85","77","82","87","85","86"
"Peterborough","77","76","76","!","81","78"
"Plymouth","81","89","69","!","83","81"
"Poole","85","87","100","!","77","86"
"Portsmouth","83","79","80","!","89","84"
"Reading","81","83","81","100","84","80"
"Redbridge","83","86","82","!","82","80"
"Redcar and Cleveland","84","!","!","N/A","88","84"
"Richmond upon Thames","91","93","84","!","91","92"
"Rochdale","78","76","80","!","76","79"
"Rotherham","80","79","79","80","83","81"
"Rutland","88","100","!","N/A","100","88"
"Salford","83","90","83","!","88","83"
"Sandwell","77","79","75","!","76","77"
"Sefton","83","88","!","!","81","84"
"Sheffield","80","78","78","93","82","82"
"Shropshire","85","82","100","100","91","85"
"Slough","81","85","79","!","80","78"
"Solihull","84","87","84","100","83","84"
"Somerset","87","82","!","!","85","87"
"South Gloucestershire","88","89","79","!","85","88"
"South Tyneside","80","90","60","!","78","80"
"Southampton","79","84","83","79","83","79"
"Southend-on-Sea","86","86","86","100","84","86"
"Southwark","83","80","84","92","85","85"
"St. Helens","78","71","67","73","74","78"
"Staffordshire","85","85","90","90","84","85"
"Stockport","85","77","77","68","86","86"
"Stockton-on-Tees","85","80","91","!","87","86"
"Stoke-on-Trent","78","79","81","80","84","78"
"Suffolk","82","84","77","!","80","82"
"Sunderland","83","79","!","!","80","83"
"Surrey","86","84","83","80","88","87"
"Sutton","84","88","81","92","84","84"
"Swindon","83","80","84","!","88","84"
"Tameside","80","77","75","76","79","81"
"Telford and Wrekin","83","81","75","100","85","84"
"Thurrock","80","87","85","100","86","77"
"Torbay","81","79","!","!","80","81"
"Tower Hamlets","81","82","83","!","80","81"
"Trafford","88","85","79","!","87","89"
"Wakefield","80","73","69","!","86","80"
"Walsall","77","79","84","73","79","76"
"Waltham Forest","85","87","85","91","89","86"
"Wandsworth","86","85","77","83","85","91"
"Warrington","87","88","!","!","88","87"
"Warwickshire","84","88","90","!","87","84"
"West Berkshire","86","90","88","100","85","87"
"West Sussex","80","74","67","!","81","80"
"Westminster","82","78","83","!","89","88"
"Wigan","82","80","72","!","83","83"
"Wiltshire","82","79","83","73","84","83"
"Windsor and Maidenhead","89","90","72","100","87","89"
"Wirral","81","72","!","!","79","82"
"Wokingham","91","90","70","100","86","92"
"Wolverhampton","80","84","82","!","79","79"
"Worcestershire","84","78","74","!","81","85"
"York","87","79","!","!","88","87"
