"ethnicity","Local authority","%"
"All","Barking and Dagenham","82"
"All","Barnet","84"
"All","Barnsley","79"
"All","Bath and North East Somerset","85"
"All","Bedford","78"
"All","Bexley","86"
"All","Birmingham","77"
"All","Blackburn with Darwen","81"
"All","Blackpool","81"
"All","Bolton","79"
"All","Bournemouth","85"
"All","Bracknell Forest","83"
"All","Bradford","77"
"All","Brent","80"
"All","Brighton and Hove","86"
"All","Bristol, City of","80"
"All","Bromley","88"
"All","Buckinghamshire","85"
"All","Bury","80"
"All","Calderdale","78"
"All","Cambridgeshire","81"
"All","Camden","82"
"All","Central Bedfordshire","84"
"All","Cheshire East","83"
"All","Cheshire West and Chester","83"
"All","City of London","!"
"All","Cornwall","85"
"All","County Durham","84"
"All","Coventry","78"
"All","Croydon","85"
"All","Cumbria","84"
"All","Darlington","82"
"All","Derby","77"
"All","Derbyshire","85"
"All","Devon","84"
"All","Doncaster","80"
"All","Dorset","84"
"All","Dudley","79"
"All","Ealing","82"
"All","East Riding of Yorkshire","86"
"All","East Sussex","86"
"All","Enfield","77"
"All","Essex","83"
"All","Gateshead","82"
"All","Gloucestershire","84"
"All","Greenwich","85"
"All","Hackney","84"
"All","Halton","76"
"All","Hammersmith and Fulham","83"
"All","Hampshire","88"
"All","Haringey","84"
"All","Harrow","86"
"All","Hartlepool","81"
"All","Havering","87"
"All","Herefordshire, County of","86"
"All","Hertfordshire","86"
"All","Hillingdon","83"
"All","Hounslow","86"
"All","Isle of Wight","81"
"All","Isles of Scilly","!"
"All","Islington","79"
"All","Kensington and Chelsea","86"
"All","Kent","86"
"All","Kingston upon Hull, City of","81"
"All","Kingston upon Thames","87"
"All","Kirklees","78"
"All","Knowsley","79"
"All","Lambeth","85"
"All","Lancashire","82"
"All","Leeds","77"
"All","Leicester","78"
"All","Leicestershire","84"
"All","Lewisham","87"
"All","Lincolnshire","83"
"All","Liverpool","74"
"All","Luton","77"
"All","Manchester","77"
"All","Medway","82"
"All","Merton","86"
"All","Middlesbrough","75"
"All","Milton Keynes","84"
"All","Newcastle upon Tyne","80"
"All","Newham","83"
"All","Norfolk","84"
"All","North East Lincolnshire","82"
"All","North Lincolnshire","83"
"All","North Somerset","89"
"All","North Tyneside","84"
"All","North Yorkshire","83"
"All","Northamptonshire","82"
"All","Northumberland","86"
"All","Nottingham","76"
"All","Nottinghamshire","82"
"All","Oldham","76"
"All","Oxfordshire","85"
"All","Peterborough","77"
"All","Plymouth","81"
"All","Poole","85"
"All","Portsmouth","83"
"All","Reading","81"
"All","Redbridge","83"
"All","Redcar and Cleveland","84"
"All","Richmond upon Thames","91"
"All","Rochdale","78"
"All","Rotherham","80"
"All","Rutland","88"
"All","Salford","83"
"All","Sandwell","77"
"All","Sefton","83"
"All","Sheffield","80"
"All","Shropshire","85"
"All","Slough","81"
"All","Solihull","84"
"All","Somerset","87"
"All","South Gloucestershire","88"
"All","South Tyneside","80"
"All","Southampton","79"
"All","Southend-on-Sea","86"
"All","Southwark","83"
"All","St. Helens","78"
"All","Staffordshire","85"
"All","Stockport","85"
"All","Stockton-on-Tees","85"
"All","Stoke-on-Trent","78"
"All","Suffolk","82"
"All","Sunderland","83"
"All","Surrey","86"
"All","Sutton","84"
"All","Swindon","83"
"All","Tameside","80"
"All","Telford and Wrekin","83"
"All","Thurrock","80"
"All","Torbay","81"
"All","Tower Hamlets","81"
"All","Trafford","88"
"All","Wakefield","80"
"All","Walsall","77"
"All","Waltham Forest","85"
"All","Wandsworth","86"
"All","Warrington","87"
"All","Warwickshire","84"
"All","West Berkshire","86"
"All","West Sussex","80"
"All","Westminster","82"
"All","Wigan","82"
"All","Wiltshire","82"
"All","Windsor and Maidenhead","89"
"All","Wirral","81"
"All","Wokingham","91"
