"Title","Science attainment for children aged 6 to 7 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"","Boys","Girls"
"Ethnicity","%","%"
"All","80","85"
"Asian","78","84"
"Bangladeshi","76","83"
"Indian","86","90"
"Pakistani","74","80"
"Asian other","80","86"
"Black","77","84"
"Black African","77","85"
"Black Caribbean","76","83"
"Black other","75","82"
"Chinese","87","91"
"Mixed","81","87"
"Mixed White/Asian","84","89"
"Mixed White/Black African","80","87"
"Mixed White/Black Caribbean","78","84"
"Mixed other","81","87"
"White","81","86"
"White British","82","86"
"White Irish","83","84"
"White Irish Traveller","42","51"
"White Gypsy/Roma","36","41"
"White other","75","81"
"Other","73","78"
