"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Bedford","59","71","58","75","62","78","!","100","59","70","59","69"
"Cambridgeshire","56","70","63","70","57","71","80","84","59","80","56","70"
"Central Bedfordshire","62","76","77","88","68","80","!","100","57","69","62","76"
"Essex","60","76","73","84","66","80","76","88","65","75","60","76"
"Hertfordshire","65","78","70","83","68","79","!","!","66","80","65","77"
"Luton","55","69","56","71","62","72","!","!","61","73","53","66"
"Norfolk","62","77","73","88","72","73","!","!","68","76","62","77"
"Peterborough","52","70","53","73","54","79","!","!","58","71","52","69"
"Southend-on-Sea","60","78","69","80","63","74","!","!","54","80","59","79"
"Suffolk","56","71","68","70","47","69","!","!","60","70","56","72"
"Thurrock","63","74","68","84","71","86","!","!","59","77","61","70"
"Derby","48","61","57","71","52","75","64","56","51","65","46","58"
"Derbyshire","58","73","76","77","!","!","!","!","56","81","57","73"
"Leicester","52","67","60","73","53","72","!","!","50","66","45","60"
"Leicestershire","57","72","70","79","59","80","67","71","65","70","56","71"
"Lincolnshire","56","72","!","!","!","!","64","100","62","73","55","72"
"Northamptonshire","57","70","68","80","56","74","!","!","60","71","57","69"
"Nottingham","52","65","58","71","57","75","!","!","56","68","49","62"
"Nottinghamshire","56","72","54","66","40","82","67","86","63","69","56","73"
"Rutland","63","76","!","100","!","!","!","!","!","!","64","77"
"Barking and Dagenham","62","75","70","83","68","82","!","!","58","76","54","66"
"Barnet","63","74","74","82","60","72","76","87","60","74","64","74"
"Bexley","70","80","86","93","81","86","!","!","74","82","65","77"
"Brent","64","73","72","77","63","73","!","!","65","82","63","70"
"Bromley","65","79","80","89","66","84","!","!","64","84","64","77"
"Camden","61","72","58","72","58","71","!","!","68","73","63","73"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!"
"Croydon","62","75","72","87","60","75","!","!","62","75","61","71"
"Ealing","55","69","59","72","50","63","!","100","59","79","56","71"
"Enfield","60","72","77","85","59","73","62","69","64","78","58","68"
"Greenwich","70","82","83","89","76","85","!","!","70","83","65","77"
"Hackney","73","83","78","82","71","83","!","!","79","86","73","82"
"Hammersmith and Fulham","66","75","72","73","63","73","!","!","63","73","69","78"
"Haringey","69","80","75","88","70","82","!","!","74","83","68","78"
"Harrow","63","79","74","87","53","74","!","100","66","70","52","73"
"Havering","63","78","67","91","65","86","!","!","60","77","62","76"
"Hillingdon","59","74","67","81","62","73","!","!","60","76","53","70"
"Hounslow","69","79","78","87","61","75","!","!","71","76","63","76"
"Islington","65","72","65","75","61","69","!","!","66","78","67","74"
"Kensington and Chelsea","72","79","!","!","72","79","!","!","64","86","75","81"
"Kingston upon Thames","59","71","67","72","53","66","77","73","59","63","57","72"
"Lambeth","66","78","63","84","64","76","!","!","67","84","69","78"
"Lewisham","67","79","74","79","65","78","68","81","73","80","68","79"
"Merton","57","70","68","73","54","72","!","!","48","68","56","68"
"Newham","69","81","74","85","71","83","100","!","74","88","59","71"
"Redbridge","62","74","69","78","60","67","!","!","61","76","52","69"
"Richmond upon Thames","61","76","67","77","50","76","!","100","61","76","62","76"
"Southwark","65","76","75","79","65","78","73","84","60","75","67","76"
"Sutton","61","76","74","85","69","74","!","!","72","84","55","73"
"Tower Hamlets","63","77","64","79","65","74","!","!","57","85","59","70"
"Waltham Forest","69","80","72","82","63","83","!","!","76","81","67","77"
"Wandsworth","72","81","74","87","64","78","!","!","67","72","77","83"
"Westminster","64","75","69","79","79","78","100","73","63","84","63","78"
"County Durham","63","77","82","81","!","!","!","!","67","79","63","77"
"Darlington","62","74","41","71","!","100","!","!","!","!","63","74"
"Gateshead","62","76","68","68","56","76","!","!","50","67","62","77"
"Hartlepool","57","74","68","56","!","!","!","!","!","!","56","74"
"Middlesbrough","49","66","53","66","69","81","!","!","47","62","50","66"
"Newcastle upon Tyne","61","73","61","74","64","72","!","!","65","84","62","73"
"North Tyneside","61","76","74","85","!","!","!","!","70","72","61","75"
"Northumberland","64","77","73","85","!","!","!","!","63","71","64","77"
"Redcar and Cleveland","64","79","!","!","!","!","!","!","!","!","64","79"
"South Tyneside","66","78","79","72","67","100","!","!","67","53","66","79"
"Stockton-on-Tees","60","77","66","85","72","73","!","!","53","69","60","77"
"Sunderland","62","78","61","81","!","!","!","!","65","88","62","77"
"Blackburn with Darwen","59","75","60","77","!","!","!","!","57","69","59","75"
"Blackpool","61","72","57","53","!","!","!","!","58","74","61","73"
"Bolton","58","71","63","75","54","58","!","!","64","70","57","72"
"Bury","57","70","59","68","56","62","100","!","42","79","57","71"
"Cheshire East","50","66","59","68","!","!","!","!","63","68","50","66"
"Cheshire West and Chester","50","68","51","87","!","!","!","!","63","81","49","67"
"Cumbria","50","64","80","74","!","!","!","!","41","72","50","64"
"Halton","46","61","!","!","!","!","!","!","58","50","46","62"
"Knowsley","50","66","78","100","!","!","!","100","65","80","49","65"
"Lancashire","59","74","63","72","61","84","!","!","59","75","59","74"
"Liverpool","45","61","55","63","50","58","49","78","43","69","45","62"
"Manchester","57","70","56","70","61","75","76","87","61","72","58","69"
"Oldham","52","66","47","64","40","58","70","73","60","66","56","70"
"Rochdale","52","70","48","63","56","59","!","!","58","67","53","74"
"Salford","61","74","68","77","61","77","!","!","62","74","62","75"
"Sefton","54","71","60","81","!","!","100","!","52","76","55","71"
