"Title","Writing attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","FSM Boys","FSM Girls","Non-FSM Boys","Non-FSM Girls"
"Ethnicity","","","",""
"All","42","58","61","75"
"Asian","52","66","65","77"
"Asian - Bangladeshi","56","72","64","76"
"Asian - Indian","62","69","73","84"
"Asian - Pakistani","48","63","58","72"
"Asian - Any other","55","67","67","80"
"Black","54","70","65","78"
"Black - African","56","72","67","79"
"Black - Caribbean","47","67","60","73"
"Black - Any other","52","67","63","76"
"Chinese","71","78","73","82"
"Mixed","48","64","64","78"
"Mixed - White and Asian","48","64","69","82"
"Mixed - White and Black African","51","65","65","78"
"Mixed - White and Black Caribbean","44","63","58","72"
"Mixed - Any other","50","63","64","79"
"White","39","55","61","75"
"White - British","39","55","62","76"
"White - Irish","38","50","65","80"
"White - Traveller of Irish Heritage","20","28","21","36"
"White - Gypsy/Roma","15","28","15","25"
"White - Any other","45","57","56","67"
"Other","49","66","57","69"
