"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Essex","E10000012","All","68","%","16466"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Thurrock","E06000034","All","68","%","2397"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Essex","E10000012","All","70","%","16915"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Hertfordshire","E10000015","All","71","%","14674"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Bedford","E06000055","All","66","%","2306"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Peterborough","E06000031","All","63","%","3143"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Norfolk","E10000020","All","67","%","9139"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Peterborough","E06000031","All","61","%","3024"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Southend-on-Sea","E06000033","All","71","%","2216"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Suffolk","E10000029","All","66","%","8026"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Thurrock","E06000034","All","71","%","2371"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Central Bedfordshire","E06000056","All","70","%","3549"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Suffolk","E10000029","All","64","%","7982"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Luton","E06000032","All","64","%","3304"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Central Bedfordshire","E06000056","All","69","%","3402"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East","Cambridgeshire","E10000003","All","64","%","7324"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Norfolk","E10000020","All","70","%","9002"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Luton","E06000032","All","62","%","3324"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Hertfordshire","E10000015","All","71","%","14300"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Cambridgeshire","E10000003","All","63","%","7294"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Bedford","E06000055","All","65","%","2242"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","All","69","%","2195"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Northamptonshire","E10000021","All","68","%","9557"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicester","E06000016","All","64","%","4758"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","All","55","%","3389"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicestershire","E10000018","All","64","%","7568"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derby","E06000015","All","63","%","3401"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottingham","E06000018","All","62","%","3815"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derbyshire","E10000007","All","65","%","8401"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Lincolnshire","E10000019","All","65","%","8166"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottinghamshire","E10000024","All","64","%","9264"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottingham","E06000018","All","58","%","3800"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottinghamshire","E10000024","All","67","%","9558"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicestershire","E10000018","All","68","%","7806"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Northamptonshire","E10000021","All","64","%","9418"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","All","70","%","407"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Rutland","E06000017","All","72","%","424"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derbyshire","E10000007","All","68","%","8606"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicester","E06000016","All","59","%","4606"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","All","64","%","7964"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Lambeth","E09000022","All","73","%","3177"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Westminster","E09000033","All","70","%","1525"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Haringey","E09000014","All","74","%","3186"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Newham","E09000025","All","75","%","4844"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Hammersmith and Fulham","E09000013","All","72","%","1472"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Tower Hamlets","E09000030","All","72","%","3447"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Kensington and Chelsea","E09000020","All","75","%","1008"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Hounslow","E09000018","All","74","%","3433"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Ealing","E09000009","All","68","%","4608"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Havering","E09000016","All","70","%","3159"
