"Title","Writing attainment for children aged 6 to 7 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","69","75","75","58","69","62"
"Barnet","71","76","68","84","72","72"
"Barnsley","67","!","81","!","64","67"
"Bath and North East Somerset","68","54","75","!","68","69"
"Bedford","66","69","69","100","64","66"
"Bexley","75","89","84","88","72","72"
"Birmingham","65","68","67","82","66","62"
"Blackburn with Darwen","67","70","62","!","74","66"
"Blackpool","66","70","!","100","72","66"
"Bolton","66","71","55","80","74","66"
"Bournemouth","67","75","73","100","77","67"
"Bracknell Forest","67","84","74","!","70","65"
"Bradford","66","70","66","100","63","63"
"Brent","68","71","69","!","70","68"
"Brighton and Hove","69","62","71","79","66","70"
"Bristol, City of","65","65","55","85","63","66"
"Bromley","74","83","78","79","75","73"
"Buckinghamshire","69","64","61","!","69","70"
"Bury","66","63","68","70","63","68"
"Calderdale","60","51","65","!","64","62"
"Cambridgeshire","64","68","60","88","69","64"
"Camden","67","64","69","69","73","68"
"Central Bedfordshire","70","82","81","100","76","69"
"Cheshire East","68","84","73","!","66","68"
"Cheshire West and Chester","64","68","67","50","73","63"
"City of London","!","!","!","!","!","!"
"Cornwall","65","65","!","!","67","65"
"County Durham","72","76","!","75","70","72"
"Coventry","64","72","66","75","66","61"
"Croydon","69","73","68","83","69","67"
"Cumbria","64","66","63","62","68","64"
"Darlington","70","74","!","!","78","69"
"Derby","63","67","68","69","57","64"
"Derbyshire","68","70","64","75","70","68"
"Devon","69","73","!","80","76","69"
"Doncaster","66","70","75","!","61","66"
"Dorset","67","79","75","!","68","67"
"Dudley","63","63","65","71","59","64"
"Ealing","68","69","61","77","70","72"
"East Riding of Yorkshire","70","79","!","!","76","70"
"East Sussex","71","74","61","86","73","71"
"Enfield","65","80","68","!","70","61"
"Essex","70","83","79","87","73","69"
"Gateshead","70","80","61","!","76","71"
"Gloucestershire","66","72","68","82","69","66"
"Greenwich","76","84","81","90","79","71"
"Hackney","77","79","75","79","80","77"
"Halton","58","!","N/A","!","55","58"
"Hammersmith and Fulham","72","80","68","100","73","75"
"Hampshire","74","81","77","79","81","73"
"Haringey","74","81","74","85","80","73"
"Harrow","73","80","63","!","77","66"
"Hartlepool","69","75","!","100","77","69"
"Havering","71","81","78","100","73","69"
"Herefordshire, County of","72","56","!","!","74","72"
"Hertfordshire","71","81","70","86","74","70"
"Hillingdon","70","78","70","67","71","64"
"Hounslow","74","79","70","80","76","72"
"Isle of Wight","62","!","!","!","70","62"
"Isles of Scilly","!","!","!","!","!","!"
"Islington","71","67","69","100","73","71"
"Kensington and Chelsea","75","65","74","!","76","78"
"Kent","72","78","84","91","76","72"
"Kingston upon Hull, City of","66","71","45","!","67","66"
"Kingston upon Thames","71","79","67","85","71","68"
"Kirklees","64","66","63","54","60","65"
"Knowsley","63","65","81","100","52","63"
"Lambeth","73","81","71","!","76","75"
"Lancashire","68","67","69","79","68","68"
"Leeds","59","61","54","86","57","59"
"Leicester","64","71","68","67","68","56"
"Leicestershire","68","79","67","!","70","67"
"Lewisham","73","75","73","79","72","74"
"Lincolnshire","65","90","59","70","65","65"
"Liverpool","57","56","58","72","59","57"
"Luton","64","65","70","58","64","63"
"Manchester","65","64","71","76","65","65"
"Medway","73","84","82","!","80","72"
"Merton","69","75","71","79","71","67"
"Middlesbrough","62","65","69","!","53","63"
"Milton Keynes","69","80","73","80","73","66"
"Newcastle upon Tyne","68","64","75","78","70","69"
"Newham","73","76","75","90","74","68"
"Norfolk","67","80","68","82","63","67"
"North East Lincolnshire","69","!","!","!","78","68"
"North Lincolnshire","71","84","58","!","88","70"
"North Somerset","72","90","!","38","73","72"
"North Tyneside","73","55","67","!","87","73"
"North Yorkshire","68","75","71","67","70","68"
"Northamptonshire","68","73","70","82","71","68"
"Northumberland","74","77","!","!","78","74"
"Nottingham","62","67","68","!","65","61"
"Nottinghamshire","67","71","71","75","74","66"
"Oldham","61","58","59","100","68","64"
"Oxfordshire","66","67","69","!","64","66"
"Peterborough","63","65","67","79","66","62"
"Plymouth","65","74","58","71","72","65"
"Poole","72","82","100","!","71","72"
"Portsmouth","66","67","71","!","80","66"
"Reading","67","73","71","!","71","64"
"Redbridge","71","77","65","90","68","65"
"Redcar and Cleveland","72","!","!","N/A","82","73"
"Richmond upon Thames","72","79","67","77","75","72"
"Rochdale","65","67","67","!","68","64"
"Rotherham","69","70","71","80","64","69"
"Rutland","72","!","44","N/A","100","72"
"Salford","68","79","75","!","77","67"
"Sandwell","64","69","66","!","66","60"
"Sefton","66","78","60","!","59","66"
"Sheffield","68","69","68","78","68","69"
"Shropshire","66","77","70","!","73","65"
"Slough","71","79","71","!","67","64"
"Solihull","70","75","77","!","69","69"
"Somerset","70","78","79","70","72","70"
"South Gloucestershire","73","83","68","!","76","73"
"South Tyneside","71","80","60","!","68","71"
"Southampton","67","75","72","74","70","65"
"Southend-on-Sea","71","80","75","!","68","71"
"Southwark","73","72","75","79","73","73"
"St. Helens","64","64","44","67","72","64"
"Staffordshire","72","79","73","84","73","72"
"Stockport","69","66","71","68","71","70"
"Stockton-on-Tees","72","77","88","!","78","72"
"Stoke-on-Trent","64","68","64","73","70","64"
"Suffolk","66","78","70","43","66","66"
"Sunderland","71","73","78","!","79","71"
"Surrey","71","76","71","75","76","71"
"Sutton","72","84","79","92","72","68"
"Swindon","71","73","76","!","76","70"
"Tameside","65","65","67","65","58","65"
"Telford and Wrekin","69","73","75","!","77","69"
"Thurrock","71","80","79","100","78","68"
"Torbay","68","64","!","!","66","68"
"Tower Hamlets","72","74","73","!","64","66"
"Trafford","72","74","67","85","71","72"
"Wakefield","65","63","61","!","77","65"
"Walsall","63","69","70","64","65","60"
"Waltham Forest","75","82","75","85","76","74"
"Wandsworth","76","79","68","83","74","79"
"Warrington","71","78","!","!","80","71"
"Warwickshire","70","75","75","!","74","69"
"West Berkshire","68","84","85","100","70","68"
"West Sussex","61","60","61","75","66","60"
"Westminster","70","67","71","!","71","75"
"Wigan","69","75","70","67","79","69"
"Wiltshire","65","77","73","64","64","65"
"Windsor and Maidenhead","73","79","67","100","79","72"
"Wirral","66","67","!","!","63","66"
"Wokingham","74","83","66","100","73","72"
"Wolverhampton","66","72","71","!","67","63"
"Worcestershire","69","70","63","!","70","70"
"York","70","69","!","!","81","69"
