"Title","Writing attainment for children aged 6 to 7 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","52","71"
"Asian","62","73"
"Bangladeshi","64","71"
"Indian","67","80"
"Pakistani","60","67"
"Asian other","64","75"
"Black","63","73"
"Black African","65","74"
"Black Caribbean","58","69"
"Black other","60","70"
"Chinese","75","82"
"Mixed","56","74"
"Mixed White/Asian","54","78"
"Mixed White/Black African","63","73"
"Mixed White/Black Caribbean","53","69"
"Mixed other","57","74"
"White","48","71"
"White British","49","72"
"White Irish","38","73"
"White Irish Traveller","22","30"
"White Gypsy/Roma","21","22"
"White other","53","65"
"Other","57","65"
