"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","62","11","75","20"
"Asian","66","13","78","22"
"Bangladeshi","63","12","77","20"
"Indian","74","19","85","30"
"Pakistani","59","8","73","15"
"Asian other","68","14","80","25"
"Black","64","11","77","20"
"Black African","66","12","79","21"
"Black Caribbean","58","8","74","15"
"Black other","61","10","74","19"
"Chinese","77","23","87","35"
"Mixed","63","13","78","22"
"Mixed White/Asian","69","16","81","26"
"Mixed White/Black African","64","12","78","22"
"Mixed White/Black Caribbean","56","9","73","16"
"Mixed other","65","13","78","23"
"White","61","11","75","20"
"White British","61","11","76","20"
"White Irish","61","13","74","21"
"White Irish Traveller","18","1","33","4"
"White Gypsy/Roma","18","1","27","2"
"White other","58","10","71","17"
"Other","58","9","69","16"
