"Title","Writing attainment for children aged 6 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"Gender","Ethnicity","FSM","Non-FSM"
"Boys","All","44","64"
"Boys","Asian","56","67"
"Boys","Bangladeshi","59","64"
"Boys","Indian","61","75"
"Boys","Pakistani","54","61"
"Boys","Any Other Asian Background","59","69"
"Boys","Black","55","67"
"Boys","Black African","58","68"
"Boys","Black Caribbean","48","62"
"Boys","Any Other Black Background","52","64"
"Boys","Chinese","68","78"
"Boys","Mixed","48","67"
"Boys","White and Asian","44","73"
"Boys","White and Black African","55","66"
"Boys","White and Black Caribbean","46","61"
"Boys","Any Other Mixed Background","48","68"
"Boys","White","41","64"
"Boys","White British","41","65"
"Boys","Irish","32","65"
"Boys","Traveller of Irish Heritage","16","21"
"Boys","Gypsy/Roma","17","18"
"Boys","Any Other White Background","46","59"
"Boys","Other","53","59"
"Girls","All","60","78"
"Girls","Asian","68","79"
"Girls","Bangladeshi","69","78"
"Girls","Indian","72","86"
"Girls","Pakistani","66","74"
"Girls","Any Other Asian Background","70","81"
"Girls","Black","71","79"
"Girls","Black African","73","80"
"Girls","Black Caribbean","67","77"
"Girls","Any Other Black Background","69","76"
"Girls","Chinese","83","87"
"Girls","Mixed","65","81"
"Girls","White and Asian","66","84"
"Girls","White and Black African","71","80"
"Girls","White and Black Caribbean","62","77"
"Girls","Any Other Mixed Background","66","81"
"Girls","White","57","78"
"Girls","White British","57","79"
"Girls","Irish","42","81"
"Girls","Traveller of Irish Heritage","28","40"
"Girls","Gypsy/Roma","26","27"
"Girls","Any Other White Background","61","72"
"Girls","Other","60","72"
