"Title","Writing attainments for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/1/17"

"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","59","10","73","17"
"Asian","63","11","76","19"
"Bangladeshi","63","10","76","17"
"Indian","72","17","83","27"
"Pakistani","57","7","70","13"
"Asian other","66","13","78","21"
"Black","62","10","76","17"
"Black African","64","11","77","19"
"Black Caribbean","56","7","71","13"
"Black other","60","9","73","16"
"Chinese","72","20","82","29"
"Mixed","61","12","75","19"
"Mixed White/Asian","66","15","79","25"
"Mixed White/Black African","62","12","75","18"
"Mixed White/Black Caribbean","54","7","70","13"
"Mixed other","62","12","76","21"
"White","58","9","72","17"
"White British","58","9","73","17"
"White Irish","61","12","75","22"
"White Irish Traveller","20","1","31","3"
"White Gypsy/Roma","15","1","26","1"
"White other","55","9","67","15"
"Other","55","9","68","14"
