"Title","Grammar, punctuation and spelling attainment by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"

"","All","Asian","Black","Chinese","Mixed","White"
"","%","%","%","%","%","%"
"Barking and Dagenham","78","90","84","!","74","69"
"Barnet","80","85","75","!","77","82"
"Barnsley","72","!","80","!","77","72"
"Bath and North East Somerset","73","89","71","!","73","72"
"Bedford","68","71","70","100","72","66"
"Bexley","78","91","86","!","77","73"
"Birmingham","71","74","71","92","73","69"
"Blackburn with Darwen","74","78","83","!","82","70"
"Blackpool","69","90","!","!","72","68"
"Bolton","76","83","72","100","74","74"
"Bournemouth","75","85","!","!","79","74"
"Bracknell Forest","64","79","73","!","70","61"
"Bradford","69","73","76","50","69","66"
"Brent","77","81","74","!","81","75"
"Brighton and Hove","75","76","70","100","77","75"
"Bristol, City of","72","76","65","69","69","72"
"Bromley","81","91","85","!","87","79"
"Buckinghamshire","77","79","68","100","78","77"
"Bury","74","76","63","!","76","74"
"Calderdale","69","72","74","!","77","68"
"Cambridgeshire","70","85","67","71","77","69"
"Camden","79","83","75","!","77","80"
"Central Bedfordshire","68","74","72","73","74","67"
"Cheshire East","76","94","!","!","75","75"
"Cheshire West and Chester","73","78","69","!","79","73"
"City of London","!","100","!","!","!","100"
"Cornwall","68","64","!","!","70","68"
"County Durham","76","88","!","81","80","76"
"Coventry","74","82","76","!","73","71"
"Croydon","75","84","72","100","76","73"
"Cumbria","70","78","!","79","85","70"
"Darlington","75","82","!","!","86","74"
"Derby","69","76","80","100","71","66"
"Derbyshire","72","78","!","86","75","72"
"Devon","71","80","61","!","78","71"
"Doncaster","65","70","87","75","76","65"
"Dorset","67","76","!","100","75","67"
"Dudley","69","77","69","63","73","68"
"Ealing","78","80","75","100","78","77"
"East Riding of Yorkshire","71","100","!","!","74","71"
"East Sussex","67","81","64","47","72","67"
"Enfield","75","88","75","100","77","73"
"Essex","74","87","83","93","78","73"
"Gateshead","78","77","80","!","79","78"
"Gloucestershire","73","84","78","82","80","72"
"Greenwich","78","86","83","!","80","70"
"Hackney","77","79","74","100","81","80"
"Halton","70","!","!","!","76","70"
"Hammersmith and Fulham","82","88","83","!","82","81"
"Hampshire","74","85","80","84","77","74"
"Haringey","76","80","71","71","81","78"
"Harrow","82","88","73","!","82","78"
"Hartlepool","74","85","!","!","!","74"
"Havering","80","90","84","!","79","78"
"Herefordshire, County of","74","100","!","!","77","74"
"Hertfordshire","77","86","77","90","78","76"
"Hillingdon","80","86","80","!","81","75"
"Hounslow","80","86","79","100","76","74"
"Isle of Wight","64","56","!","!","69","64"
"Isles of Scilly","60","!","!","!","!","60"
"Islington","77","86","78","!","77","77"
"Kensington and Chelsea","87","92","86","!","84","87"
"Kent","73","88","84","93","82","71"
"Kingston upon Hull, City of","70","91","70","!","74","70"
"Kingston upon Thames","80","85","71","!","77","79"
"Kirklees","69","72","65","!","65","69"
"Knowsley","70","86","!","!","85","69"
"Lambeth","79","93","78","!","80","79"
"Lancashire","73","74","65","82","77","73"
"Leeds","70","73","66","88","72","70"
"Leicester","72","79","75","!","72","64"
"Leicestershire","72","83","70","86","73","71"
"Lewisham","75","86","73","!","74","74"
"Lincolnshire","71","89","67","100","74","71"
"Liverpool","68","80","69","84","67","67"
"Luton","71","72","76","100","69","69"
"Manchester","73","77","78","81","72","70"
"Medway","67","85","90","!","70","64"
"Merton","78","86","78","100","66","75"
"Middlesbrough","70","76","!","!","75","68"
"Milton Keynes","75","89","81","100","74","72"
"Newcastle upon Tyne","73","81","72","!","69","72"
"Newham","82","86","80","57","79","73"
"Norfolk","66","83","65","80","71","66"
"North East Lincolnshire","71","69","!","!","79","71"
"North Lincolnshire","70","84","45","100","76","69"
"North Somerset","73","80","57","!","72","73"
"North Tyneside","74","76","64","100","76","74"
"North Yorkshire","68","83","55","!","83","68"
"Northamptonshire","70","82","76","!","70","69"
"Northumberland","70","78","!","!","63","70"
"Nottingham","70","76","75","100","68","68"
"Nottinghamshire","73","81","68","!","77","72"
"Oldham","72","73","78","!","72","72"
"Oxfordshire","72","70","68","!","69","72"
"Peterborough","65","71","68","!","65","63"
"Plymouth","72","79","80","100","77","71"
"Poole","73","86","!","!","71","73"
"Portsmouth","70","86","72","!","73","68"
"Reading","74","82","73","!","72","72"
"Redbridge","78","83","73","100","75","69"
"Redcar and Cleveland","77","!","!","!","79","78"
"Richmond upon Thames","85","92","81","100","88","84"
"Rochdale","74","73","75","100","70","75"
"Rotherham","71","77","74","100","71","70"
"Rutland","75","!","!","!","67","75"
"Salford","77","85","76","100","82","77"
"Sandwell","73","80","72","100","75","70"
"Sefton","78","78","67","!","91","77"
"Sheffield","70","76","71","!","70","69"
"Shropshire","69","75","!","!","72","69"
"Slough","77","84","72","!","77","67"
"Solihull","77","85","77","!","76","77"
"Somerset","71","87","67","!","82","71"
"South Gloucestershire","73","84","72","!","74","73"
"South Tyneside","75","86","100","!","83","74"
"Southampton","72","76","92","!","77","70"
"Southend-on-Sea","73","74","74","73","76","73"
"Southwark","76","90","76","!","71","75"
"St. Helens","75","85","!","57","77","75"
"Staffordshire","72","77","75","89","69","72"
"Stockport","77","80","70","!","81","77"
"Stockton-on-Tees","76","80","83","!","81","75"
"Stoke-on-Trent","67","75","66","!","64","66"
"Suffolk","68","82","78","57","72","67"
"Sunderland","75","88","69","!","75","75"
"Surrey","77","83","72","92","82","76"
"Sutton","80","93","81","100","80","76"
"Swindon","73","79","87","!","76","71"
"Tameside","74","83","75","!","80","73"
"Telford and Wrekin","77","77","76","!","78","77"
"Thurrock","72","81","85","100","73","68"
"Torbay","72","!","!","!","74","71"
"Tower Hamlets","82","84","78","100","77","74"
"Trafford","84","86","87","100","86","82"
"Wakefield","69","71","69","79","77","68"
"Walsall","70","76","76","100","74","67"
"Waltham Forest","75","81","75","76","76","71"
"Wandsworth","78","80","73","73","75","81"
"Warrington","76","82","45","100","83","76"
"Warwickshire","75","88","69","!","73","74"
"West Berkshire","72","82","79","!","75","71"
"West Sussex","68","76","68","71","71","67"
"Westminster","80","84","80","100","84","80"
"Wigan","75","76","71","100","69","75"
"Wiltshire","71","80","61","!","72","70"
"Windsor and Maidenhead","74","73","73","!","76","74"
"Wirral","70","84","!","!","75","69"
"Wokingham","82","92","84","!","78","81"
"Wolverhampton","74","82","77","!","70","71"
"Worcestershire","67","78","67","40","72","66"
"York","70","83","!","!","84","69"
