"Title","Grammar, punctuation and spelling attainment for children aged 10 to 11 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","81","87","87","!","79","75"
"Barnet","85","90","84","93","83","85"
"Barnsley","75","!","57","N/A","85","75"
"Bath and North East Somerset","79","86","54","!","79","79"
"Bedford","72","77","75","!","75","70"
"Bexley","80","90","86","100","82","76"
"Birmingham","78","83","78","89","76","74"
"Blackburn with Darwen","79","83","79","!","77","75"
"Blackpool","78","83","!","!","84","78"
"Bolton","79","86","72","!","81","77"
"Bournemouth","77","86","!","!","84","76"
"Bracknell Forest","76","87","89","!","86","74"
"Bradford","75","80","70","!","75","72"
"Brent","81","83","81","100","78","82"
"Brighton and Hove","78","82","74","75","78","78"
"Bristol, City of","76","82","73","!","74","76"
"Bromley","85","91","87","91","87","83"
"Buckinghamshire","79","84","79","100","73","79"
"Bury","80","81","80","100","77","80"
"Calderdale","76","80","79","!","76","74"
"Cambridgeshire","75","82","72","!","80","75"
"Camden","83","87","85","100","77","81"
"Central Bedfordshire","73","83","82","!","71","73"
"Cheshire East","81","93","!","100","86","80"
"Cheshire West and Chester","79","94","63","!","77","78"
"City of London","92","!","!","N/A","!","!"
"Cornwall","73","74","!","!","84","72"
"County Durham","79","89","!","100","89","79"
"Coventry","78","86","82","100","77","75"
"Croydon","80","89","77","!","76","79"
"Cumbria","76","83","!","!","89","76"
"Darlington","78","85","!","!","89","78"
"Derby","74","80","79","!","74","72"
"Derbyshire","76","88","!","82","80","76"
"Devon","76","!","64","60","77","76"
"Doncaster","72","80","70","!","81","71"
"Dorset","73","76","100","!","77","73"
"Dudley","73","77","74","!","74","72"
"Ealing","84","86","79","100","83","86"
"East Riding of Yorkshire","77","!","!","!","85","77"
"East Sussex","71","77","67","100","76","71"
"Enfield","78","89","79","!","83","75"
"Essex","79","91","88","89","81","78"
"Gateshead","82","76","80","100","85","82"
"Gloucestershire","77","90","74","72","73","77"
"Greenwich","82","90","86","100","83","75"
"Hackney","84","89","82","!","84","82"
"Halton","75","!","!","!","76","75"
"Hammersmith and Fulham","87","83","87","!","88","86"
"Hampshire","78","92","88","90","81","77"
"Haringey","81","89","80","79","82","81"
"Harrow","87","92","80","!","86","83"
"Hartlepool","81","86","!","!","!","81"
"Havering","84","90","90","82","84","83"
"Herefordshire, County of","76","100","!","!","79","76"
"Hertfordshire","80","87","85","93","80","79"
"Hillingdon","83","89","83","!","88","78"
"Hounslow","84","88","83","100","85","79"
"Isle of Wight","70","!","!","!","71","70"
"Isles of Scilly","76","N/A","N/A","N/A","N/A","76"
"Islington","81","87","81","100","82","80"
"Kensington and Chelsea","91","87","90","100","92","91"
"Kent","76","91","87","84","82","75"
"Kingston upon Hull, City of","76","88","68","!","87","75"
"Kingston upon Thames","86","91","85","100","87","85"
"Kirklees","76","79","70","86","69","75"
"Knowsley","74","86","!","N/A","78","74"
"Lambeth","85","90","83","83","86","86"
"Lancashire","78","80","73","89","80","77"
"Leeds","75","78","74","86","72","74"
"Leicester","76","84","82","!","77","66"
"Leicestershire","77","86","81","100","77","76"
"Lewisham","77","86","76","91","77","76"
"Lincolnshire","74","!","90","!","84","73"
"Liverpool","75","86","76","88","80","74"
"Luton","79","82","81","!","79","74"
"Manchester","79","82","81","81","77","77"
"Medway","70","87","84","!","71","68"
"Merton","84","92","81","!","82","80"
"Middlesbrough","78","82","71","N/A","72","77"
"Milton Keynes","80","91","85","!","78","76"
"Newcastle upon Tyne","78","83","85","83","79","77"
"Newham","86","88","86","100","85","77"
"Norfolk","70","89","70","85","70","70"
"North East Lincolnshire","74","!","!","!","83","74"
"North Lincolnshire","76","94","62","!","78","76"
"North Somerset","75","76","67","100","81","75"
"North Tyneside","79","87","!","!","84","78"
"North Yorkshire","74","83","81","82","79","74"
"Northamptonshire","74","78","77","88","76","73"
"Northumberland","74","91","!","100","78","73"
"Nottingham","76","84","79","72","76","72"
"Nottinghamshire","77","85","71","91","77","77"
"Oldham","77","79","82","!","75","76"
"Oxfordshire","77","80","75","!","81","76"
"Peterborough","70","78","72","!","76","68"
"Plymouth","76","100","63","75","85","76"
"Poole","72","88","!","!","84","71"
"Portsmouth","75","83","84","56","80","73"
"Reading","78","83","81","!","68","78"
"Redbridge","84","87","80","85","84","78"
"Redcar and Cleveland","83","!","N/A","!","86","83"
"Richmond upon Thames","90","92","84","!","90","89"
"Rochdale","77","82","82","!","81","75"
"Rotherham","76","81","85","!","82","75"
"Rutland","81","100","!","!","!","80"
"Salford","78","93","81","!","80","77"
"Sandwell","77","85","78","!","77","73"
"Sefton","80","89","77","63","78","80"
"Sheffield","74","81","80","!","73","73"
"Shropshire","75","76","50","!","85","75"
"Slough","81","88","83","!","78","69"
"Solihull","79","87","79","!","75","78"
"Somerset","74","88","67","!","75","74"
"South Gloucestershire","78","90","83","100","77","77"
"South Tyneside","79","90","100","!","91","78"
"Southampton","76","81","80","100","79","74"
"Southend-on-Sea","80","93","94","!","85","78"
"Southwark","81","88","81","88","79","79"
"St. Helens","78","!","!","!","78","77"
"Staffordshire","78","82","82","87","80","78"
"Stockport","80","84","79","!","82","79"
"Stockton-on-Tees","80","90","!","!","92","79"
"Stoke-on-Trent","73","77","77","77","74","71"
"Suffolk","72","87","80","!","74","72"
"Sunderland","81","83","!","100","78","81"
"Surrey","81","89","82","92","85","80"
"Sutton","84","96","91","88","86","80"
"Swindon","79","89","82","!","78","77"
"Tameside","77","82","63","!","79","77"
"Telford and Wrekin","77","80","83","!","79","76"
"Thurrock","78","93","89","!","80","75"
"Torbay","76","100","!","!","86","75"
"Tower Hamlets","84","87","84","83","75","74"
"Trafford","85","92","80","92","85","84"
"Wakefield","72","76","80","55","75","71"
"Walsall","74","83","79","100","72","71"
"Waltham Forest","82","85","80","91","81","80"
"Wandsworth","84","84","81","!","81","86"
"Warrington","83","93","80","100","89","82"
"Warwickshire","77","92","76","!","83","76"
"West Berkshire","76","89","82","!","84","75"
"West Sussex","74","83","73","86","80","73"
"Westminster","86","90","88","100","87","86"
"Wigan","80","!","84","!","83","80"
"Wiltshire","74","92","59","71","76","74"
"Windsor and Maidenhead","79","91","63","!","80","78"
"Wirral","75","85","100","100","87","75"
"Wokingham","85","95","93","!","86","83"
"Wolverhampton","79","86","85","!","75","75"
"Worcestershire","73","78","71","100","77","72"
"York","76","83","!","!","78","76"
