"gender","Ethnicity","Expected standard","Higher standard","Average scaled score"
"Boys","All","73","27","105"
"Boys","Asian","80","38","107"
"Boys","Bangladeshi","82","38","108"
"Boys","Indian","85","47","109"
"Boys","Pakistani","75","30","106"
"Boys","Asian other","83","44","109"
"Boys","Black","76","32","106"
"Boys","Black African","79","36","107"
"Boys","Black Caribbean","68","20","104"
"Boys","Black other","74","28","106"
"Boys","Chinese","85","51","110"
"Boys","Mixed","75","29","106"
"Boys","Mixed White/Asian","80","35","107"
"Boys","Mixed White/Black African","76","28","106"
"Boys","Mixed White/Black Caribbean","67","20","104"
"Boys","Mixed other","77","31","106"
"Boys","White","71","24","105"
"Boys","White British","72","24","105"
"Boys","White Irish","78","35","107"
"Boys","White Irish Traveller","28","4","97"
"Boys","White Gypsy/Roma","24","3","95"
"Boys","White other","69","26","105"
"Boys","Other","73","31","106"
"Girls","All","81","35","107"
"Girls","Asian","87","48","109"
"Girls","Bangladeshi","89","49","109"
"Girls","Indian","91","58","111"
"Girls","Pakistani","84","40","108"
"Girls","Asian other","88","54","110"
"Girls","Black","85","41","108"
"Girls","Black African","87","45","109"
"Girls","Black Caribbean","80","32","106"
"Girls","Black other","82","37","107"
"Girls","Chinese","91","61","111"
"Girls","Mixed","84","39","108"
"Girls","Mixed White/Asian","87","47","109"
"Girls","Mixed White/Black African","84","37","107"
"Girls","Mixed White/Black Caribbean","80","30","106"
"Girls","Mixed other","84","41","108"
"Girls","White","80","33","106"
"Girls","White British","81","33","106"
"Girls","White Irish","85","43","108"
"Girls","White Irish Traveller","39","9","99"
"Girls","White Gypsy/Roma","34","5","98"
"Girls","White other","76","33","106"
"Girls","Other","80","38","107"
