"Title","Maths attainment for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","01/09/2016 (provisional)"

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","77","87","79","100","72","71"
"Barnet","77","81","66","!","73","81"
"Barnsley","72","!","73","!","75","71"
"Bath and North East Somerset","68","78","43","!","74","68"
"Bedford","59","58","51","!","59","60"
"Bexley","75","86","80","100","80","72"
"Birmingham","66","67","62","94","65","65"
"Blackburn with Darwen","73","73","87","!","77","73"
"Blackpool","69","83","!","!","79","69"
"Bolton","74","81","66","!","77","72"
"Bournemouth","71","73","79","!","65","71"
"Bracknell Forest","66","78","51","!","70","65"
"Bradford","66","69","64","!","65","64"
"Brent","75","82","69","!","73","76"
"Brighton and Hove","70","68","49","!","71","71"
"Bristol, City of","68","70","55","81","64","71"
"Bromley","81","94","78","!","79","81"
"Buckinghamshire","72","73","58","100","71","73"
"Bury","72","70","51","!","68","73"
"Calderdale","67","67","58","!","72","67"
"Cambridgeshire","67","77","47","87","71","66"
"Camden","79","79","78","!","79","79"
"Central Bedfordshire","65","74","57","!","72","64"
"Cheshire East","72","87","!","100","73","72"
"Cheshire West and Chester","69","76","62","!","74","69"
"City of London","100","100","100","!","!","100"
"Cornwall","65","64","57","100","64","65"
"County Durham","75","93","!","100","77","75"
"Coventry","67","76","68","!","61","65"
"Croydon","70","81","65","100","68","71"
"Cumbria","67","83","!","!","83","67"
"Darlington","74","82","!","!","71","74"
"Derby","64","68","60","100","68","63"
"Derbyshire","70","76","83","100","69","70"
"Devon","69","73","61","!","72","69"
"Doncaster","64","67","83","75","67","63"
"Dorset","63","78","50","100","62","63"
"Dudley","66","71","64","!","62","65"
"Ealing","75","78","65","100","74","77"
"East Riding of Yorkshire","68","!","!","!","70","68"
"East Sussex","66","74","50","65","67","66"
"Enfield","72","83","68","100","68","72"
"Essex","71","83","73","94","74","71"
"Gateshead","76","73","88","!","79","76"
"Gloucestershire","70","79","59","!","68","70"
"Greenwich","78","88","81","100","76","72"
"Hackney","78","80","72","!","79","83"
"Halton","65","!","!","!","68","65"
"Hammersmith and Fulham","79","87","77","!","79","79"
"Hampshire","72","80","72","!","73","71"
"Haringey","74","77","65","81","78","79"
"Harrow","79","86","63","100","75","76"
"Hartlepool","72","88","50","!","!","71"
"Havering","77","85","79","100","75","76"
"Herefordshire, County of","67","!","!","!","66","67"
"Hertfordshire","73","83","66","94","73","72"
"Hillingdon","76","83","73","!","77","73"
"Hounslow","77","83","67","100","73","75"
"Isle of Wight","63","33","!","!","71","63"
"Isles of Scilly","55","!","!","!","!","55"
"Islington","75","79","73","!","72","76"
"Kensington and Chelsea","85","83","85","!","82","87"
"Kent","72","85","81","!","78","70"
"Kingston upon Hull, City of","69","84","64","!","75","69"
"Kingston upon Thames","79","85","63","100","74","77"
"Kirklees","67","68","59","100","57","68"
"Knowsley","67","89","78","!","81","66"
"Lambeth","80","88","76","!","77","84"
"Lancashire","70","69","58","91","69","70"
"Leeds","66","65","58","93","67","66"
"Leicester","71","77","71","100","65","64"
"Leicestershire","68","77","73","83","66","68"
"Lewisham","73","85","69","!","74","74"
"Lincolnshire","67","88","63","100","64","67"
"Liverpool","65","82","66","!","62","65"
"Luton","64","64","60","100","60","65"
"Manchester","71","71","73","89","70","70"
"Medway","65","80","79","!","66","63"
"Merton","76","86","68","100","67","74"
"Middlesbrough","71","67","82","!","69","71"
"Milton Keynes","72","91","69","100","69","69"
"Newcastle upon Tyne","72","76","64","80","70","72"
"Newham","80","84","76","!","73","76"
"Norfolk","62","80","53","84","68","62"
"North East Lincolnshire","69","75","!","!","74","69"
"North Lincolnshire","67","64","45","!","81","68"
"North Somerset","70","83","57","!","69","70"
"North Tyneside","73","69","50","100","76","73"
"North Yorkshire","66","79","55","100","83","66"
"Northamptonshire","66","75","62","79","65","66"
"Northumberland","69","72","!","!","64","69"
"Nottingham","70","75","69","100","67","68"
"Nottinghamshire","70","73","66","86","72","70"
"Oldham","68","67","73","!","60","70"
"Oxfordshire","69","67","62","!","70","69"
"Peterborough","61","68","56","!","54","60"
"Plymouth","69","71","80","100","74","69"
"Poole","69","89","!","!","60","68"
"Portsmouth","64","80","55","100","58","63"
"Reading","68","80","59","!","64","67"
"Redbridge","76","81","65","100","73","70"
"Redcar and Cleveland","78","!","!","!","89","78"
"Richmond upon Thames","82","87","70","!","79","82"
"Rochdale","70","68","56","100","67","72"
"Rotherham","72","75","74","100","78","71"
"Rutland","68","!","!","!","58","68"
