"Title","Maths attainment for children aged 10 to 11 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Standard Ethnicity","Local authority","%"
"All","Barking and Dagenham","81"
"All","Barnet","82"
"All","Barnsley","75"
"All","Bath and North East Somerset","75"
"All","Bedford","68"
"All","Bexley","77"
"All","Birmingham","73"
"All","Blackburn with Darwen","76"
"All","Blackpool","78"
"All","Bolton","76"
"All","Bournemouth","77"
"All","Bracknell Forest","71"
"All","Bradford","73"
"All","Brent","78"
"All","Brighton and Hove","75"
"All","Bristol, City of","74"
"All","Bromley","86"
"All","Buckinghamshire","76"
"All","Bury","79"
"All","Calderdale","74"
"All","Cambridgeshire","73"
"All","Camden","82"
"All","Central Bedfordshire","73"
"All","Cheshire East","77"
"All","Cheshire West and Chester","74"
"All","City of London","92"
"All","Cornwall","71"
"All","County Durham","78"
"All","Coventry","73"
"All","Croydon","78"
"All","Cumbria","74"
"All","Darlington","78"
"All","Derby","71"
"All","Derbyshire","74"
"All","Devon","74"
"All","Doncaster","70"
"All","Dorset","72"
"All","Dudley","71"
"All","Ealing","81"
"All","East Riding of Yorkshire","74"
"All","East Sussex","70"
"All","Enfield","75"
"All","Essex","77"
"All","Gateshead","80"
"All","Gloucestershire","76"
"All","Greenwich","82"
"All","Hackney","83"
"All","Halton","70"
"All","Hammersmith and Fulham","86"
"All","Hampshire","77"
"All","Haringey","79"
"All","Harrow","85"
"All","Hartlepool","81"
"All","Havering","83"
"All","Herefordshire, County of","72"
"All","Hertfordshire","77"
"All","Hillingdon","80"
"All","Hounslow","81"
"All","Isle of Wight","69"
"All","Isles of Scilly","71"
"All","Islington","79"
"All","Kensington and Chelsea","89"
"All","Kent","76"
"All","Kingston upon Hull, City of","76"
"All","Kingston upon Thames","82"
"All","Kirklees","73"
"All","Knowsley","74"
"All","Lambeth","83"
"All","Lancashire","76"
"All","Leeds","71"
"All","Leicester","75"
"All","Leicestershire","75"
"All","Lewisham","74"
"All","Lincolnshire","71"
"All","Liverpool","73"
"All","Luton","73"
"All","Manchester","75"
"All","Medway","71"
"All","Merton","81"
"All","Middlesbrough","76"
"All","Milton Keynes","76"
"All","Newcastle upon Tyne","79"
"All","Newham","83"
"All","Norfolk","69"
"All","North East Lincolnshire","73"
"All","North Lincolnshire","76"
"All","North Somerset","73"
"All","North Tyneside","78"
"All","North Yorkshire","72"
"All","Northamptonshire","71"
"All","Northumberland","73"
"All","Nottingham","75"
"All","Nottinghamshire","76"
"All","Oldham","74"
"All","Oxfordshire","76"
"All","Peterborough","68"
"All","Plymouth","73"
"All","Poole","72"
"All","Portsmouth","71"
"All","Reading","73"
"All","Redbridge","81"
"All","Redcar and Cleveland","83"
"All","Richmond upon Thames","87"
"All","Rochdale","71"
"All","Rotherham","76"
"All","Rutland","78"
"All","Salford","75"
"All","Sandwell","73"
"All","Sefton","80"
"All","Sheffield","74"
"All","Shropshire","75"
"All","Slough","77"
"All","Solihull","78"
"All","Somerset","72"
"All","South Gloucestershire","73"
"All","South Tyneside","79"
"All","Southampton","75"
"All","Southend-on-Sea","77"
"All","Southwark","79"
"All","St. Helens","73"
"All","Staffordshire","76"
"All","Stockport","77"
"All","Stockton-on-Tees","78"
"All","Stoke-on-Trent","72"
"All","Suffolk","70"
"All","Sunderland","80"
"All","Surrey","79"
"All","Sutton","84"
"All","Swindon","76"
"All","Tameside","74"
"All","Telford and Wrekin","73"
"All","Thurrock","76"
"All","Torbay","73"
"All","Tower Hamlets","81"
"All","Trafford","83"
"All","Wakefield","71"
"All","Walsall","68"
"All","Waltham Forest","80"
"All","Wandsworth","80"
"All","Warrington","84"
"All","Warwickshire","74"
"All","West Berkshire","73"
"All","West Sussex","71"
"All","Westminster","84"
"All","Wigan","79"
"All","Wiltshire","72"
"All","Windsor and Maidenhead","76"
"All","Wirral","71"
"All","Wokingham","82"
"All","Wolverhampton","76"
"All","Worcestershire","70"
"All","York","76"
"Asian","Barking and Dagenham","87"
"Asian","Barnet","87"
"Asian","Barnsley","!"
"Asian","Bath and North East Somerset","!"
"Asian","Bedford","67"
"Asian","Bexley","92"
"Asian","Birmingham","76"
"Asian","Blackburn with Darwen","79"
"Asian","Blackpool","86"
"Asian","Bolton","81"
"Asian","Bournemouth","93"
"Asian","Bracknell Forest","87"
"Asian","Bradford","75"
"Asian","Brent","82"
"Asian","Brighton and Hove","76"
"Asian","Bristol, City of","77"
"Asian","Bromley","92"
"Asian","Buckinghamshire","77"
"Asian","Bury","78"
"Asian","Calderdale","72"
"Asian","Cambridgeshire","77"
"Asian","Camden","84"
"Asian","Central Bedfordshire","81"
"Asian","Cheshire East","90"
"Asian","Cheshire West and Chester","88"
"Asian","City of London","!"
"Asian","Cornwall","70"
"Asian","County Durham","89"
"Asian","Coventry","81"
"Asian","Croydon","87"
"Asian","Cumbria","90"
"Asian","Darlington","92"
"Asian","Derby","75"
"Asian","Derbyshire","81"
"Asian","Devon","87"
"Asian","Doncaster","70"
"Asian","Dorset","76"
"Asian","Dudley","73"
"Asian","Ealing","82"
"Asian","East Riding of Yorkshire","!"
"Asian","East Sussex","80"
"Asian","Enfield","87"
"Asian","Essex","88"
"Asian","Gateshead","78"
"Asian","Gloucestershire","86"
"Asian","Greenwich","91"
"Asian","Hackney","87"
"Asian","Halton","!"
"Asian","Hammersmith and Fulham","84"
"Asian","Hampshire","88"
"Asian","Haringey","86"
"Asian","Harrow","90"
"Asian","Hartlepool","77"
"Asian","Havering","86"
"Asian","Herefordshire, County of","!"
"Asian","Hertfordshire","85"
"Asian","Hillingdon","87"
"Asian","Hounslow","86"
"Asian","Isle of Wight","77"
"Asian","Isles of Scilly","N/A"
"Asian","Islington","82"
"Asian","Kensington and Chelsea","81"
"Asian","Kent","89"
"Asian","Kingston upon Hull, City of","88"
"Asian","Kingston upon Thames","85"
"Asian","Kirklees","74"
"Asian","Knowsley","82"
"Asian","Lambeth","89"
"Asian","Lancashire","74"
"Asian","Leeds","71"
"Asian","Leicester","82"
"Asian","Leicestershire","80"
"Asian","Lewisham","86"
"Asian","Lincolnshire","93"
"Asian","Liverpool","84"
"Asian","Luton","74"
"Asian","Manchester","76"
"Asian","Medway","84"
"Asian","Merton","92"
"Asian","Middlesbrough","75"
"Asian","Milton Keynes","90"
"Asian","Newcastle upon Tyne","83"
"Asian","Newham","85"
"Asian","Norfolk","85"
"Asian","North East Lincolnshire","!"
"Asian","North Lincolnshire","83"
"Asian","North Somerset","64"
"Asian","North Tyneside","83"
"Asian","North Yorkshire","80"
"Asian","Northamptonshire","72"
"Asian","Northumberland","87"
"Asian","Nottingham","80"
"Asian","Nottinghamshire","81"
"Asian","Oldham","74"
"Asian","Oxfordshire","74"
"Asian","Peterborough","71"
"Asian","Plymouth","100"
"Asian","Poole","84"
"Asian","Portsmouth","79"
"Asian","Reading","78"
"Asian","Redbridge","85"
"Asian","Redcar and Cleveland","100"
"Asian","Richmond upon Thames","88"
"Asian","Rochdale","73"
"Asian","Rotherham","78"
"Asian","Rutland","!"
"Asian","Salford","84"
"Asian","Sandwell","80"
"Asian","Sefton","86"
"Asian","Sheffield","78"
"Asian","Shropshire","65"
"Asian","Slough","82"
"Asian","Solihull","86"
"Asian","Somerset","80"
"Asian","South Gloucestershire","84"
"Asian","South Tyneside","82"
"Asian","Southampton","81"
"Asian","Southend-on-Sea","86"
"Asian","Southwark","88"
"Asian","St. Helens","!"
"Asian","Staffordshire","78"
"Asian","Stockport","78"
"Asian","Stockton-on-Tees","83"
"Asian","Stoke-on-Trent","73"
"Asian","Suffolk","82"
"Asian","Sunderland","78"
"Asian","Surrey","87"
"Asian","Sutton","97"
"Asian","Swindon","86"
"Asian","Tameside","73"
"Asian","Telford and Wrekin","75"
"Asian","Thurrock","84"
"Asian","Torbay","!"
"Asian","Tower Hamlets","83"
"Asian","Trafford","90"
"Asian","Wakefield","68"
"Asian","Walsall","74"
"Asian","Waltham Forest","81"
"Asian","Wandsworth","82"
"Asian","Warrington","91"
"Asian","Warwickshire","84"
"Asian","West Berkshire","80"
"Asian","West Sussex","82"
"Asian","Westminster","84"
"Asian","Wigan","84"
"Asian","Wiltshire","91"
"Asian","Windsor and Maidenhead","85"
