"gender","Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score"
"Boys","All","75","24","104","0.6"
"Boys","Asian","80","33","106","2.6"
"Boys","Bangladeshi","80","30","106","2.7"
"Boys","Indian","86","43","108","3.1"
"Boys","Pakistani","74","24","104","1.9"
"Boys","Asian other","84","40","108","3.5"
"Boys","Black","73","21","104","1.1"
"Boys","Black African","76","24","105","1.7"
"Boys","Black Caribbean","65","14","102","-0.6"
"Boys","Black other","70","18","103","0.6"
"Boys","Chinese","91","58","111","5.3"
"Boys","Mixed","74","25","104","0.6"
"Boys","Mixed White/Asian","80","33","106","1.3"
"Boys","Mixed White/Black African","74","23","104","0.5"
"Boys","Mixed White/Black Caribbean","67","16","102","-0.7"
"Boys","Mixed other","76","28","105","1.0"
"Boys","White","74","23","104","0.3"
"Boys","White British","74","23","104","0.1"
"Boys","White Irish","80","32","106","1.4"
"Boys","White Irish Traveller","37","5","98","0.5"
"Boys","White Gypsy/Roma","31","3","96","-0.4"
"Boys","White other","74","25","105","2.9"
"Boys","Other","76","27","105","3.0"
"Girls","All","75","21","104","-0.7"
"Girls","Asian","80","29","105","1.1"
"Girls","Bangladeshi","80","25","105","1.0"
"Girls","Indian","86","40","107","1.9"
"Girls","Pakistani","74","19","104","0.2"
"Girls","Asian other","84","38","107","2.2"
"Girls","Black","76","21","104","0.2"
"Girls","Black African","79","23","105","0.8"
"Girls","Black Caribbean","69","13","102","-1.3"
"Girls","Black other","73","19","104","0.0"
"Girls","Chinese","93","54","110","3.9"
"Girls","Mixed","76","22","104","-0.6"
"Girls","Mixed White/Asian","82","30","106","0.0"
"Girls","Mixed White/Black African","75","19","104","-0.7"
"Girls","Mixed White/Black Caribbean","69","14","102","-1.7"
"Girls","Mixed other","77","24","104","-0.2"
"Girls","White","74","19","104","-1.0"
"Girls","White British","75","19","104","-1.2"
"Girls","White Irish","80","25","105","0.1"
"Girls","White Irish Traveller","31","5","96","-1.0"
"Girls","White Gypsy/Roma","31","3","96","-1.0"
"Girls","White other","74","22","104","1.5"
"Girls","Other","77","23","105","1.7"
