"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score"
"All","75","23","104","0.0"
"Asian","80","31","106","1.9"
"Bangladeshi","80","28","105","1.9"
"Indian","86","42","108","2.5"
"Pakistani","74","22","104","1.1"
"Asian other","84","39","107","2.9"
"Black","74","21","104","0.6"
"Black African","77","24","105","1.2"
"Black Caribbean","67","13","102","-0.9"
"Black other","71","19","103","0.3"
"Chinese","92","56","110","4.6"
"Mixed","75","24","104","0.0"
"Mixed White/Asian","81","32","106","0.7"
"Mixed White/Black African","75","21","104","-0.1"
"Mixed White/Black Caribbean","68","15","102","-1.2"
"Mixed other","77","26","105","0.4"
"White","74","21","104","-0.4"
"White British","75","21","104","-0.5"
"White Irish","80","29","106","0.8"
"White Irish Traveller","34","5","97","-0.3"
"White Gypsy/Roma","31","3","96","-0.7"
"White other","74","24","104","2.2"
"Other","76","25","105","2.4"
